timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
538968683,0,0,1,0,0,0,0,0
539470659,0,0,1,0,0,0,0,0
539980663,0,0,1,0,0,0,0,0
540490675,0,0,1,0,0,0,0,0
541000642,0,0,1,0,0,0,0,0
541509642,0,0,1,0,0,0,0,0
542018641,0,0,1,0,0,0,0,0
542528663,0,0,1,0,0,0,0,0
543029683,0,0,1,0,0,0,0,0
543539661,0,0,1,0,0,0,0,0
544049640,0,0,1,0,0,0,0,0
544559658,0,0,1,0,0,0,0,0
545070641,0,0,1,0,0,0,0,0
545579645,0,0,1,0,0,0,0,0
546089641,0,0,1,0,0,0,0,0
546599641,0,0,1,0,0,0,0,0
547109641,0,0,1,0,0,0,0,0
547618739,0,0,1,0,0,0,0,0
548128641,0,0,1,0,0,0,0,0
548637641,0,0,1,0,0,0,0,0
549146641,0,0,1,0,0,0,0,0
549656662,0,0,1,0,0,0,0,0
550166661,0,0,1,0,0,0,0,0
550676642,0,0,1,0,0,0,0,0
551186662,0,0,1,0,0,0,0,0
551696642,0,0,1,0,0,0,0,0
552206675,0,0,1,0,0,0,0,0
552716641,0,0,1,0,0,0,0,0
553226654,0,0,1,0,0,0,0,0
553736966,0,0,1,0,0,0,0,0
554247098,0,0,1,0,0,0,0,0
554755640,0,0,1,0,0,0,0,0
555265640,0,0,1,0,0,0,0,0
555775640,0,0,1,0,0,0,0,0
556285640,0,0,1,0,0,0,0,0
556795640,0,0,1,0,0,0,0,0
557305671,0,0,1,0,0,0,0,0
557815641,0,0,1,0,0,0,0,0
558324659,0,0,1,0,0,0,0,0
558834641,0,0,1,0,0,0,0,0
559344641,0,0,1,0,0,0,0,0
559854660,0,0,1,0,0,0,0,0
560364640,0,0,1,0,0,0,0,0
560874662,0,0,1,0,0,0,0,0
561384640,0,0,1,0,0,0,0,0
561894641,0,0,1,0,0,0,0,0
562404640,0,0,1,0,0,0,0,0
562913641,0,0,1,0,0,0,0,0
563414873,0,0,1,0,0,0,0,0
563923645,0,0,1,0,0,0,0,0
564433641,0,0,1,0,0,0,0,0
564943660,0,0,1,0,0,0,0,0
565453676,0,0,1,0,0,0,0,0
565963671,0,0,1,0,0,0,0,0
566473660,0,0,1,0,0,0,0,0
566983641,0,0,1,0,0,0,0,0
567492664,0,0,1,0,0,0,0,0
568002640,0,0,1,0,0,0,0,0
568512641,0,0,1,0,0,0,0,0
568703641,0,0,1,0,0,0,0,0
569213652,0,0,1,0,0,0,0,0
569722641,0,0,1,0,0,0,0,0
569913670,0,0,1,0,0,0,0,0
570424643,0,0,1,0,0,0,0,0
570934659,0,0,1,0,0,0,0,0
571444939,0,0,1,0,0,0,0,0
571954875,0,0,1,0,0,0,0,0
572464842,0,0,1,0,0,0,0,0
572974788,0,0,1,0,0,0,0,0
573484707,0,0,1,0,0,0,0,0
573993641,0,0,1,0,0,0,0,0
574504690,0,0,1,0,0,0,0,0
575013661,0,0,1,0,0,0,0,0
575523640,0,0,1,0,0,0,0,0
576033640,0,0,1,0,0,0,0,0
576543641,0,0,1,0,0,0,0,0
577053639,0,0,1,0,0,0,0,0
577563641,0,0,1,0,0,0,0,0
578073641,0,0,1,0,0,0,0,0
578583642,0,0,1,0,0,0,0,0
579093642,0,0,1,0,0,0,0,0
579603640,0,0,1,0,0,0,0,0
580113661,0,0,1,0,0,0,0,0
580622642,0,0,1,0,0,0,0,0
581134465,0,0,1,0,0,0,0,0
581643986,0,0,1,0,0,0,0,0
582154213,0,0,1,0,0,0,0,0
582498642,0,0,1,0,0,0,0,0
583007641,0,0,1,0,0,0,0,0
583518040,0,0,1,0,0,0,0,0
583707642,0,0,1,0,0,0,0,0
584216640,0,0,1,0,0,0,0,0
584726641,0,0,1,0,0,0,0,0
585236654,0,0,1,0,0,0,0,0
585746640,0,0,1,0,0,0,0,0
586256641,0,0,1,0,0,0,0,0
586766640,0,0,1,0,0,0,0,0
587276655,0,0,1,0,0,0,0,0
587785704,0,0,1,0,0,0,0,0
588296662,0,0,1,0,0,0,0,0
588805657,0,0,1,0,0,0,0,0
589315640,0,0,1,0,0,0,0,0
589825641,0,0,1,0,0,0,0,0
590336902,0,0,1,0,0,0,0,0
590845641,0,0,1,0,0,0,0,0
591355661,0,0,1,0,0,0,0,0
591865641,0,0,1,0,0,0,0,0
592089074,0,0,1,0,0,0,0,0
592589646,0,0,1,0,0,0,0,0
593100029,0,0,1,0,0,0,0,0
593608664,0,0,1,0,0,0,0,0
593623771,0,0,1,0,0,0,0,0
594133645,0,0,1,0,0,0,0,0
594643644,0,0,1,0,0,0,0,0
595143664,0,0,1,0,0,0,0,0
595653658,0,0,1,0,0,0,0,0
596162645,0,0,1,0,0,0,0,0
596673283,0,0,1,0,0,0,0,0
597083736,0,0,1,0,0,0,0,0
597264792,0,0,1,0,0,0,0,0
597774645,0,0,1,0,0,0,0,0
598284645,0,0,1,0,0,0,0,0
598794645,0,0,1,0,0,0,0,0
599304676,0,0,1,0,0,0,0,0
599814645,0,0,1,0,0,0,0,0
600323647,0,0,1,0,0,0,0,0
600834380,0,0,1,0,0,0,0,0
601343660,0,0,1,0,0,0,0,0
601843666,0,0,1,0,0,0,0,0
602044736,0,0,1,0,0,0,0,0
602554649,0,0,1,0,0,0,0,0
602624773,0,0,1,0,0,0,0,0
603134646,0,0,1,0,0,0,0,0
603634660,0,0,1,0,0,0,0,0
604144645,0,0,1,0,0,0,0,0
604653644,0,0,1,0,0,0,0,0
605163644,0,0,1,0,0,0,0,0
605673644,0,0,1,0,0,0,0,0
606183659,0,0,1,0,0,0,0,0
606693679,0,0,1,0,0,0,0,0
607203645,0,0,1,0,0,0,0,0
607713664,0,0,1,0,0,0,0,0
608222670,0,0,1,0,0,0,0,0
608733044,0,0,1,0,0,0,0,0
609241644,0,0,1,0,0,0,0,0
609750668,0,0,1,0,0,0,0,0
610261257,0,0,1,0,0,0,0,0
610770647,0,0,1,0,0,0,0,0
611280645,0,0,1,0,0,0,0,0
611790645,0,0,1,0,0,0,0,0
612300645,0,0,1,0,0,0,0,0
612800665,0,0,1,0,0,0,0,0
613310646,0,0,1,0,0,0,0,0
613511737,0,0,1,0,0,0,0,0
613581059,0,0,1,0,0,0,0,0
614089645,0,0,1,0,0,0,0,0
614599667,0,0,1,0,0,0,0,0
614746739,0,0,1,0,0,0,0,0
614816812,0,0,1,0,0,0,0,0
615326645,0,0,1,0,0,0,0,0
615418738,0,0,1,0,0,0,0,0
615906774,0,0,1,0,0,0,0,0
616417691,0,0,1,0,0,0,0,0
616816737,0,0,1,0,0,0,0,0
617326664,0,0,1,0,0,0,0,0
617836731,0,0,1,0,0,0,0,0
618346644,0,0,1,0,0,0,0,0
618856764,0,0,1,0,0,0,0,0
618903795,0,0,1,0,0,0,0,0
619414659,0,0,1,0,0,0,0,0
619923644,0,0,1,0,0,0,0,0
620433644,0,0,1,0,0,0,0,0
620943664,0,0,1,0,0,0,0,0
621453647,0,0,1,0,0,0,0,0
621743759,0,0,1,0,0,0,0,0
622252645,0,0,1,0,0,0,0,0
622762645,0,0,1,0,0,0,0,0
623272644,0,0,1,0,0,0,0,0
623782644,0,0,1,0,0,0,0,0
624292645,0,0,1,0,0,0,0,0
624801686,0,0,1,0,0,0,0,0
625311665,0,0,1,0,0,0,0,0
625821645,0,0,1,0,0,0,0,0
626331644,0,0,1,0,0,0,0,0
626841644,0,0,1,0,0,0,0,0
627351645,0,0,1,0,0,0,0,0
627861644,0,0,1,0,0,0,0,0
628371663,0,0,1,0,0,0,0,0
628882646,0,0,1,0,0,0,0,0
629392644,0,0,1,0,0,0,0,0
629902646,0,0,1,0,0,0,0,0
630412684,0,0,1,0,0,0,0,0
630922736,0,0,1,0,0,0,0,0
631432699,0,0,1,0,0,0,0,0
631942644,0,0,1,0,0,0,0,0
632451653,0,0,1,0,0,0,0,0
632960645,0,0,1,0,0,0,0,0
633469841,0,0,1,0,0,0,0,0
633978645,0,0,1,0,0,0,0,0
634488665,0,0,1,0,0,0,0,0
634998645,0,0,1,0,0,0,0,0
635507644,0,0,1,0,0,0,0,0
636016664,0,0,1,0,0,0,0,0
636526646,0,0,1,0,0,0,0,0
637036644,0,0,1,0,0,0,0,0
637546662,0,0,1,0,0,0,0,0
638055644,0,0,1,0,0,0,0,0
638565644,0,0,1,0,0,0,0,0
639075644,0,0,1,0,0,0,0,0
639585645,0,0,1,0,0,0,0,0
640095645,0,0,1,0,0,0,0,0
640605644,0,0,1,0,0,0,0,0
641115664,0,0,1,0,0,0,0,0
641625644,0,0,1,0,0,0,0,0
642125646,0,0,1,0,0,0,0,0
642634646,0,0,1,0,0,0,0,0
643144660,0,0,1,0,0,0,0,0
643654644,0,0,1,0,0,0,0,0
644164644,0,0,1,0,0,0,0,0
644674645,0,0,1,0,0,0,0,0
645184643,0,0,1,0,0,0,0,0
645694644,0,0,1,0,0,0,0,0
646205929,0,0,1,0,0,0,0,0
646716228,0,0,1,0,0,0,0,0
647225777,0,0,1,0,0,0,0,0
647736665,0,0,1,0,0,0,0,0
648247259,0,0,1,0,0,0,0,0
648756651,0,0,1,0,0,0,0,0
649265648,0,0,1,0,0,0,0,0
649775013,0,0,1,0,0,0,0,0
650284669,0,0,1,0,0,0,0,0
650794645,0,0,1,0,0,0,0,0
651294669,0,0,1,0,0,0,0,0
651803645,0,0,1,0,0,0,0,0
652313676,0,0,1,0,0,0,0,0
652823644,0,0,1,0,0,0,0,0
653334060,0,0,1,0,0,0,0,0
653843644,0,0,1,0,0,0,0,0
654354050,0,0,1,0,0,0,0,0
654863646,0,0,1,0,0,0,0,0
