timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
539373768,539373583,0.0018494725,0.0032589333,-0.00010736147
539376257,539376072,0.002632754,0.0041502337,5.022157e-05
539396161,539395981,0.0038789613,0.002541427,-0.0010613613
539413583,539413401,0.0011858754,0.002654736,-0.0013307945
539435979,539435799,0.0013964623,0.0024356176,-0.0011203294
539455916,539455708,0.0011027865,0.002027182,-0.0013522082
539478290,539478106,-8.128025e-05,0.0012734525,-0.0012487737
539495710,539495527,-0.001063792,-0.0006492614,-0.0014052056
539515622,539515436,-0.0015234556,-0.00012156344,-0.001012678
539538059,539537834,-0.0050646104,-0.002917913,-0.0019008901
539555437,539555255,-0.0102095045,-0.005266512,-0.00125714
539575345,539575164,-0.01589787,-0.007432322,-0.0016111436
539597742,539597562,-0.0027441792,-0.0053967116,-0.0004071165
539617653,539617471,0.00039507635,-0.008307811,-0.0014295569
539635073,539634891,-0.0008296557,-0.0065673133,-0.0010929592
539657473,539657289,-0.007695632,-0.010532888,-0.0005357
539677383,539677202,-0.0029893257,-0.009324797,-0.00037868228
539694803,539694619,-0.00090773404,-0.008770071,-0.0004885199
539714712,539714528,0.0010204576,-0.008292705,-0.00038184924
539737107,539736926,-0.000916563,-0.010057466,0.00021057762
539757016,539756835,0.0028387364,-0.006952562,-0.00044287462
539774438,539774256,0.006510376,-0.0046378737,-0.00023528165
539796833,539796654,0.005700565,-0.004063965,-0.00031955284
539816746,539816563,0.0029769754,-0.0026734998,-5.625072e-05
539834164,539833983,0.0048468504,-0.0003236878,-0.0004253604
539856560,539856381,0.004375374,-0.00031896622,-0.0009526692
539876472,539876291,0.005697811,0.0036210772,-0.00032696011
539898871,539898688,0.0054844655,0.0036972906,-0.000983994
539916289,539916109,0.0064834533,0.0051561007,-0.0011154346
539936198,539936018,0.007836417,0.00808762,-0.0009846999
539956108,539955927,0.01155326,0.011278376,-0.0007765854
539973530,539973348,0.010761453,0.008013412,-0.0011458767
539995927,539995746,0.0042497367,0.0043989434,-0.0012066276
540015853,540015655,-0.0068287216,0.0032855999,-0.001749547
540038233,540038053,-0.0035645738,0.0021841992,-0.0006662216
540055656,540055473,-0.0013375431,0.003154336,-0.0011579907
540075565,540075383,-0.0004360769,-0.0013372382,-0.0011028214
540097963,540097781,-0.0042463094,-0.005392356,-0.0006666754
540115382,540115201,-0.005396113,-0.0067499587,-0.00087963557
540135292,540135110,-0.0023215879,-0.007052417,-0.00054170866
540157693,540157508,-0.0014486182,-0.008035063,-0.00047561526
540177599,540177417,-0.006852096,-0.011573269,-0.00039822026
540195020,540194838,-0.005644694,-0.009974485,-0.00024442235
540217418,540217236,-0.0013417024,-0.010225869,-0.0005707976
540237327,540237145,-0.0016301349,-0.008820785,-0.00038944557
540254748,540254565,-0.0065498706,-0.008938167,-0.00076537207
540274658,540274475,-0.002684731,-0.0041049244,-0.0011366641
540297054,540296873,-0.004574841,-0.0040445407,-0.0009588881
