timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
538697788,52,0,138,132,100,31,46
539737886,52,0,136,130,96,32,45
540784635,52,0,134,132,100,32,48
541709659,52,0,134,126,100,33,51
542738140,52,0,130,127,100,33,46
543769636,52,0,132,128,97,32,38
544717910,52,0,129,125,97,36,42
545750130,52,0,127,123,97,28,50
546770766,52,0,128,122,100,41,44
547700236,52,0,129,124,96,30,32
548739653,52,0,130,125,100,30,40
549780500,52,0,135,129,97,32,49
550696634,52,0,135,130,96,32,30
551746433,52,0,130,127,100,31,41
552774480,52,0,122,117,100,29,40
553693944,52,0,126,122,100,30,31
554739155,52,0,129,126,100,34,52
555782413,52,0,140,138,100,30,48
556704634,52,0,144,139,97,32,35
557743525,52,0,140,133,100,34,38
558697563,52,0,142,137,100,39,53
559699028,52,0,133,116,100,30,40
560753287,52,0,128,121,99,29,55
561684121,52,0,133,129,100,31,44
562694267,52,0,140,135,100,28,29
563742589,52,0,139,132,99,23,50
564779146,52,0,129,130,95,24,35
565698095,52,0,120,119,100,25,40
566750392,52,0,134,131,100,26,40
567771401,52,0,135,124,100,27,40
568694501,52,0,131,125,100,23,49
569736092,52,0,131,123,100,27,40
570789652,52,0,131,125,97,30,43
571705873,52,0,126,120,97,25,37
572750246,52,0,126,122,93,28,46
573776131,52,0,131,123,99,35,40
574703873,52,0,142,139,97,23,39
575747360,52,0,143,139,100,25,47
576687099,52,0,143,138,100,27,43
577705895,52,0,143,138,100,24,48
578735869,52,0,144,138,100,26,41
579775117,52,0,144,138,100,21,50
580697444,52,0,145,141,100,27,35
581754309,52,0,145,139,100,26,25
582771414,52,0,145,137,100,28,38
583715002,52,0,145,137,97,26,42
584743908,52,0,133,124,97,25,41
585783313,52,0,139,132,97,29,52
586713961,52,0,138,132,98,31,33
587739179,52,0,138,132,100,29,50
588780308,52,0,137,130,100,25,44
589695200,52,0,137,130,100,22,46
590742788,52,0,141,131,95,28,51
591697131,52,0,144,137,100,30,53
592703274,52,0,141,131,100,27,45
593749836,52,0,142,133,100,27,41
594708632,52,0,142,134,100,25,49
595695030,52,0,140,133,100,28,39
596746005,52,0,137,129,97,24,45
597793633,52,0,137,129,92,23,48
598701855,52,0,138,131,99,28,41
599745422,52,0,142,136,98,23,42
600786012,52,0,142,136,98,31,51
601703874,52,0,143,138,100,23,25
602759180,52,0,143,136,100,26,49
603772346,52,0,143,135,100,25,40
604701926,52,0,142,138,100,23,30
605739960,52,0,149,142,98,30,43
606787630,52,0,152,147,100,27,44
607707007,52,0,149,141,100,26,48
608756936,52,0,154,147,97,26,47
609782165,52,0,154,147,100,26,36
610707511,52,0,152,146,97,24,38
611755635,52,0,152,146,95,24,39
612767628,52,0,149,144,100,28,44
613703607,52,0,147,141,100,24,52
614741913,52,0,146,138,100,23,53
615781314,52,0,144,137,100,22,43
616713098,52,0,143,138,95,27,39
617750429,52,0,143,135,100,25,35
618778808,52,0,144,139,100,33,42
619713010,52,0,139,132,90,27,31
620744891,52,0,137,129,97,24,49
621777821,52,0,141,136,95,21,46
622706587,52,0,140,134,100,29,44
623737185,52,0,137,130,98,23,50
624781466,52,0,132,125,100,29,46
625695950,52,0,141,132,100,32,33
626746109,52,0,142,136,100,23,40
627772635,52,0,143,137,100,23,36
628695873,52,0,143,137,100,24,37
629746805,52,0,139,132,98,23,44
630684809,52,0,134,129,98,22,43
631691210,52,0,133,124,97,26,31
632750043,52,0,134,128,100,23,41
633694129,52,0,133,127,99,24,36
634696059,52,0,134,127,97,23,42
635742392,52,0,136,127,100,23,53
636791634,52,0,139,130,97,27,50
637700903,52,0,141,134,100,29,49
638737407,52,0,143,137,98,23,58
639773044,52,0,142,135,100,22,57
640705171,52,0,143,135,98,24,39
641742320,52,0,144,132,100,28,44
642773122,52,0,149,140,100,27,41
643696530,52,0,149,143,100,21,46
644760364,52,0,150,144,93,22,51
645773402,52,0,148,140,100,23,48
646701472,52,0,149,143,97,24,43
647751978,52,0,149,143,96,26,43
648778164,52,0,149,143,98,22,34
649701173,52,0,152,143,100,22,48
650743923,52,0,153,147,100,24,39
651778355,52,0,153,147,100,34,25
652701602,52,0,155,149,100,36,42
653742080,52,0,154,147,100,26,52
654779634,52,0,154,147,98,28,45
655718361,52,0,155,150,100,28,35
656738231,52,0,156,150,96,26,40
657778420,52,0,155,149,100,27,43
658709548,52,0,155,148,97,27,49
659743226,52,0,155,148,97,27,43
660782009,52,0,155,149,97,29,36
661697044,52,0,155,149,99,25,44
662743175,52,0,155,149,100,27,56
663774298,52,0,155,148,98,24,43
664697240,52,0,151,143,100,27,52
665742271,52,0,151,145,100,26,41
666783635,52,0,152,145,100,23,45
667705912,52,0,151,144,100,22,33
668741816,52,0,151,144,99,22,51
669796944,52,0,152,146,93,25,36
670705115,52,0,153,146,100,27,41
671752270,52,0,152,145,97,32,37
672778339,52,0,153,146,97,23,31
673702454,52,0,153,146,99,22,35
674746174,52,0,153,147,98,24,56
675774629,52,0,153,147,100,23,37
676701583,52,0,154,148,100,33,46
677747074,52,0,155,148,100,25,37
678774633,52,0,154,148,100,28,35
679698091,52,0,152,146,97,22,43
680742389,52,0,153,146,100,27,38
681783324,52,0,153,145,100,22,44
682707634,52,0,153,145,100,40,27
683745530,52,0,153,145,98,31,45
684779634,52,0,153,145,100,38,30
685701695,52,0,154,147,100,22,48
686745588,52,0,154,148,93,24,44
687780549,52,0,152,144,97,26,44
688702631,52,0,149,142,100,24,38
689739520,52,0,150,143,100,30,52
690781548,52,0,152,146,100,24,49
691722104,52,0,153,146,100,26,45
692751097,52,0,152,146,100,30,51
693775042,52,0,152,146,97,21,41
694702069,52,0,152,146,95,30,45
695747359,52,0,152,146,100,31,38
696784634,52,0,152,146,100,27,44
697709259,52,0,148,144,97,21,48
698742643,52,0,150,144,100,22,42
699778633,52,0,150,145,97,31,54
700701090,52,0,153,146,99,25,41
701743264,52,0,153,145,97,26,39
702779934,52,0,153,147,99,22,47
703706879,52,0,154,148,100,26,44
704745592,52,0,154,148,100,24,54
705781144,52,0,147,143,100,26,43
706703267,52,0,151,145,100,28,31
707744541,52,0,153,145,100,30,39
708784634,52,0,153,147,93,28,36
709698572,52,0,153,146,100,23,37
710746459,52,0,153,146,97,22,43
711789572,52,0,152,145,97,29,37
712702424,52,0,154,148,100,26,52
713748105,52,0,154,147,97,22,30
714685650,52,0,154,147,100,26,39
715704633,52,0,154,147,100,37,40
716688634,52,0,154,147,100,25,47
717783964,52,0,154,147,100,28,44
718703576,52,0,154,148,100,23,38
719765405,52,0,154,148,97,25,40
720783526,52,0,154,148,100,38,59
721708137,52,0,154,148,100,21,38
722754425,52,0,154,148,100,26,43
723775919,52,0,154,148,100,48,47
724704662,52,0,154,148,100,22,43
725740272,52,0,152,145,100,24,46
726679634,52,0,152,144,100,21,43
727694278,52,0,152,144,100,22,45
728748989,52,0,150,143,98,32,44
729782100,52,0,150,141,100,26,30
730724679,52,0,150,141,97,29,34
731745558,52,0,149,141,100,28,42
732781258,52,0,149,141,100,22,39
733718356,52,0,149,141,100,25,44
734740874,52,0,148,141,100,24,44
735785458,52,0,148,141,100,37,54
736699876,52,0,152,144,100,40,48
737753394,52,0,150,146,100,27,51
738786505,52,0,150,142,100,26,40
739709036,52,0,150,144,97,21,46
740753870,52,0,152,144,97,23,46
741801473,52,0,152,146,96,20,48
742705240,52,0,152,146,100,21,50
743749631,52,0,152,146,100,28,50
744678466,52,0,152,146,100,28,39
745700636,52,0,152,146,100,22,51
746756288,52,0,153,146,100,28,36
747788313,52,0,153,146,100,23,48
748709742,52,0,148,142,100,36,38
749746634,52,0,148,141,100,26,45
750780421,52,0,148,141,100,37,37
751706635,52,0,148,141,100,25,41
752746943,52,0,150,145,98,21,34
753781635,52,0,150,145,97,24,37
754705814,52,0,151,145,98,23,43
755763992,52,0,152,146,97,25,45
756782632,52,0,152,145,100,24,43
757710026,52,0,152,145,100,27,38
758766292,52,0,152,146,100,26,49
759778190,52,0,152,146,100,20,34
760704268,52,0,153,147,100,36,57
761746012,52,0,155,148,100,25,39
762787313,52,0,153,143,100,29,41
763719189,52,0,155,150,97,25,50
764754974,52,0,148,141,100,22,48
765784633,52,0,147,139,100,26,41
766724633,52,0,145,139,93,24,51
767746486,52,0,147,142,97,30,51
768783733,52,0,147,140,97,27,43
769712632,52,0,147,140,98,25,37
770746331,52,0,147,141,97,23,42
771787635,52,0,147,140,100,25,52
772702106,52,0,147,141,100,26,46
773748250,52,0,147,141,100,24,43
774778995,52,0,147,141,100,31,41
775702202,52,0,147,141,100,39,29
776749633,52,0,147,142,98,23,30
777694953,52,0,147,142,100,25,36
778702813,52,0,147,142,100,24,25
779748622,52,0,149,142,100,24,53
780709263,52,0,149,142,97,23,55
781707465,52,0,154,149,98,28,36
782752448,52,0,154,149,97,27,38
783798934,52,0,154,149,96,24,57
784707906,52,0,154,149,100,25,41
785747635,52,0,154,148,98,22,38
786780072,52,0,154,148,100,27,40
787709522,52,0,154,148,98,34,40
788752646,52,0,149,144,100,25,32
789679098,52,0,144,138,100,23,55
790711088,52,0,146,138,100,24,31
791767629,52,0,152,144,93,27,50
792680395,52,0,153,147,100,28,39
793714404,52,0,153,147,96,23,54
794756140,52,0,150,144,96,26,35
795785605,52,0,149,141,99,25,39
796707640,52,0,149,141,100,25,43
797745274,52,0,150,144,100,24,46
798785635,52,0,151,144,100,20,42
799709081,52,0,152,145,100,22,33
800748631,52,0,152,145,100,23,42
801683618,52,0,152,145,100,22,40
802704554,52,0,152,147,100,25,44
803757634,52,0,152,145,100,24,56
804687899,52,0,151,143,100,25,41
805723081,52,0,151,143,100,24,47
806754285,52,0,151,144,100,27,52
807686634,52,0,151,145,100,25,42
808705180,52,0,151,145,98,24,53
809754452,52,0,152,146,97,28,39
810788634,52,0,152,146,99,22,30
811705201,52,0,153,146,100,24,32
812750258,52,0,154,147,100,25,37
813698094,52,0,153,146,100,28,43
814713843,52,0,153,145,100,26,44
815747023,52,0,153,144,97,27,40
816687175,52,0,152,144,97,24,48
817710478,52,0,151,144,100,21,40
818752225,52,0,146,141,97,27,50
819686635,52,0,144,138,98,27,39
820713698,52,0,144,138,97,23,40
821750963,52,0,145,139,97,30,45
822782910,52,0,148,141,97,24,35
823709633,52,0,149,145,100,19,40
824752242,52,0,149,144,100,29,44
825684870,52,0,149,144,100,28,52
826712030,52,0,151,144,100,34,47
827756523,52,0,151,144,100,26,38
828681340,52,0,149,143,100,24,45
829715633,52,0,149,141,100,29,43
830757224,52,0,147,139,94,28,41
831787609,52,0,148,142,100,24,48
832709634,52,0,148,142,100,35,48
833764633,52,0,147,140,96,25,50
834684633,52,0,147,139,99,25,31
835706302,52,0,144,135,100,27,38
836747633,52,0,145,135,100,27,34
837679634,52,0,143,139,100,21,45
838730854,52,0,148,142,100,24,51
839756555,52,0,148,142,100,23,50
840678634,52,0,148,142,98,24,40
841717372,52,0,148,142,93,23,44
842753663,52,0,149,142,100,29,36
843793611,52,0,150,142,100,27,52
