timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
538968678,0,0,1,0,0,0,0,0,0,0,0,0,0
539470636,0,0,1,0,0,0,0,0,0,0,0,0,0
539980659,0,0,1,0,0,0,0,0,0,0,0,0,0
540490670,0,0,1,0,0,0,0,0,0,0,0,0,0
541000637,0,0,1,0,0,0,0,0,0,0,0,0,0
541509638,0,0,1,0,0,0,0,0,0,0,0,0,0
542018636,0,0,1,0,0,0,0,0,0,0,0,0,0
542528659,0,0,1,0,0,0,0,0,0,0,0,0,0
543029679,0,0,1,0,0,0,0,0,0,0,0,0,0
543539656,0,0,1,0,0,0,0,0,0,0,0,0,0
544049635,0,0,1,0,0,0,0,0,0,0,0,0,0
544559653,0,0,1,0,0,0,0,0,0,0,0,0,0
545070636,0,0,1,0,0,0,0,0,0,0,0,0,0
545579641,0,0,1,0,0,0,0,0,0,0,0,0,0
546089636,0,0,1,0,0,0,0,0,0,0,0,0,0
546599637,0,0,1,0,0,0,0,0,0,0,0,0,0
547109637,0,0,1,0,0,0,0,0,0,0,0,0,0
547618734,0,0,1,0,0,0,0,0,0,0,0,0,0
548128636,0,0,1,0,0,0,0,0,0,0,0,0,0
548637636,0,0,1,0,0,0,0,0,0,0,0,0,0
549146636,0,0,1,0,0,0,0,0,0,0,0,0,0
549656658,0,0,1,0,0,0,0,0,0,0,0,0,0
550166656,0,0,1,0,0,0,0,0,0,0,0,0,0
550676637,0,0,1,0,0,0,0,0,0,0,0,0,0
551186656,0,0,1,0,0,0,0,0,0,0,0,0,0
551696637,0,0,1,0,0,0,0,0,0,0,0,0,0
552206670,0,0,1,0,0,0,0,0,0,0,0,0,0
552716636,0,0,1,0,0,0,0,0,0,0,0,0,0
553226650,0,0,1,0,0,0,0,0,0,0,0,0,0
553736961,0,0,1,0,0,0,0,0,0,0,0,0,0
554247093,0,0,1,0,0,0,0,0,0,0,0,0,0
554755635,0,0,1,0,0,0,0,0,0,0,0,0,0
555265635,0,0,1,0,0,0,0,0,0,0,0,0,0
555775636,0,0,1,0,0,0,0,0,0,0,0,0,0
556285636,0,0,1,0,0,0,0,0,0,0,0,0,0
556795636,0,0,1,0,0,0,0,0,0,0,0,0,0
557305666,0,0,1,0,0,0,0,0,0,0,0,0,0
557815637,0,0,1,0,0,0,0,0,0,0,0,0,0
558324655,0,0,1,0,0,0,0,0,0,0,0,0,0
558834637,0,0,1,0,0,0,0,0,0,0,0,0,0
559344636,0,0,1,0,0,0,0,0,0,0,0,0,0
559854655,0,0,1,0,0,0,0,0,0,0,0,0,0
560364636,0,0,1,0,0,0,0,0,0,0,0,0,0
560874658,0,0,1,0,0,0,0,0,0,0,0,0,0
561384635,0,0,1,0,0,0,0,0,0,0,0,0,0
561894636,0,0,1,0,0,0,0,0,0,0,0,0,0
562404636,0,0,1,0,0,0,0,0,0,0,0,0,0
562913636,0,0,1,0,0,0,0,0,0,0,0,0,0
563414870,0,0,1,0,0,0,0,0,0,0,0,0,0
563923640,0,0,1,0,0,0,0,0,0,0,0,0,0
564433636,0,0,1,0,0,0,0,0,0,0,0,0,0
564943656,0,0,1,0,0,0,0,0,0,0,0,0,0
565453672,0,0,1,0,0,0,0,0,0,0,0,0,0
565963651,0,0,1,0,0,0,0,0,0,0,0,0,0
566473656,0,0,1,0,0,0,0,0,0,0,0,0,0
566983636,0,0,1,0,0,0,0,0,0,0,0,0,0
567492659,0,0,1,0,0,0,0,0,0,0,0,0,0
568002636,0,0,1,0,0,0,0,0,0,0,0,0,0
568512637,0,0,1,0,0,0,0,0,0,0,0,0,0
568703637,0,0,1,0,0,0,0,0,0,0,0,0,0
569213648,0,0,1,0,0,0,0,0,0,0,0,0,0
569722637,0,0,1,0,0,0,0,0,0,0,0,0,0
569913666,0,0,1,0,0,0,0,0,0,0,0,0,0
570424639,0,0,1,0,0,0,0,0,0,0,0,0,0
570934654,0,0,1,0,0,0,0,0,0,0,0,0,0
571444934,0,0,1,0,0,0,0,0,0,0,0,0,0
571954870,0,0,1,0,0,0,0,0,0,0,0,0,0
572464837,0,0,1,0,0,0,0,0,0,0,0,0,0
572974783,0,0,1,0,0,0,0,0,0,0,0,0,0
573484702,0,0,1,0,0,0,0,0,0,0,0,0,0
573993636,0,0,1,0,0,0,0,0,0,0,0,0,0
574503638,0,0,1,0,0,0,0,0,0,0,0,0,0
575013655,0,0,1,0,0,0,0,0,0,0,0,0,0
575523635,0,0,1,0,0,0,0,0,0,0,0,0,0
576033636,0,0,1,0,0,0,0,0,0,0,0,0,0
576543636,0,0,1,0,0,0,0,0,0,0,0,0,0
577053635,0,0,1,0,0,0,0,0,0,0,0,0,0
577563636,0,0,1,0,0,0,0,0,0,0,0,0,0
578073636,0,0,1,0,0,0,0,0,0,0,0,0,0
578583637,0,0,1,0,0,0,0,0,0,0,0,0,0
579093638,0,0,1,0,0,0,0,0,0,0,0,0,0
579603636,0,0,1,0,0,0,0,0,0,0,0,0,0
580113656,0,0,1,0,0,0,0,0,0,0,0,0,0
580622637,0,0,1,0,0,0,0,0,0,0,0,0,0
581134460,0,0,1,0,0,0,0,0,0,0,0,0,0
581643982,0,0,1,0,0,0,0,0,0,0,0,0,0
582154208,0,0,1,0,0,0,0,0,0,0,0,0,0
582498637,0,0,1,0,0,0,0,0,0,0,0,0,0
583007637,0,0,1,0,0,0,0,0,0,0,0,0,0
583518035,0,0,1,0,0,0,0,0,0,0,0,0,0
583707638,0,0,1,0,0,0,0,0,0,0,0,0,0
584216636,0,0,1,0,0,0,0,0,0,0,0,0,0
584726636,0,0,1,0,0,0,0,0,0,0,0,0,0
585236636,0,0,1,0,0,0,0,0,0,0,0,0,0
585746636,0,0,1,0,0,0,0,0,0,0,0,0,0
586256637,0,0,1,0,0,0,0,0,0,0,0,0,0
586766636,0,0,1,0,0,0,0,0,0,0,0,0,0
587276650,0,0,1,0,0,0,0,0,0,0,0,0,0
587785699,0,0,1,0,0,0,0,0,0,0,0,0,0
588296658,0,0,1,0,0,0,0,0,0,0,0,0,0
588805653,0,0,1,0,0,0,0,0,0,0,0,0,0
589315636,0,0,1,0,0,0,0,0,0,0,0,0,0
589825636,0,0,1,0,0,0,0,0,0,0,0,0,0
590336897,0,0,1,0,0,0,0,0,0,0,0,0,0
590845636,0,0,1,0,0,0,0,0,0,0,0,0,0
591355657,0,0,1,0,0,0,0,0,0,0,0,0,0
591865636,0,0,1,0,0,0,0,0,0,0,0,0,0
592089070,0,0,0,1,0,1,1,0,1,1,1,1,0
592589641,0,0,0,1,0,1,1,0,1,1,1,1,0
593100026,0,0,0,1,0,1,1,0,1,1,1,1,0
593608659,0,0,0,1,0,1,1,0,1,1,1,1,0
593623766,0,0,0,1,0,1,1,0,1,1,1,1,0
594133640,0,0,0,1,0,1,1,0,1,1,1,1,0
594643639,0,0,0,1,0,1,1,0,1,1,1,1,0
595143659,0,0,0,1,0,1,1,0,1,1,1,1,0
595653653,0,0,0,1,0,1,1,0,1,1,1,1,0
596162640,0,0,0,1,0,1,1,0,1,1,1,1,0
596673278,0,0,0,1,0,1,1,0,1,1,1,1,0
597083731,0,0,0,1,0,1,1,0,1,1,1,1,0
597264788,0,0,0,1,0,1,1,0,1,1,1,1,0
597774640,0,0,0,1,0,1,1,0,1,1,1,1,0
598284640,0,0,0,1,0,1,1,0,1,1,1,1,0
598794640,0,0,0,1,0,1,1,0,1,1,1,1,0
599304671,0,0,0,1,0,1,1,0,1,1,1,1,0
599814640,0,0,0,1,0,1,1,0,1,1,1,1,0
600323642,0,0,0,1,0,1,1,0,1,1,1,1,0
600834376,0,0,0,1,0,1,1,0,1,1,1,1,0
601343656,0,0,0,1,0,1,1,0,1,1,1,1,0
601843661,0,0,0,1,0,1,1,0,1,1,1,1,0
602044732,0,0,0,1,0,1,1,0,1,1,1,1,0
602554644,0,0,0,1,0,1,1,0,1,1,1,1,0
602624768,0,0,0,1,0,1,1,0,1,1,1,1,0
603134641,0,0,0,1,0,1,1,0,1,1,1,1,0
603634655,0,0,0,1,0,1,1,0,1,1,1,1,0
604144640,0,0,0,1,0,1,1,0,1,1,1,1,0
604653640,0,0,0,1,0,1,1,0,1,1,1,1,0
605163640,0,0,0,1,0,1,1,0,1,1,1,1,0
605673640,0,0,0,1,0,1,1,0,1,1,1,1,0
606183654,0,0,0,1,0,1,1,0,1,1,1,1,0
606693675,0,0,0,1,0,1,1,0,1,1,1,1,0
607203640,0,0,0,1,0,1,1,0,1,1,1,1,0
607713660,0,0,0,1,0,1,1,0,1,1,1,1,0
608222645,0,0,0,1,0,1,1,0,1,1,1,1,0
608733039,0,0,0,1,0,1,1,0,1,1,1,1,0
609241640,0,0,0,1,0,1,1,0,1,1,1,1,0
609750663,0,0,0,1,0,1,1,0,1,1,1,1,0
610261253,0,0,0,1,0,1,1,0,1,1,1,1,0
610770642,0,0,0,1,0,1,1,0,1,1,1,1,0
611280640,0,0,0,1,0,1,1,0,1,1,1,1,0
611790640,0,0,0,1,0,1,1,0,1,1,1,1,0
612300640,0,0,0,1,0,1,1,0,1,1,1,1,0
612800660,0,0,0,1,0,1,1,0,1,1,1,1,0
613310641,0,0,0,1,0,1,1,0,1,1,1,1,0
613511732,0,0,0,1,0,1,1,0,1,1,1,1,0
613581055,0,0,0,1,0,1,1,0,1,1,1,1,0
614089640,0,0,0,1,0,1,1,0,1,1,1,1,0
614599662,0,0,0,1,0,1,1,0,1,1,1,1,0
614746735,0,0,0,1,0,1,1,0,1,1,1,1,0
614816807,0,0,0,1,0,1,1,0,1,1,1,1,0
615326640,0,0,0,1,0,1,1,0,1,1,1,1,0
615418734,0,0,0,1,0,1,1,0,1,1,1,1,0
615906769,0,0,0,1,0,1,1,0,1,1,1,1,0
616417687,0,0,0,1,0,1,1,0,1,1,1,1,0
616816732,0,0,0,1,0,1,1,0,1,1,1,1,0
617326660,0,0,0,1,0,1,1,0,1,1,1,1,0
617836705,0,0,0,1,0,1,1,0,1,1,1,1,0
618346640,0,0,0,1,0,1,1,0,1,1,1,1,0
618856759,0,0,0,1,0,1,1,0,1,1,1,1,0
618903790,0,0,0,1,0,1,1,0,1,1,1,1,0
619414654,0,0,0,1,0,1,1,0,1,1,1,1,0
619923639,0,0,0,1,0,1,1,0,1,1,1,1,0
620433639,0,0,0,1,0,1,1,0,1,1,1,1,0
620943659,0,0,0,1,0,1,1,0,1,1,1,1,0
621453642,0,0,0,1,0,1,1,0,1,1,1,1,0
621743755,0,0,0,1,0,1,1,0,1,1,1,1,0
622252640,0,0,0,1,0,1,1,0,1,1,1,1,0
622762640,0,0,0,1,0,1,1,0,1,1,1,1,0
623272640,0,0,0,1,0,1,1,0,1,1,1,1,0
623782640,0,0,0,1,0,1,1,0,1,1,1,1,0
624292640,0,0,0,1,0,1,1,0,1,1,1,1,0
624801681,0,0,0,1,0,1,1,0,1,1,1,1,0
625311660,0,0,0,1,0,1,1,0,1,1,1,1,0
625821641,0,0,0,1,0,1,1,0,1,1,1,1,0
626331640,0,0,0,1,0,1,1,0,1,1,1,1,0
626841639,0,0,0,1,0,1,1,0,1,1,1,1,0
627351640,0,0,0,1,0,1,1,0,1,1,1,1,0
627861639,0,0,0,1,0,1,1,0,1,1,1,1,0
628371658,0,0,0,1,0,1,1,0,1,1,1,1,0
628882641,0,0,0,1,0,1,1,0,1,1,1,1,0
629392639,0,0,0,1,0,1,1,0,1,1,1,1,0
629902641,0,0,0,1,0,1,1,0,1,1,1,1,0
630412680,0,0,0,1,0,1,1,0,1,1,1,1,0
630922732,0,0,0,1,0,1,1,0,1,1,1,1,0
631432695,0,0,0,1,0,1,1,0,1,1,1,1,0
631942640,0,0,0,1,0,1,1,0,1,1,1,1,0
632451648,0,0,0,1,0,1,1,0,1,1,1,1,0
632960640,0,0,0,1,0,1,1,0,1,1,1,1,0
633469837,0,0,0,1,0,1,1,0,1,1,1,1,0
633978640,0,0,0,1,0,1,1,0,1,1,1,1,0
634488660,0,0,0,1,0,1,1,0,1,1,1,1,0
634998640,0,0,0,1,0,1,1,0,1,1,1,1,0
