timestamp,previous.timestamp,previous.lat,previous.lon,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.yawspeed,previous.loiter_radius,previous.acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.velocity_valid,previous.velocity_frame,previous.alt_valid,previous.yaw_valid,previous.yawspeed_valid,previous.landing_gear,previous.loiter_direction,previous.disable_weather_vane,previous._padding0[0],previous._padding0[1],previous._padding0[2],previous._padding0[3],previous._padding0[4],previous._padding0[5],current.timestamp,current.lat,current.lon,current.vx,current.vy,current.vz,current.alt,current.yaw,current.yawspeed,current.loiter_radius,current.acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.velocity_valid,current.velocity_frame,current.alt_valid,current.yaw_valid,current.yawspeed_valid,current.landing_gear,current.loiter_direction,current.disable_weather_vane,current._padding0[0],current._padding0[1],current._padding0[2],current._padding0[3],current._padding0[4],current._padding0[5],next.timestamp,next.lat,next.lon,next.vx,next.vy,next.vz,next.alt,next.yaw,next.yawspeed,next.loiter_radius,next.acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.velocity_valid,next.velocity_frame,next.alt_valid,next.yaw_valid,next.yawspeed_valid,next.landing_gear,next.loiter_direction,next.disable_weather_vane,next._padding0[0],next._padding0[1],next._padding0[2],next._padding0[3],next._padding0[4],next._padding0[5]
592092892,592092890,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592092891,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592092891,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592144131,592144114,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592144114,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592144131,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592293753,592293751,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592293752,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592293753,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592452931,592452930,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592452930,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592452931,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592651667,592651666,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592651666,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592651667,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592850779,592850778,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592850779,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592850779,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593050099,593050098,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593050098,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593050099,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593248971,593248970,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593248971,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593248971,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593448030,593448028,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593448029,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593448029,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593687027,593687026,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593687027,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593687027,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593885993,593885992,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593885992,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593885993,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594085139,594085138,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594085138,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594085139,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594284207,594284206,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594284207,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594284207,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594483329,594483327,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594483328,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594483328,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594647728,594647727,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594647727,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594647728,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594851658,594851657,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594851657,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594851658,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595050726,595050725,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595050725,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595050726,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595249771,595249770,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595249770,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595249771,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,-1.0,nan,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
