timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
539875287,1200.0,0.63944364,992.999,0.0,14427,0,33.99997,1033,97,0,0,150,0.09390126,0,0,1,1,0,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540884728,1200.0,0.63944364,1033.9321,0.0,14449,0,33.932137,1035,97,0,0,150,0.09371981,0,0,1,1,0,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541805696,1200.0,0.63944364,786.95355,0.0,14476,0,55.996696,1038,97,0,0,150,0.09344894,0,0,1,1,0,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542857711,1200.0,0.63944364,1102.6545,0.0,14498,0,33.866535,1040,97,0,0,150,0.09326923,0,0,1,1,0,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543888108,1200.0,0.63944364,785.42914,0.0,14527,0,33.932137,1042,97,0,0,150,0.093090214,0,0,1,1,0,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544939696,1200.0,0.63944364,915.67456,0.0,14556,0,33.73016,1044,97,0,0,150,0.09291188,0,0,1,1,0,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545849696,1200.0,0.63944364,1053.946,0.0,14576,0,33.966034,1046,97,0,0,150,0.092734225,0,0,1,1,0,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546890740,1200.0,0.63944364,757.4257,0.0,14603,0,33.66337,1048,97,0,0,152,0.09255725,0,0,1,1,0,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547945696,1200.0,0.63944364,1024.9004,0.0,14633,0,33.864544,1050,97,0,0,154,0.092380956,0,0,1,1,0,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548872696,1200.0,0.63944364,1024.9266,0.0,14654,0,33.93136,1052,97,0,0,154,0.09220532,0,0,1,1,0,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
