timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
545287200,545286620,45936231,42.3585499,-71.08724959999999,3.7375765,-3.374973,5.2242026,-5.0257313e-05,0.00017889676,0.0,0.030781452,-0.024879785,-0.0057277484,-0.025846064,-0.00027487415,-0.058527347,0.14861168,-0.026442422,-0.021821864,-0.021355122,2.5803726,0.053713392,5.8792515,0.1,0.59521973,0.45347613,0.19762607,0.1254858,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
545784871,545784351,45936231,42.3585499,-71.08724959999999,3.7246149,-3.3937438,5.221432,-5.0257313e-05,0.00017889676,0.0,0.018798731,-0.0266959,-0.0073864516,-0.020036494,-0.00027487415,-0.058527347,0.14861168,-0.02167949,0.041106563,0.008558569,2.57974,0.053713392,5.8792515,0.101463795,0.5887012,0.45481884,0.1966235,0.12571251,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
546292725,546292036,45936231,42.3585499,-71.08724959999999,3.7327125,-3.405961,5.201522,-5.0257313e-05,0.00017889676,0.0,0.023516782,-0.020945549,-0.013722706,-0.034443755,-0.00027487415,-0.058527347,0.14861168,-0.007460619,0.019528244,-0.071124464,2.5792933,0.053713392,5.8792515,0.1,0.6031784,0.4551354,0.2016411,0.12648644,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
546790335,546789769,45936231,42.3585499,-71.08724959999999,3.7444003,-3.389706,5.1939163,-5.0257313e-05,0.00017889676,0.0,0.023464704,-0.009262789,-0.011989159,-0.027023854,-0.00027487415,-0.058527347,0.14861168,0.037624918,-0.092400275,-0.013114428,2.5791082,0.053713392,5.8792515,0.10769606,0.59820616,0.4570622,0.20070145,0.12681483,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
547288095,547287498,45936231,42.3585499,-71.08724959999999,3.7866526,-3.3519394,5.1996684,-5.0257313e-05,0.00017889676,0.0,0.03556441,0.013832194,0.0051874598,0.0027434123,-0.00027487415,-0.058527347,0.14861168,0.023867352,-0.04341459,-0.032614194,2.5786247,0.053713392,5.8792515,0.107990265,0.6152448,0.46134654,0.20724116,0.128333,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
547785778,547785228,45936231,42.3585499,-71.08724959999999,3.8139892,-3.3169086,5.2036,-5.0257313e-05,0.00017889676,0.0,0.040200092,0.031024659,0.0059355535,0.0054547046,-0.00027487415,-0.058527347,0.14861168,0.01920638,0.04745108,-0.14287953,2.5783644,0.053713392,5.8792515,0.10519934,0.6067968,0.46205002,0.20323485,0.12795505,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
548283654,548282959,45936231,42.3585499,-71.08724959999999,3.8433888,-3.3052402,5.2136617,-5.0257313e-05,0.00017889676,0.0,0.04257182,0.034176614,0.011752366,0.016262647,-0.00027487415,-0.058527347,0.14861168,0.017428616,0.09648496,0.17132404,2.578604,0.053713392,5.8792515,0.10189724,0.6180171,0.4601754,0.20508611,0.12776287,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
548791238,548790645,45936231,42.3585499,-71.08724959999999,3.9196036,-3.2592082,5.2336144,-5.0257313e-05,0.00017889676,0.0,0.0634371,0.049189154,0.019980893,0.02930527,-0.00027487415,-0.058527347,0.14861168,-0.00784541,0.0068864836,-0.0013566676,2.578322,0.053713392,5.8792515,0.1,0.6135529,0.4624927,0.2038593,0.12799059,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
549288994,549288376,45936231,42.3585499,-71.08724959999999,3.9402595,-3.232085,5.2488685,-5.0257313e-05,0.00017889676,0.0,0.057345208,0.056660242,0.022090452,0.029134326,-0.00027487415,-0.058527347,0.14861168,-0.0021363192,0.02637184,0.029859575,2.5782561,0.053713392,5.8792515,0.1,0.63159233,0.4665343,0.21048383,0.12935664,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
549786721,549786107,45936231,42.3585499,-71.08724959999999,3.9492393,-3.2307112,5.262121,-5.0257313e-05,0.00017889676,0.0,0.046017565,0.0540601,0.030137133,0.032562476,-0.00027487415,-0.058527347,0.14861168,0.011802738,0.019615987,0.002802005,2.5783901,0.053713392,5.8792515,0.1,0.6114582,0.46319783,0.19819972,0.12701458,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
