timestamp,indicated_airspeed_m_s,calibrated_airspeed_m_s,true_airspeed_m_s,calibrated_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
539330432,-1.48035,-1.48035,-1.4884923,1.0091367,1.0606089,1,1
539430420,-1.48035,-1.48035,-1.4884845,1.0074527,1.058842,1,1
539530419,-2.5127723,-2.5127723,-2.5265772,1.008052,1.0594708,1,1
539730420,2.725425,2.725425,2.7403982,1.0130755,1.0647504,1,1
539930420,3.498235,3.498235,3.5174778,1.0132242,1.0649139,1,1
540130420,-2.5127723,-2.5127723,-2.5265856,1.0164455,1.0683073,1,1
540330423,-1.48035,-1.48035,-1.4884754,1.0122128,1.0638553,1,1
540530419,-2.062218,-2.062218,-2.0735624,1.0072474,1.0586494,1,1
540730419,-2.062218,-2.062218,-2.0735447,1.0052136,1.0565013,1,1
540930419,-1.0773991,-1.0773991,-1.0833204,1.0014138,1.0525262,1,1
541130419,1.1898912,1.1898912,1.1964144,1.0039577,1.0551889,1,1
541330419,2.5630233,2.5630233,2.5771043,1.000106,1.0511528,1,1
541530419,-2.5127747,-2.5127747,-2.526588,0.99823356,1.0491884,1,1
541730419,2.563021,2.563021,2.577089,0.99998116,1.0510452,1,1
541930419,-1.48035,-1.48035,-1.4884905,0.9975958,1.0485365,1,1
542130431,-1.48035,-1.48035,-1.4884886,0.9995228,1.0505606,1,1
542330419,1.9981108,1.9981108,2.0093665,0.99420303,1.044968,1,1
542530419,3.1900377,3.1900377,3.2075953,0.9909323,1.041538,1,1
542730419,1.9981139,1.9981139,2.0094666,0.98804843,1.0385138,1,1
542930453,1.9981139,1.9981139,2.00918,0.9872584,1.0376843,1,1
543130419,2.563021,2.563021,2.577553,0.986029,1.0363957,1,1
543330419,3.024187,3.024187,3.0410757,0.9896403,1.0401914,1,1
543530419,-2.0622149,-2.0622149,-2.0739098,0.9927006,1.043419,1,1
543730419,1.1898912,1.1898912,1.1966398,0.99716,1.0481137,1,1
543930419,-2.0622149,-2.0622149,-2.073904,1.0004327,1.0515444,1,1
544130419,-2.5127747,-2.5127747,-2.527056,0.9991247,1.050191,1,1
544330419,-1.9332405,-1.9332405,-1.9442183,1.0016164,1.0528103,1,1
544530420,-2.5127723,-2.5127723,-2.5270195,1.005495,1.0568897,1,1
544730419,-1.48035,-1.48035,-1.4887455,1.0028187,1.0540777,1,1
544930420,-2.5127723,-2.5127723,-2.5270133,1.0000361,1.051149,1,1
545130419,-0.36075184,-0.36075184,-0.36279777,0.99732435,1.0483025,1,1
545330419,1.3896636,1.3896636,1.397543,0.9979472,1.0489727,1,1
545530421,-2.5127747,-2.5127747,-2.5270011,0.9996173,1.0507194,1,1
545730419,-0.36075184,-0.36075184,-0.3627979,1.0039864,1.0553168,1,1
545930419,1.9981108,1.9981108,2.00945,1.0052756,1.056681,1,1
546130472,1.9981108,1.9981108,2.0094378,1.0053877,1.0567925,1,1
546330419,-1.9332373,-1.9332373,-1.9442047,1.0053772,1.0567925,1,1
546530419,-0.36075184,-0.36075184,-0.36280048,1.0112246,1.062946,1,1
546730420,2.5630233,2.5630233,2.5775557,1.0121292,1.0638968,1,1
546930420,-0.36075184,-0.36075184,-0.3628572,1.0149641,1.066877,1,1
547130419,-0.36075184,-0.36075184,-0.36279607,1.0150698,1.0670013,1,1
547330418,-1.48035,-1.48035,-1.4889537,1.01659,1.0686082,1,1
547530419,-2.5127723,-2.5127723,-2.5274653,1.015782,1.0677601,1,1
547730419,-2.5127747,-2.5127747,-2.527461,1.0235491,1.0759305,1,1
547930419,-2.0622149,-2.0622149,-2.0742774,1.0220097,1.0743202,1,1
548130439,-0.36075184,-0.36075184,-0.3628614,1.0230863,1.0754558,1,1
548330446,-2.5127747,-2.5127747,-2.5274687,1.0228217,1.0751776,1,1
548530419,1.9981108,1.9981108,2.0097759,1.0183493,1.0704694,1,1
548730419,0.7463005,0.7463005,0.75065744,1.0173756,1.0694492,1,1
548930421,-1.48035,-1.48035,-1.4889923,1.0209789,1.0732439,1,1
549130420,-0.36075184,-0.36075184,-0.36285597,1.024134,1.0765581,1,1
549330419,-1.6966268,-1.6966268,-1.7065312,1.0279129,1.0805358,1,1
549530419,-1.9332373,-1.9332373,-1.9445294,1.0310556,1.0838488,1,1
549730419,-1.9332405,-1.9332405,-1.9445292,1.0349135,1.0879141,1,1
549930419,1.9981139,1.9981139,2.0097783,1.0306004,1.0833782,1,1
