timestamp,safety_switch_available,safety_off
538982607,1,1
539995654,1,1
541000607,1,1
542007607,1,1
543008129,1,1
544016607,1,1
545025607,1,1
546034607,1,1
547043607,1,1
548051607,1,1
549058611,1,1
550067629,1,1
551076650,1,1
552085645,1,1
553094607,1,1
554103609,1,1
555111607,1,1
556120607,1,1
557129607,1,1
558137607,1,1
559146607,1,1
560155623,1,1
561165101,1,1
562173607,1,1
563183607,1,1
564191607,1,1
565200629,1,1
566209630,1,1
567217610,1,1
568226607,1,1
569227607,1,1
570237607,1,1
571246607,1,1
572255629,1,1
573265061,1,1
574272607,1,1
575281607,1,1
576290867,1,1
577299630,1,1
578308607,1,1
579317607,1,1
580325607,1,1
581335607,1,1
582344607,1,1
583352608,1,1
584363607,1,1
585371607,1,1
586381607,1,1
587389607,1,1
588398607,1,1
589407607,1,1
590416607,1,1
591425607,1,1
592434607,1,1
593443630,1,1
594445607,1,1
595455607,1,1
596464287,1,1
597466623,1,1
598475607,1,1
599484607,1,1
600492607,1,1
601502607,1,1
602510607,1,1
603513607,1,1
604521607,1,1
605530607,1,1
606539629,1,1
607548607,1,1
608556607,1,1
609563623,1,1
610572621,1,1
611581607,1,1
612591018,1,1
613594607,1,1
614599629,1,1
615609874,1,1
616618607,1,1
617627739,1,1
618636607,1,1
619637607,1,1
620646607,1,1
621655607,1,1
622663607,1,1
623672630,1,1
624680607,1,1
625689631,1,1
626698608,1,1
627707640,1,1
628717630,1,1
629726974,1,1
630735609,1,1
631744607,1,1
632751607,1,1
633758607,1,1
634767608,1,1
635774629,1,1
636783607,1,1
637791607,1,1
638800607,1,1
639809607,1,1
640818630,1,1
641828608,1,1
642836855,1,1
643845607,1,1
644854623,1,1
645863607,1,1
646873769,1,1
647883709,1,1
648891607,1,1
649899983,1,1
650909774,1,1
651917607,1,1
652926607,1,1
653935831,1,1
654944799,1,1
655953607,1,1
656962607,1,1
657971607,1,1
658980607,1,1
659988607,1,1
660997607,1,1
662008786,1,1
663014607,1,1
664022607,1,1
665032607,1,1
666040607,1,1
667048607,1,1
668057607,1,1
669067607,1,1
670075607,1,1
671084631,1,1
672093631,1,1
673102892,1,1
674113017,1,1
675121794,1,1
676129607,1,1
677139632,1,1
678148607,1,1
679157608,1,1
680167607,1,1
681176607,1,1
682185803,1,1
683195607,1,1
684204607,1,1
685212607,1,1
686220607,1,1
687229646,1,1
688237770,1,1
689246607,1,1
690255648,1,1
691264607,1,1
692273623,1,1
693283628,1,1
694283644,1,1
695292607,1,1
696301607,1,1
697311122,1,1
698318607,1,1
699326607,1,1
700327314,1,1
701335632,1,1
702343607,1,1
703350630,1,1
704359607,1,1
705368607,1,1
706377607,1,1
707385607,1,1
708394607,1,1
709402629,1,1
710411607,1,1
711420607,1,1
712431216,1,1
713439607,1,1
714443607,1,1
715453607,1,1
716463607,1,1
717471607,1,1
718480607,1,1
719489607,1,1
720498607,1,1
721506622,1,1
722515607,1,1
723524607,1,1
724533628,1,1
725537684,1,1
726545607,1,1
727554607,1,1
728559608,1,1
729569607,1,1
730578609,1,1
731587607,1,1
732596608,1,1
733605607,1,1
734615609,1,1
735623607,1,1
736632607,1,1
737641608,1,1
738650607,1,1
739659607,1,1
740668607,1,1
741676607,1,1
742686607,1,1
743695728,1,1
744704633,1,1
745713721,1,1
746722607,1,1
747731716,1,1
748740607,1,1
749748607,1,1
750757634,1,1
751766607,1,1
752775753,1,1
753784607,1,1
754791607,1,1
755800607,1,1
756809607,1,1
757818607,1,1
758827936,1,1
759835607,1,1
760844607,1,1
761853620,1,1
762862607,1,1
763871894,1,1
764879609,1,1
765888607,1,1
766897726,1,1
767906607,1,1
768915972,1,1
769924607,1,1
770934607,1,1
771943607,1,1
772951772,1,1
773960607,1,1
774969608,1,1
775974608,1,1
776983607,1,1
777991629,1,1
779001608,1,1
780009607,1,1
781018608,1,1
782027607,1,1
783036607,1,1
784045607,1,1
785055607,1,1
786065607,1,1
787074607,1,1
788082630,1,1
789091607,1,1
790100607,1,1
791109607,1,1
792120394,1,1
793127651,1,1
794136607,1,1
795146029,1,1
796154607,1,1
797163770,1,1
798172607,1,1
799180607,1,1
800189919,1,1
801198607,1,1
802207675,1,1
803217607,1,1
804225761,1,1
805235607,1,1
806244200,1,1
807252607,1,1
808261608,1,1
809270607,1,1
810279608,1,1
811288607,1,1
812296607,1,1
813303607,1,1
814312607,1,1
815322145,1,1
816330611,1,1
817338607,1,1
818347701,1,1
819355607,1,1
820364629,1,1
821373607,1,1
822382607,1,1
823391608,1,1
824400608,1,1
825408607,1,1
826413607,1,1
827423608,1,1
828432607,1,1
829441607,1,1
830449607,1,1
831458607,1,1
832467607,1,1
833476607,1,1
834485607,1,1
835494607,1,1
836503607,1,1
837513607,1,1
838523041,1,1
839530607,1,1
840539607,1,1
841547607,1,1
842556608,1,1
843564607,1,1
844573607,1,1
845582607,1,1
846590607,1,1
847599607,1,1
848608630,1,1
849617607,1,1
850626607,1,1
851634607,1,1
852643629,1,1
853652607,1,1
854660607,1,1
855669736,1,1
856678607,1,1
857687762,1,1
858696607,1,1
859705848,1,1
860713609,1,1
861722607,1,1
862731607,1,1
863740607,1,1
864748607,1,1
865756644,1,1
