timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
552324958,552224990,2490378,-0.018249841,0.0021367185,-0.004713428,0.34906584,2.0237012e-07,2.0222001e-07,4.3030855e-07,2490378,-0.26716322,0.30418912,-0.13585064,0.4,0.0005067948,0.0005070731,0.0005045707,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
553330339,553230407,2490378,-0.01826718,0.0021292765,-0.004653846,0.34906584,2.0054479e-07,2.0038843e-07,4.3064117e-07,2490378,-0.26714793,0.3042026,-0.13679215,0.4,0.00050688314,0.0005071621,0.00050457194,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
554335760,554235825,2490378,-0.018276151,0.0021513847,-0.00459803,0.34906584,2.0105249e-07,2.0089163e-07,4.309759e-07,2490378,-0.26713458,0.3042051,-0.13667849,0.4,0.00050697144,0.000507251,0.0005045706,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
554923095,554823148,2490378,-0.018224202,0.0021998968,-0.0045667076,0.34906584,2.0182225e-07,2.016594e-07,4.308674e-07,2490378,-0.26714775,0.30419365,-0.13560352,0.4,0.00050702365,0.0005073034,0.00050456985,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
555928496,555828566,2490378,-0.018224534,0.0021930009,-0.0045106905,0.34906584,2.0041546e-07,2.0024738e-07,4.3045148e-07,2490378,-0.26713702,0.30420235,-0.13486946,0.4,0.00050711253,0.0005073926,0.0005045716,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
556933939,556833984,2490378,-0.018235797,0.0021600625,-0.0044680354,0.34906584,2.0186687e-07,2.016979e-07,4.3078333e-07,2490378,-0.26712447,0.30421644,-0.13401595,0.4,0.00050720165,0.00050748204,0.00050457066,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
557939347,557839403,2490378,-0.018234096,0.002162801,-0.004421857,0.34906584,2.0402092e-07,2.0385198e-07,4.3036928e-07,2490378,-0.2671175,0.3042206,-0.1330189,0.4,0.00050728995,0.0005075705,0.0005045714,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
558944765,558844821,2490378,-0.01824104,0.002153792,-0.0043884832,0.34906584,2.0299929e-07,2.0282768e-07,4.3069605e-07,2490378,-0.2671108,0.3042263,-0.13376006,0.4,0.00050737924,0.0005076602,0.00050457066,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
559950234,559850240,2490378,-0.01822831,0.002155449,-0.0043407967,0.34906584,2.0232508e-07,2.0215106e-07,4.3027654e-07,2490378,-0.26710817,0.3042293,-0.13426472,0.4,0.0005074676,0.0005077489,0.00050456804,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
560955622,560855659,2490378,-0.018226288,0.0021310202,-0.0042996374,0.34906584,2.032145e-07,2.030388e-07,4.3060248e-07,2490378,-0.26710525,0.3042371,-0.13435039,0.4,0.0005075563,0.00050783786,0.0005045699,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
