timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
539373838,2490378,4259850,2490378,0,0,0.1495892,0.14958918,0.0,0.0,2490378,4325386,2490378,0,0,0.012109354,0.012109354,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
539378819,2490378,4259850,2490378,0,0,0.14792842,0.14792839,0.0,0.0,2490378,4325386,2490378,0,0,0.012082505,0.012082505,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
539572922,2490378,4259850,2490378,0,0,0.15531164,0.15531161,0.0,0.0,2490378,4325386,2490378,0,0,0.012127815,0.012127815,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
539772019,2490378,4259850,2490378,0,0,0.14949393,0.14949393,0.0,0.0,2490378,4325386,2490378,0,0,0.011722225,0.011722227,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
539971109,2490378,4259850,2490378,0,0,0.15092453,0.15092452,0.0,0.0,2490378,4325386,2490378,0,0,0.0116936155,0.011693617,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
540175178,2490378,4259850,2490378,0,0,0.14685394,0.14685394,0.0,0.0,2490378,4325386,2490378,0,0,0.012034915,0.012034917,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
540374264,2490378,4259850,2490378,0,0,0.14772332,0.14772333,0.0,0.0,2490378,4325386,2490378,0,0,0.011554196,0.011554196,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
540573355,2490378,4259850,2490378,0,0,0.14739579,0.1473958,0.0,0.0,2490378,4325386,2490378,0,0,0.011685875,0.011685875,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
540777429,2490378,4259850,2490378,0,0,0.14535476,0.14535473,0.0,0.0,2490378,4325386,2490378,0,0,0.011574953,0.011574953,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
540976516,2490378,4259850,2490378,0,0,0.14397638,0.14397638,0.0,0.0,2490378,4325386,2490378,0,0,0.011466191,0.011466191,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
