timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
592093760,-0.23641855,0.061453722,-0.005828906,0.0,0.0,0.0
592098621,-0.23635398,0.06126653,-0.005809555,0.0,0.0,0.0
592113814,-0.23632416,0.061668202,-0.005846901,0.0,0.0,0.0
592133603,-0.23706491,0.06371938,-0.006060428,0.0,0.0,0.0
592153555,-0.23902969,0.06512619,-0.006245882,0.0,0.0,0.0
592173384,-0.24018057,0.06522898,-0.0062860446,0.0,0.0,0.0
592193297,-0.24163112,0.06636173,-0.006434072,0.0,0.0,0.0
592213204,-0.24877241,0.070466824,-0.007035317,0.0,0.0,0.0
592237995,-0.27360117,0.084144235,-0.009245727,0.0,0.0,0.0
592253062,-0.30041826,0.096892424,-0.011699671,0.0,0.0,0.0
592272974,-0.30930465,0.09747647,-0.012121883,0.0,0.0,0.0
592293008,-0.30818334,0.09421753,-0.011673703,0.0,0.0,0.0
592313302,-0.31274062,0.09778716,-0.012297019,0.0,0.0,0.0
592332899,-0.3256183,0.10619872,-0.0139108505,0.0,0.0,0.0
592352883,-0.34318936,0.1166327,-0.016112177,0.0,0.0,0.0
592377409,-0.35171717,0.12065153,-0.017086968,0.0,0.0,0.0
592392700,-0.3502804,0.118322745,-0.016687801,0.0,0.0,0.0
592412763,-0.34786668,0.11477145,-0.01607394,0.0,0.0,0.0
592437076,-0.3470436,0.11289007,-0.015772555,0.0,0.0,0.0
592452161,-0.34583247,0.11164593,-0.015543591,0.0,0.0,0.0
592472019,-0.3412953,0.10856989,-0.014914528,0.0,0.0,0.0
592496803,-0.33259034,0.10380098,-0.013891331,0.0,0.0,0.0
592516711,-0.32334587,0.09884965,-0.012856823,0.0,0.0,0.0
592531782,-0.3168361,0.09534012,-0.0121479845,0.0,0.0,0.0
592556534,-0.30808413,0.090600334,-0.011221875,0.0,0.0,0.0
592576437,-0.3052891,0.08934728,-0.010965259,0.0,0.0,0.0
592591480,-0.30173194,0.08826451,-0.010704918,0.0,0.0,0.0
592611385,-0.2951816,0.08599216,-0.010200769,0.0,0.0,0.0
592636167,-0.28746855,0.082779974,-0.00956083,0.0,0.0,0.0
592656075,-0.28350112,0.081262656,-0.009254927,0.0,0.0,0.0
592671186,-0.2813991,0.080279626,-0.009074602,0.0,0.0,0.0
592695897,-0.27873844,0.07952793,-0.0089039225,0.0,0.0,0.0
592715803,-0.27753988,0.07881913,-0.008786307,0.0,0.0,0.0
592730877,-0.27682906,0.07861027,-0.008740396,0.0,0.0,0.0
592755642,-0.277014,0.0773038,-0.008600922,0.0,0.0,0.0
592775533,-0.2779009,0.07572249,-0.008452183,0.0,0.0,0.0
592795440,-0.27646488,0.07670988,-0.008517786,0.0,0.0,0.0
592815349,-0.27508888,0.078394584,-0.008661176,0.0,0.0,0.0
592835263,-0.27488512,0.07870376,-0.008688841,0.0,0.0,0.0
592855170,-0.27462357,0.07905483,-0.008719228,0.0,0.0,0.0
592875100,-0.27494115,0.0790137,-0.00872485,0.0,0.0,0.0
592895046,-0.27474275,0.07928138,-0.008748041,0.0,0.0,0.0
592914924,-0.27491874,0.07935705,-0.008762044,0.0,0.0,0.0
592934839,-0.2794682,0.079949066,-0.008974705,0.0,0.0,0.0
