timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
539798320,539798127,45930887,42.3585499,-71.08724959999999,3.5089526,-2.9769733,5.389644,135.74428,-67.36629,0.004210472,0.050406292,0.012319334,0.02224647,0.014918748,27.919779,-14.272897,-0.8739293,0.04950256,0.060145535,-0.07915712,2.9686444,-0.0044271164,5.8788695,0.10115671,0.6262194,0.46230477,0.20679684,0.12809835,inf,inf,inf,inf,1,1,1,1,8,21,8,28,4,0,1,1,1,0
540298307,540298069,45930887,42.3585499,-71.08724959999999,3.5403814,-2.99996,5.3965306,135.74428,-67.36629,0.004210472,0.05033989,0.007164717,0.017807717,0.012078528,27.919779,-14.272897,-0.8739293,0.055271722,-0.053472374,0.013250342,2.967934,-0.0044271164,5.8788695,0.1,0.6272218,0.45777893,0.20162383,0.12649326,inf,inf,inf,inf,1,1,1,1,8,21,8,28,4,0,1,1,1,0
540798253,540798012,45930887,42.3585499,-71.08724959999999,3.5753448,-3.0442295,5.3888297,135.74428,-67.36629,0.004210472,0.052928474,-0.00824935,0.012853123,2.1549633e-05,27.919779,-14.272897,-0.8739293,0.0052666995,-0.046277896,0.059945147,2.9672108,-0.0044271164,5.8788695,0.1,0.59344846,0.44882485,0.18050034,0.121424235,inf,inf,inf,inf,1,1,1,1,8,21,8,28,4,0,1,1,1,0
541298146,541297954,45930887,42.3585499,-71.08724959999999,3.5831885,-3.1184373,5.37324,135.74428,-67.36629,0.004210472,0.039127383,-0.03012608,0.008712012,-0.017064074,27.919779,-14.272897,-0.8739293,0.016342511,-0.038718853,-0.12380434,2.9663393,-0.0044271164,5.8788695,0.1,0.59695387,0.44901386,0.18223415,0.12152596,inf,inf,inf,inf,1,1,1,1,8,21,8,28,4,0,1,1,1,0
541798218,541797897,45930887,42.3585499,-71.08724959999999,3.5958395,-3.180374,5.351115,135.74428,-67.36629,0.004210472,0.03010956,-0.04023166,0.011345515,-0.023851093,27.919779,-14.272897,-0.8739293,-0.0023168128,0.0035671766,0.120769545,2.966029,-0.0044271164,5.8788695,0.1,0.5834315,0.44416335,0.17988539,0.12043485,inf,inf,inf,inf,1,1,1,1,8,21,8,28,4,0,1,1,1,0
542298283,542297839,45930887,42.3585499,-71.08724959999999,3.6148767,-3.2307322,5.334044,135.74428,-67.36629,0.004210472,0.030048775,-0.04600595,0.0052252742,-0.033714075,27.919779,-14.272897,-0.8739293,0.03619692,0.01892673,-0.0863166,2.9659617,-0.0044271164,5.8788695,0.1,0.57611513,0.4457607,0.18203786,0.12119883,inf,inf,inf,inf,1,1,1,1,8,21,8,28,4,0,1,1,1,0
542797991,542797782,45930887,42.3585499,-71.08724959999999,3.632488,-3.3161228,5.3003044,135.74428,-67.36629,0.004210472,0.022021376,-0.06919226,-0.00015135366,-0.04815384,27.919779,-14.272897,-0.8739293,0.012919773,-0.075730205,-0.08554452,2.965939,-0.0044271164,5.8788695,0.1,0.5844244,0.44815052,0.18639167,0.122259505,inf,inf,inf,inf,1,1,1,1,8,21,8,28,4,0,1,1,1,0
543297944,543297725,45930887,42.3585499,-71.08724959999999,3.6455028,-3.3606417,5.2709846,135.74428,-67.36629,0.004210472,0.017078843,-0.07511681,-0.02221915,-0.06698659,27.919779,-14.272897,-0.8739293,0.045565154,-0.009671874,-0.0708737,2.9658656,-0.0044271164,5.8788695,0.10571337,0.59377235,0.45080227,0.19137242,0.12344086,inf,inf,inf,inf,1,1,1,1,8,21,8,28,4,0,1,1,1,0
543797856,543797667,45930887,42.3585499,-71.08724959999999,3.6491969,-3.3752327,5.2499022,135.74428,-67.36629,0.004210472,0.007963292,-0.06695774,-0.022920558,-0.05623307,27.919779,-14.272897,-0.8739293,-0.027920343,-0.02297,0.02175661,2.966034,-0.0044271164,5.8788695,0.10904789,0.5792826,0.4491845,0.18524969,0.12227042,inf,inf,inf,inf,1,1,1,1,8,21,8,28,4,0,1,1,1,0
544297860,544297610,45930887,42.3585499,-71.08724959999999,3.6814933,-3.381736,5.2343864,135.74428,-67.36629,0.004210472,0.010744159,-0.05447975,-0.011127537,-0.037067503,27.919779,-14.272897,-0.8739293,-0.023088701,0.044888124,0.018689457,2.966122,-0.0044271164,5.8788695,0.1,0.5903816,0.44880578,0.19146788,0.123278886,inf,inf,inf,inf,1,1,1,1,8,21,8,28,4,0,1,1,1,0
544797768,544797553,45930887,42.3585499,-71.08724959999999,3.70364,-3.3733437,5.2280703,135.74428,-67.36629,0.004210472,0.018888114,-0.037766088,-0.010479969,-0.027789993,27.919779,-14.272897,-0.8739293,0.051242705,0.004418403,-0.019637259,2.9662845,-0.0044271164,5.8788695,0.10586786,0.57931054,0.44866836,0.18830757,0.12288589,inf,inf,inf,inf,1,1,1,1,8,21,8,28,4,0,1,1,1,0
545297686,545297496,45930887,42.3585499,-71.08724959999999,3.7385924,-3.3814259,5.2186704,135.74428,-67.36629,0.004210472,0.030021835,-0.03389421,-0.006473805,-0.023790717,27.919779,-14.272897,-0.8739293,0.03260667,-0.066067494,-0.069087505,2.9664574,-0.0044271164,5.8788695,0.1,0.59677327,0.45416245,0.1983872,0.12535653,inf,inf,inf,inf,1,1,1,1,8,21,8,28,4,0,1,1,1,0
545797626,545797438,45930887,42.3585499,-71.08724959999999,3.724528,-3.401962,5.2162185,135.74428,-67.36629,0.004210472,0.017286688,-0.036962233,-0.0057999915,-0.016294498,27.919779,-14.272897,-0.8739293,0.003927105,0.15578431,0.19968593,2.9666772,-0.0044271164,5.8788695,0.10152578,0.5904427,0.45570838,0.19750293,0.12562014,inf,inf,inf,inf,1,1,1,1,8,21,8,28,4,0,1,1,1,0
546297588,546297381,45930887,42.3585499,-71.08724959999999,3.7321556,-3.4146369,5.1977267,135.74428,-67.36629,0.004210472,0.0185211,-0.031874526,-0.011238572,-0.03008389,27.919779,-14.272897,-0.8739293,-0.005029614,-0.02603347,-0.024754,2.9665961,-0.0044271164,5.8788695,0.1,0.604111,0.45533913,0.20214212,0.12624264,inf,inf,inf,inf,1,1,1,1,8,21,8,28,4,0,1,1,1,0
546797673,546797327,45930887,42.3585499,-71.08724959999999,3.7429414,-3.3985376,5.1917,135.74428,-67.36629,0.004210472,0.018898435,-0.019719608,-0.010112921,-0.023580588,27.919779,-14.272897,-0.8739293,0.023802483,0.008074941,0.16149119,2.9663553,-0.0044271164,5.8788695,0.106954575,0.59937495,0.4574465,0.2012618,0.12660582,inf,inf,inf,inf,1,1,1,1,8,21,8,28,4,0,1,1,1,0
