timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch
538422029,538389737,2,1,0,0,0,0,0,0,0,0,0
539447542,539419640,2,1,0,0,0,0,0,0,0,0,0
539530318,539504583,3,4,0,0,0,0,0,0,0,0,0
539604863,539578794,4,6,0,0,0,0,0,0,0,0,0
540620633,540594385,4,6,0,0,0,0,0,0,0,0,0
541640342,541614602,4,6,0,0,0,0,0,0,0,0,0
542660800,542634910,4,6,0,0,0,0,0,0,0,0,0
543676213,543650211,4,6,0,0,0,0,0,0,0,0,0
544676496,544650830,4,6,0,0,0,0,0,0,0,0,0
545682070,545656192,4,6,0,0,0,0,0,0,0,0,0
546697309,546671601,4,6,0,0,0,0,0,0,0,0,0
547717923,547691789,4,6,0,0,0,0,0,0,0,0,0
548728038,548702288,4,6,0,0,0,0,0,0,0,0,0
549738565,549712600,4,6,0,0,0,0,0,0,0,0,0
550744021,550718331,4,6,0,0,0,0,0,0,0,0,0
551744301,551718717,4,6,0,0,0,0,0,0,0,0,0
552749799,552724034,4,6,0,0,0,0,0,0,0,0,0
553760291,553734264,4,6,0,0,0,0,0,0,0,0,0
554770486,554744809,4,6,0,0,0,0,0,0,0,0,0
555785891,555760132,4,6,0,0,0,0,0,0,0,0,0
556801237,556775501,4,6,0,0,0,0,0,0,0,0,0
557806703,557780965,4,6,0,0,0,0,0,0,0,0,0
558817190,558791304,4,6,0,0,0,0,0,0,0,0,0
559837405,559811762,4,6,0,0,0,0,0,0,0,0,0
560853012,560831929,4,6,0,0,0,0,0,0,0,0,0
561858286,561839345,4,6,0,0,0,0,0,0,0,0,0
562868775,562849600,4,6,0,0,0,0,0,0,0,0,0
563880996,563848155,4,6,0,0,0,0,0,0,0,0,0
564891304,564858730,4,6,0,0,0,0,0,0,0,0,0
565921915,565888883,4,6,0,0,0,0,0,0,0,0,0
566951974,566919450,4,6,0,0,0,0,0,0,0,0,0
567972369,567939543,4,6,0,0,0,0,0,0,0,0,0
569002544,568969956,4,6,0,0,0,0,0,0,0,0,0
570018179,569985321,4,6,0,0,0,0,0,0,0,0,0
571048577,571015797,4,6,0,0,0,0,0,0,0,0,0
572078697,572046022,4,6,0,0,0,0,0,0,0,0,0
573094063,573061290,4,6,0,0,0,0,0,0,0,0,0
574109299,574076670,4,6,0,0,0,0,0,0,0,0,0
575134749,575102078,4,6,0,0,0,0,0,0,0,0,0
576165143,576132235,4,6,0,0,0,0,0,0,0,0,0
577180444,577147645,4,6,0,0,0,0,0,0,0,0,0
578205832,578172936,4,6,0,0,0,0,0,0,0,0,0
579221085,579188316,4,6,0,0,0,0,0,0,0,0,0
580231575,580198929,4,6,0,0,0,0,0,0,0,0,0
581246783,581214258,4,6,0,0,0,0,0,0,0,0,0
582257413,582224788,4,6,0,0,0,0,0,0,0,0,0
583267683,583234969,4,6,0,0,0,0,0,0,0,0,0
584282875,584250345,4,6,0,0,0,0,0,0,0,0,0
585308238,585275779,4,6,0,0,0,0,0,0,0,0,0
586319038,586285953,4,6,0,0,0,0,0,0,0,0,0
587334264,587301452,4,6,0,0,0,0,0,0,0,0,0
588359668,588326630,4,6,0,0,0,0,0,0,0,0,0
589389804,589357050,4,6,0,0,0,0,0,0,0,0,0
590400192,590367329,4,6,0,0,0,0,0,0,0,0,0
591410440,591377861,4,6,0,0,0,0,0,0,0,0,0
593633516,593607739,4,6,0,0,0,0,0,0,0,0,0
594648809,594623539,4,6,0,0,0,0,0,0,0,0,0
595659330,595633328,4,6,0,0,0,0,0,0,0,0,0
596674673,596648687,4,6,0,0,0,0,0,0,0,0,0
597685033,597659187,4,6,0,0,0,0,0,0,0,0,0
598705509,598679447,4,6,0,0,0,0,0,0,0,0,0
599710984,599684879,4,6,0,0,0,0,0,0,0,0,0
600726193,600700280,4,6,0,0,0,0,0,0,0,0,0
602647405,602621478,4,6,0,0,0,0,0,0,0,0,0
603657686,603632257,4,6,0,0,0,0,0,0,0,0,0
604673211,604647299,4,6,0,0,0,0,0,0,0,0,0
605693549,605667580,4,6,0,0,0,0,0,0,0,0,0
606709196,606682943,4,6,0,0,0,0,0,0,0,0,0
607729114,607703539,4,6,0,0,0,0,0,0,0,0,0
608744519,608718745,4,6,0,0,0,0,0,0,0,0,0
609749857,609731145,4,6,0,0,0,0,0,0,0,0,0
610765228,610746251,4,6,0,0,0,0,0,0,0,0,0
611775735,611756553,4,6,0,0,0,0,0,0,0,0,0
612781270,612767218,4,6,0,0,0,0,0,0,0,0,0
614144901,614118916,4,6,0,0,0,0,0,0,0,0,0
615921788,615896132,4,6,0,0,0,0,0,0,0,0,0
618918111,618892205,4,6,0,0,0,0,0,0,0,0,0
619933348,619907734,4,6,0,0,0,0,0,0,0,0,0
620938707,620913288,4,6,0,0,0,0,0,0,0,0,0
866776784,866751091,4,6,0,0,0,0,0,0,0,0,0
869294927,869269266,4,6,0,0,0,0,0,0,0,0,0
870315461,870289316,4,6,0,0,0,0,0,0,0,0,0
