timestamp,load,ram_usage
539326795,0.24555284,0.36639595
539827144,0.3013789,0.3664463
540326805,0.27181286,0.3664463
540826800,0.26180208,0.3664463
541326796,0.26084262,0.3664463
541826795,0.26037198,0.3664463
542326795,0.26012748,0.3664463
542826795,0.25955403,0.3664463
543326836,0.26076,0.3664463
543826796,0.26006794,0.3664463
544326796,0.260938,0.3664463
544826796,0.25939548,0.3664463
545327366,0.26220977,0.3664463
545826796,0.26047087,0.3664463
546326795,0.26141453,0.3664463
546826811,0.2613535,0.3664463
547326796,0.26046455,0.3664463
547826796,0.26151747,0.3664463
548326795,0.260136,0.3664463
548826796,0.260634,0.3664463
549326797,0.260826,0.3664463
549826819,0.26008654,0.3664463
550326795,0.261136,0.3664463
550827314,0.25988477,0.3664463
551326867,0.2593202,0.3664463
551827801,0.26007253,0.3664463
552327138,0.26044548,0.3664463
552827024,0.26103443,0.3664463
553326796,0.259821,0.3664463
553826968,0.26048636,0.3664463
554326920,0.26100105,0.3664463
554826885,0.2600562,0.3664463
555326827,0.26069677,0.3664463
555826796,0.25898552,0.3664463
556328106,0.26154476,0.3664463
556826863,0.26012516,0.3664463
557326804,0.2600342,0.3664463
557826796,0.26003617,0.3664463
558326796,0.25706202,0.3664463
558826796,0.25807798,0.3664463
559326796,0.26046854,0.3664463
559826795,0.26049697,0.3664463
560326796,0.25983852,0.3664463
560826846,0.26069593,0.3664463
561326796,0.25970596,0.3664463
561826907,0.2581737,0.3664463
562326795,0.2614215,0.3664463
562827549,0.25843418,0.3664463
563326795,0.26334834,0.3664463
563826795,0.258448,0.3664463
564326796,0.26301146,0.3664463
564826796,0.25838453,0.3664463
565326796,0.26299548,0.3664463
565826796,0.25858003,0.3664463
566326795,0.2625845,0.3664463
566826795,0.2589835,0.3664463
567327077,0.2623111,0.3664463
567826811,0.2587629,0.3664463
568327177,0.2610125,0.3664463
568826796,0.26556146,0.3664463
569326795,0.26204145,0.3664463
569826796,0.25952452,0.3664463
570326797,0.260998,0.3664463
570826821,0.25910932,0.3664463
571326796,0.26167524,0.3664463
571826797,0.25997096,0.3664463
572326797,0.26054853,0.3664463
572826798,0.25955147,0.3664463
573326796,0.2617765,0.3664463
573827587,0.2606876,0.3664463
574326837,0.26253092,0.3664463
574826809,0.25952756,0.3664463
575326795,0.2617188,0.3664463
575826796,0.25918198,0.3664463
576326796,0.26332003,0.3664463
576826796,0.25892252,0.3664463
577326796,0.263606,0.3664463
577826796,0.2588455,0.3664463
578327167,0.26222193,0.3664463
578826796,0.25867796,0.3664463
579327084,0.26094502,0.3664463
579826816,0.25996804,0.3664463
580326796,0.2611454,0.3664463
580826796,0.26018453,0.3664463
581326796,0.261882,0.3664463
581826796,0.26024997,0.3664463
582326801,0.2629394,0.3664463
582826796,0.25959557,0.3664463
583326796,0.26135707,0.3664463
583826797,0.26694798,0.3664463
584326795,0.26131052,0.3664463
584827369,0.2601319,0.3664463
585326795,0.26186812,0.3664463
585826795,0.258996,0.3664463
586326796,0.26205748,0.3664463
586826795,0.257792,0.3664463
587326797,0.26220852,0.3664463
587826796,0.25982547,0.3664463
588326796,0.25990403,0.3664463
588826795,0.260094,0.3664463
589326917,0.26177323,0.3664463
589826797,0.2553175,0.3664463
590327022,0.2596516,0.3664463
590826870,0.2607237,0.3664463
591326797,0.26081705,0.3664463
591826796,0.26004398,0.3664463
592326795,0.26832455,0.3664463
592826796,0.26102698,0.3664463
593326796,0.26105452,0.3664463
593826796,0.26978803,0.3664463
594326796,0.262798,0.3664463
594826796,0.26393002,0.3664463
595326796,0.26276052,0.3664463
595827301,0.26363713,0.3664463
596326931,0.2624693,0.3664463
596826878,0.26144147,0.3664463
597326840,0.26955885,0.3664463
597826796,0.2625391,0.3664463
598326795,0.26407856,0.3664463
598826797,0.26340145,0.3664463
599326796,0.263498,0.3664463
599826795,0.26257002,0.3664463
600326926,0.26213384,0.3664463
600826808,0.25866956,0.3664463
601326844,0.264049,0.3664463
601826809,0.2627259,0.3664463
602327516,0.268003,0.3664463
602826796,0.269624,0.3664463
