timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
592093762,-0.00055890146,0.00014136721,-1.9068848e-05,0.0
592098623,-0.0005238401,0.00011833629,-1.8165587e-05,0.0
592293010,-0.0007752047,0.0002168746,-1.4912618e-05,0.0
592496805,-0.00039194018,2.5077612e-05,-9.0319336e-05,0.0
592695899,-0.00057118805,0.00011112421,-3.564744e-05,0.0
592895047,-0.00059928553,0.00018621857,-2.1181688e-05,0.0
593094084,-0.0005596789,5.8080823e-05,-0.0001319378,0.0
593293190,-0.00049976463,0.0001838721,-4.9243583e-05,0.0
593492684,-0.00070102466,0.00012946661,-3.693444e-05,0.0
593696476,-0.00064916105,0.00018529744,-2.5488713e-05,0.0
593895567,-0.00062032696,0.00021454252,-2.6709578e-05,0.0
594094712,-0.00065952784,0.00022382509,-2.5613674e-05,0.0
594293756,-0.0006654095,0.00021789118,-2.7832666e-05,0.0
594492810,-0.0006344151,0.00022851815,-2.8334101e-05,0.0
594691998,-0.00066323974,0.00023423797,-2.9595582e-05,0.0
594895894,-0.000620363,0.00021019734,-2.8821087e-05,0.0
595094952,-0.0006194431,0.00019122,-2.6245043e-05,0.0
595294045,-0.00060562923,0.00017627362,-2.2385253e-05,0.0
595493137,-0.000625767,0.0001640722,-2.4447983e-05,0.0
595692355,-0.0006364807,0.0001766729,-2.440053e-05,0.0
595891328,-0.0006026182,0.00017339732,-2.20062e-05,0.0
596090443,-0.0006128379,0.00018181541,-2.4712293e-05,0.0
596294664,-0.0006405907,0.0001726129,-2.1845042e-05,0.0
596493686,-0.00063237426,0.00015334855,-1.9748728e-05,0.0
596692782,-0.00062157196,0.00016936216,-2.299201e-05,0.0
596892170,-0.0006527544,0.00016879909,-2.3092884e-05,0.0
597095835,-0.00059576554,0.00020106042,-2.3994628e-05,0.0
597294925,-0.00058901776,0.00019994819,-2.4093963e-05,0.0
597494048,-0.00059275725,0.00019319757,-2.3582925e-05,0.0
597698215,-0.000620003,0.00021880458,-2.6393793e-05,0.0
597897273,-0.00062116806,0.0002262021,-2.6954198e-05,0.0
598096372,-0.0006089423,0.00021744399,-2.875225e-05,0.0
598295511,-0.0006079403,0.00021252618,-2.5279163e-05,0.0
598494577,-0.00061604305,0.00021443158,-2.5478692e-05,0.0
598693696,-0.0006198718,0.00020820033,-2.7495333e-05,0.0
598892782,-0.00060585927,0.00022522197,-2.4275067e-05,0.0
599096793,-0.00055651384,0.00019115991,-2.3295777e-05,0.0
599295794,-0.00057554437,0.00019702378,-2.3065206e-05,0.0
599494882,-0.00057103194,0.00019665505,-2.2418388e-05,0.0
599694016,-0.00057630125,0.00019884345,-2.5110585e-05,0.0
599893070,-0.00055632775,0.00020008479,-2.2888538e-05,0.0
600092196,-0.0005721766,0.00019483155,-2.358136e-05,0.0
600291255,-0.0005646023,0.00018243644,-2.3308254e-05,0.0
600495452,-0.0005929224,0.00020115283,-2.4596286e-05,0.0
600694513,-0.0006218741,0.00015881179,-2.4429375e-05,0.0
600893880,-0.0006226871,0.00020292183,-2.2754492e-05,0.0
601092708,-0.0005684716,0.00021060582,-1.8626597e-05,0.0
601291842,-0.0008159455,-0.00013748545,-1.0743853e-06,0.0
601490935,-0.0006915201,0.00015517719,-1.6728625e-05,0.0
601694848,-0.00055218395,6.6247725e-05,-4.0820247e-05,0.0
601893962,-0.00058580836,0.00016113643,-1.5820622e-05,0.0
602093028,-0.00056823477,0.00020443239,-1.9677183e-05,0.0
602297201,-0.0006120713,0.0001951169,-2.2699585e-05,0.0
602496571,-0.000641766,0.00015970938,-2.7491245e-05,0.0
602695383,-0.00062383665,0.00017341589,-1.9345676e-05,0.0
602894476,-0.0006178432,0.0001874435,-2.2780434e-05,0.0
603093680,-0.00064438814,0.00023675601,-1.9857802e-05,0.0
603292664,-0.00061327673,0.00018285966,-2.8217124e-05,0.0
603496642,-0.00059695804,0.00017091823,-2.4065215e-05,0.0
603695710,-0.00070506905,-4.282582e-06,-2.390683e-05,0.0
603894822,-0.0005994371,0.00022305446,-8.692363e-06,0.0
604093897,-0.00063854497,0.00015748716,-2.7354341e-05,0.0
604293008,-0.00043927087,0.00023540916,-1.4048505e-05,0.0
604492073,-0.0006683166,0.00014732215,-1.5552418e-05,0.0
604696437,-0.0008249539,0.00012156786,-8.677761e-07,0.0
604895340,-0.00068713457,0.0001620301,-3.6977675e-05,0.0
605094460,-0.0006570218,6.7161694e-05,-4.5910598e-05,0.0
605293551,-0.0006549111,9.822418e-05,-2.492588e-05,0.0
605492624,-0.00073743396,0.00013730541,-3.688717e-06,0.0
605691764,-0.00061084033,0.00017026105,-2.8407187e-05,0.0
605891129,-0.0006581163,0.00017493882,-1.873382e-05,0.0
606089899,-0.00063712505,0.00014317087,-2.3386167e-05,0.0
606293846,-0.0005854822,0.00015603783,-1.9488753e-05,0.0
606492939,-0.0006054914,0.0001464599,-2.1409043e-05,0.0
606692035,-0.0005851103,0.000165439,-1.7689155e-05,0.0
606896248,-0.0006193741,0.00016402219,-2.093018e-05,0.0
607095374,-0.00063316076,0.00014583439,-1.9867624e-05,0.0
607294400,-0.00060123,0.00015612067,-1.893041e-05,0.0
607493480,-0.000615494,0.00014593704,-1.838395e-05,0.0
607697434,-0.0005838612,0.00015987863,-2.0654683e-05,0.0
607896540,-0.0005915225,0.00015354382,-1.8752418e-05,0.0
608095703,-0.0005577665,0.00013884465,-1.6355609e-05,0.0
608294748,-0.0005778433,0.00014238228,-1.9141966e-05,0.0
608493850,-0.0005888636,0.00015858085,-2.0966389e-05,0.0
608692927,-0.00059866783,0.0001338666,-1.9389865e-05,0.0
608897091,-0.0006127998,0.00012064381,-1.8032553e-05,0.0
609096195,-0.0005935543,0.00014112401,-1.6760603e-05,0.0
609295270,-0.00061036233,0.00013968667,-1.9801217e-05,0.0
609494358,-0.0006117863,0.00014488642,-1.9004736e-05,0.0
609693425,-0.00060192466,0.00013619063,-1.8185812e-05,0.0
609892550,-0.0005780502,0.00014888187,-1.7476408e-05,0.0
610091629,-0.0006166502,0.00013813566,-2.6184473e-05,0.0
610295575,-0.00065004133,5.4696156e-05,-2.5156149e-05,0.0
610494692,-0.0006210475,0.00016282355,-1.980288e-05,0.0
