timestamp,imbalanced_prop_metric,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_high_wind,fd_battery,fd_imbalanced_prop
538972375,nan,0,0,0,0,0,0,0,0
539475057,nan,0,0,0,0,0,0,0,0
539985127,nan,0,0,0,0,0,0,0,0
540494648,nan,0,0,0,0,0,0,0,0
541004489,nan,0,0,0,0,0,0,0,0
541513220,nan,0,0,0,0,0,0,0,0
542022916,nan,0,0,0,0,0,0,0,0
542532847,nan,0,0,0,0,0,0,0,0
543033666,nan,0,0,0,0,0,0,0,0
543543728,nan,0,0,0,0,0,0,0,0
544053997,nan,0,0,0,0,0,0,0,0
544564093,nan,0,0,0,0,0,0,0,0
545074493,nan,0,0,0,0,0,0,0,0
545583757,nan,0,0,0,0,0,0,0,0
546094288,nan,0,0,0,0,0,0,0,0
546604097,nan,0,0,0,0,0,0,0,0
547113140,nan,0,0,0,0,0,0,0,0
547622636,nan,0,0,0,0,0,0,0,0
548132578,nan,0,0,0,0,0,0,0,0
548641138,nan,0,0,0,0,0,0,0,0
549151276,nan,0,0,0,0,0,0,0,0
549661082,nan,0,0,0,0,0,0,0,0
550170846,nan,0,0,0,0,0,0,0,0
550680887,nan,0,0,0,0,0,0,0,0
551191246,nan,0,0,0,0,0,0,0,0
551701352,nan,0,0,0,0,0,0,0,0
552210794,nan,0,0,0,0,0,0,0,0
552720765,nan,0,0,0,0,0,0,0,0
553230558,nan,0,0,0,0,0,0,0,0
553741258,nan,0,0,0,0,0,0,0,0
554250535,nan,0,0,0,0,0,0,0,0
554759884,nan,0,0,0,0,0,0,0,0
555269932,nan,0,0,0,0,0,0,0,0
555780034,nan,0,0,0,0,0,0,0,0
556290388,nan,0,0,0,0,0,0,0,0
556799769,nan,0,0,0,0,0,0,0,0
557310236,nan,0,0,0,0,0,0,0,0
557819431,nan,0,0,0,0,0,0,0,0
558329266,nan,0,0,0,0,0,0,0,0
558839146,nan,0,0,0,0,0,0,0,0
559349021,nan,0,0,0,0,0,0,0,0
559858743,nan,0,0,0,0,0,0,0,0
560369085,nan,0,0,0,0,0,0,0,0
560878898,nan,0,0,0,0,0,0,0,0
561388749,nan,0,0,0,0,0,0,0,0
561898761,nan,0,0,0,0,0,0,0,0
562408513,nan,0,0,0,0,0,0,0,0
562919036,nan,0,0,0,0,0,0,0,0
563418593,nan,0,0,0,0,0,0,0,0
563927822,nan,0,0,0,0,0,0,0,0
564437947,nan,0,0,0,0,0,0,0,0
564948066,nan,0,0,0,0,0,0,0,0
565458085,nan,0,0,0,0,0,0,0,0
565968133,nan,0,0,0,0,0,0,0,0
566477841,nan,0,0,0,0,0,0,0,0
566987392,nan,0,0,0,0,0,0,0,0
567497283,nan,0,0,0,0,0,0,0,0
568007195,nan,0,0,0,0,0,0,0,0
568516725,nan,0,0,0,0,0,0,0,0
568708472,nan,0,0,0,0,0,0,0,0
569217452,nan,0,0,0,0,0,0,0,0
569727501,nan,0,0,0,0,0,0,0,0
569918915,nan,0,0,0,0,0,0,0,0
570429047,nan,0,0,0,0,0,0,0,0
570938835,nan,0,0,0,0,0,0,0,0
571449129,nan,0,0,0,0,0,0,0,0
571959164,nan,0,0,0,0,0,0,0,0
572468920,nan,0,0,0,0,0,0,0,0
572978619,nan,0,0,0,0,0,0,0,0
573488222,nan,0,0,0,0,0,0,0,0
573998101,nan,0,0,0,0,0,0,0,0
574508272,nan,0,0,0,0,0,0,0,0
575018125,nan,0,0,0,0,0,0,0,0
575527860,nan,0,0,0,0,0,0,0,0
576037988,nan,0,0,0,0,0,0,0,0
576548373,nan,0,0,0,0,0,0,0,0
577057861,nan,0,0,0,0,0,0,0,0
577567880,nan,0,0,0,0,0,0,0,0
578078057,nan,0,0,0,0,0,0,0,0
578588348,nan,0,0,0,0,0,0,0,0
579097614,nan,0,0,0,0,0,0,0,0
579608081,nan,0,0,0,0,0,0,0,0
580117316,nan,0,0,0,0,0,0,0,0
580627299,nan,0,0,0,0,0,0,0,0
581137948,nan,0,0,0,0,0,0,0,0
581647893,nan,0,0,0,0,0,0,0,0
582157744,nan,0,0,0,0,0,0,0,0
582502093,nan,0,0,0,0,0,0,0,0
583011497,nan,0,0,0,0,0,0,0,0
583521526,nan,0,0,0,0,0,0,0,0
583711232,nan,0,0,0,0,0,0,0,0
584220912,nan,0,0,0,0,0,0,0,0
584731110,nan,0,0,0,0,0,0,0,0
585240553,nan,0,0,0,0,0,0,0,0
585750685,nan,0,0,0,0,0,0,0,0
586260844,nan,0,0,0,0,0,0,0,0
586770896,nan,0,0,0,0,0,0,0,0
587280233,nan,0,0,0,0,0,0,0,0
587789637,nan,0,0,0,0,0,0,0,0
588300349,nan,0,0,0,0,0,0,0,0
588809946,nan,0,0,0,0,0,0,0,0
589319916,nan,0,0,0,0,0,0,0,0
589829717,nan,0,0,0,0,0,0,0,0
590340455,nan,0,0,0,0,0,0,0,0
590849987,nan,0,0,0,0,0,0,0,0
591359981,nan,0,0,0,0,0,0,0,0
591869115,nan,0,0,0,0,0,0,0,0
592092861,nan,0,0,0,0,0,0,0,0
592594026,nan,0,0,0,0,0,0,0,0
593103582,nan,0,0,0,0,0,0,0,0
593613170,nan,0,0,0,0,0,0,0,0
593628154,nan,0,0,0,0,0,0,0,0
594137834,nan,0,0,0,0,0,0,0,0
594647684,nan,0,0,0,0,0,0,0,0
595147772,nan,0,0,0,0,0,0,0,0
595657169,nan,0,0,0,0,0,0,0,0
596166679,nan,0,0,0,0,0,0,0,0
596676888,nan,0,0,0,0,0,0,0,0
597087673,nan,0,0,0,0,0,0,0,0
597268720,nan,0,0,0,0,0,0,0,0
597778791,nan,0,0,0,0,0,0,0,0
598289079,nan,0,0,0,0,0,0,0,0
598798772,nan,0,0,0,0,0,0,0,0
599308670,nan,0,0,0,0,0,0,0,0
599818009,nan,0,0,0,0,0,0,0,0
600327887,nan,0,0,0,0,0,0,0,0
600837869,nan,0,0,0,0,0,0,0,0
601347749,nan,0,0,0,0,0,0,0,0
601847478,nan,0,0,0,0,0,0,0,0
602049057,nan,0,0,0,0,0,0,0,0
602558995,nan,0,0,0,0,0,0,0,0
602628990,nan,0,0,0,0,0,0,0,0
603138697,nan,0,0,0,0,0,0,0,0
603638619,nan,0,0,0,0,0,0,0,0
604148183,nan,0,0,0,0,0,0,0,0
604657706,nan,0,0,0,0,0,0,0,0
605167983,nan,0,0,0,0,0,0,0,0
605677657,nan,0,0,0,0,0,0,0,0
606187848,nan,0,0,0,0,0,0,0,0
606697936,nan,0,0,0,0,0,0,0,0
607208142,nan,0,0,0,0,0,0,0,0
607717173,nan,0,0,0,0,0,0,0,0
608226757,nan,0,0,0,0,0,0,0,0
608736510,nan,0,0,0,0,0,0,0,0
609245098,nan,0,0,0,0,0,0,0,0
609754821,nan,0,0,0,0,0,0,0,0
610264846,nan,0,0,0,0,0,0,0,0
610774622,nan,0,0,0,0,0,0,0,0
611284636,nan,0,0,0,0,0,0,0,0
611794673,nan,0,0,0,0,0,0,0,0
612304940,nan,0,0,0,0,0,0,0,0
612804784,nan,0,0,0,0,0,0,0,0
613314513,nan,0,0,0,0,0,0,0,0
613515305,nan,0,0,0,0,0,0,0,0
