timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
540143582,540143512,4259850,-1.7851168,0.63589996,-9.730036,40.0,0,0,0,0,5
541139551,541139477,4259850,-1.6625336,0.5746084,-9.530838,40.0,0,0,0,0,5
542140509,542140443,4259850,-1.6318879,0.5899313,-9.523177,40.0,0,0,0,0,5
543141415,543141348,4259850,-1.7085024,0.6205771,-9.630437,40.0,0,0,0,0,5
544144806,544144737,4259850,-1.6625336,0.6205771,-9.561484,40.0,0,0,0,0,5
545140733,545140666,4259850,-1.6931795,0.7661446,-9.584468,40.0,0,0,0,0,5
546141161,546141093,4259850,-1.7314867,0.71251446,-9.622776,40.0,0,0,0,0,5
547142027,547141959,4259850,-1.6318879,0.566947,-9.477208,40.0,0,0,0,0,5
548140417,548140349,4259850,-1.6242265,0.6205771,-9.630437,40.0,0,0,0,0,5
549141858,549141790,4259850,-1.700841,0.61291564,-9.638099,40.0,0,0,0,0,5
550142773,550142703,4259850,-1.7238252,0.63589996,-9.599792,40.0,0,0,0,0,5
551143688,551143618,4259850,-1.6931795,0.63589996,-9.64576,40.0,0,0,0,0,5
552142097,552142028,4259850,-1.6931795,0.58226985,-9.668744,40.0,0,0,0,0,5
553142474,553142405,4259850,-1.6472108,0.566947,-9.561484,40.0,0,0,0,0,5
554143370,554143302,4259850,-1.6395494,0.5975928,-9.530838,40.0,0,0,0,0,5
555139473,555139229,4259850,-1.6701951,0.5975928,-9.599792,40.0,0,0,0,0,5
556140149,556140081,4259850,-1.6778566,0.6052542,-9.599792,40.0,0,0,0,0,5
557143562,557143488,4259850,-1.7544711,0.566947,-9.69939,40.0,0,0,0,0,5
558139434,558139364,4259850,-1.7468096,0.62823856,-9.630437,40.0,0,0,0,0,5
559140265,559140187,4259850,-1.6931795,0.6205771,-9.599792,40.0,0,0,0,0,5
560140645,560140575,4259850,-1.6625336,0.61291564,-9.569145,40.0,0,0,0,0,5
561144020,561143948,4259850,-1.7238252,0.62823856,-9.546161,40.0,0,0,0,0,5
562140071,562139835,4259850,-1.685518,0.61291564,-9.431239,40.0,0,0,0,0,5
563140704,563140636,4259850,-1.7314867,0.54396266,-9.776005,40.0,0,0,0,0,5
