timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
542424984,542424971,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
542474761,542474748,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
542524515,542524502,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
542574297,542574285,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
542629151,542629138,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
542673852,542673840,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
542723637,542723622,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
542773377,542773364,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
542828484,542828472,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
542873054,542873017,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
542922722,542922709,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
542977594,542977567,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543027383,543027370,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543077129,543077116,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543121863,543121850,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543176660,543176647,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543226439,543226426,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543276194,543276182,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543326108,543326096,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543375771,543375759,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543425573,543425560,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543475350,543475338,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543525068,543525056,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543574846,543574833,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543624611,543624598,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543674385,543674372,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543724157,543724144,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543773928,543773915,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543823756,543823743,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543878357,543878345,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543923242,543923229,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
543973108,543973095,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
544027684,544027670,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
