timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
539617693,539617471,2490378,2490378,-8.006442e-05,-3.312074e-05,-2.0590716e-05,-0.0029487957,0.0004793646,-0.048974723,4977,4977,0,1,2
540120402,540120178,2490378,2490378,-0.00011738069,-1.596622e-05,-1.804375e-05,-0.0027880438,0.0010574022,-0.04904174,4977,4977,0,1,2
540623117,540622886,2490378,2490378,-0.00011814371,4.045997e-05,-1.6687549e-05,-0.002964063,0.00048619986,-0.049346328,4977,4977,0,1,2
541115857,541115639,2490378,2490378,-0.0001021106,-9.222015e-06,-2.0423966e-05,-0.002777511,0.0007560925,-0.04930517,4978,4978,0,1,2
541618564,541618346,2490378,2490378,-0.00010781445,-5.15684e-06,-1.9195177e-05,-0.002811717,0.0007503138,-0.049081452,4977,4977,0,1,2
542121276,542121055,2490378,2490378,-0.000104149265,-1.0956783e-05,-1.477352e-05,-0.003021822,0.00066662475,-0.04933029,4978,4978,0,1,2
542619005,542618784,2490378,2490378,-9.466224e-05,3.115495e-05,-1.6079784e-05,-0.0028837528,0.0008146851,-0.049207978,4977,4977,0,1,2
543121779,543121493,2490378,2490378,-9.2736074e-05,3.603219e-05,-1.7638069e-05,-0.0029167808,0.0007778081,-0.049716815,4978,4978,0,1,2
543619440,543619223,2490378,2490378,-0.000106519525,3.0481013e-05,-1.9531448e-05,-0.0027710316,0.0010054759,-0.048708282,4978,4978,0,1,2
544122149,544121930,2490378,2490378,-8.921854e-05,-5.7473117e-06,-1.5471056e-05,-0.0028125783,0.0009938009,-0.049070597,4977,4977,0,1,2
544619878,544619661,2490378,2490378,-4.290952e-05,1.574325e-05,-1.5158957e-05,-0.0029380065,0.0009261558,-0.049816523,4977,4977,0,1,2
545117628,545117392,2490378,2490378,-5.590412e-05,3.744506e-07,-1.6672768e-05,-0.0028070214,0.00071911037,-0.049026407,4978,4978,0,1,2
545620316,545620100,2490378,2490378,-1.1701464e-05,4.8659047e-05,-1.668016e-05,-0.0026023814,0.00074424647,-0.049173597,4978,4978,0,1,2
546118062,546117830,2490378,2490378,-5.755952e-05,-3.1771764e-05,-1.29365835e-05,-0.0027847465,0.00024392175,-0.049411085,4977,4977,0,1,2
546620771,546620538,2490378,2490378,-9.571733e-05,-2.2733788e-05,-1.3876241e-05,-0.002980822,0.0011054687,-0.04961429,4977,4977,0,1,2
547118487,547118269,2490378,2490378,-7.4824624e-05,-9.323176e-07,-1.8231201e-05,-0.003062901,0.0010420178,-0.049280334,4977,4977,0,1,2
547621210,547620977,2490378,2490378,-0.00013502862,2.9870667e-05,-1.881494e-05,-0.0030819704,0.0009694257,-0.048893042,4977,4977,0,1,2
548118928,548118708,2490378,2490378,-6.710565e-05,2.3045413e-05,-1.2888891e-05,-0.0029042265,0.0008665108,-0.04957026,4977,4977,0,1,2
548616660,548616439,2490378,2490378,-0.00012228034,-8.611008e-06,-1.4871431e-05,-0.003044983,0.0009554399,-0.049445163,4977,4977,0,1,2
549119370,549119147,2490378,2490378,-0.00011358692,7.739762e-06,-1.2227837e-05,-0.0030216253,0.0010679569,-0.04986817,4977,4977,0,1,2
549617107,549616879,2490378,2490378,-8.4680796e-05,8.975274e-06,-1.5818388e-05,-0.0029149663,0.0007747873,-0.049288522,4978,4978,0,1,2
550119804,550119587,2490378,2490378,-8.332982e-05,2.2979355e-05,-1.7484872e-05,-0.002961073,0.00083130953,-0.049561862,4977,4977,0,1,2
550622513,550622295,2490378,2490378,-7.884171e-05,-8.87938e-06,-8.177675e-06,-0.002985313,0.0009331561,-0.049782254,4977,4977,0,1,2
551120246,551120027,2490378,2490378,-9.050031e-05,1.00657835e-05,-1.9651596e-05,-0.0031152184,0.0007768029,-0.04943816,4978,4978,0,1,2
551618032,551617758,2490378,2490378,-9.7990574e-05,1.8993822e-05,-1.4391933e-05,-0.003009329,0.0008190065,-0.049473144,4977,4977,0,1,2
