timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
574832589,250772299,2,2490378,4028193,2490378,396321,0.03437225,0.029817596,0.035482578,0.030132517,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
575837974,250772299,2,2490378,4028193,2490378,396321,0.07424421,0.060464565,0.07047588,0.06068748,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
576843436,250772299,2,2490378,4028193,2490378,396321,0.03680955,0.042883556,0.0327015,0.042744264,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
577848811,250772299,2,2490378,4028193,2490378,396321,0.048890166,0.033966284,0.043112516,0.034072086,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
578854777,250772299,2,2490378,4028193,2490378,396321,0.024150155,0.028474517,0.019190794,0.028399395,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
579859649,250772299,2,2490378,4028193,2490378,396321,0.03894416,0.051162735,0.041677155,0.05118873,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
580865062,250772299,2,2490378,4028193,2490378,396321,0.035042346,0.013714555,0.031518165,0.016723983,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
581870551,250772299,2,2490378,4028193,2490378,396321,0.063016586,0.045579635,0.058254883,0.046921104,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
582875983,250772299,2,2490378,4028193,2490378,396321,0.016712729,0.015189388,0.017656468,0.014292639,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
583881334,250772299,2,2490378,4028193,2490378,396321,0.03204311,0.030520797,0.028872553,0.030278705,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
