timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
539751990,539751018,396809,-0.2268729,0.022802845,0.3350833,3
540349669,540348673,396809,-0.22634326,0.020155694,0.32636237,3
540798180,540797206,396809,-0.23115197,0.01909009,0.32829782,3
541246274,541245279,396809,-0.2345706,0.022133987,0.3311751,3
541843908,541842936,396809,-0.22514358,0.028163679,0.3233167,3
542291926,542290950,396809,-0.22963881,0.028568648,0.3284781,3
542740319,542739328,396809,-0.23129354,0.026941791,0.32432985,3
543338061,543337088,396809,-0.22678438,0.028925635,0.31916934,3
543786171,543785145,396809,-0.23308218,0.0286275,0.32095546,3
544234539,544233567,396809,-0.22533512,0.028123531,0.3192957,3
544832392,544831400,396809,-0.23330264,0.029566552,0.3329199,3
545280334,545279362,396809,-0.22069864,0.029891703,0.31337315,3
545728751,545727779,396809,-0.22292207,0.02989177,0.31316957,3
546326366,546325394,396809,-0.23039636,0.026668627,0.32279193,3
546774530,546773554,396809,-0.22392997,0.026355464,0.31464297,3
547350924,547296763,396809,-0.22720063,0.027854746,0.32004282,3
547820567,547819597,396809,-0.2385673,0.026302423,0.32759923,3
548268653,548267681,396809,-0.22393268,0.02841935,0.32023668,3
548845248,548790992,396809,-0.22283767,0.027575165,0.32016766,3
549314976,549314004,396809,-0.23650944,0.02558368,0.3237666,3
549763007,549762022,396809,-0.22413959,0.025141496,0.3265602,3
550339769,550285563,396809,-0.22274435,0.02311908,0.32029843,3
550809894,550808922,396809,-0.23083043,0.02040638,0.32590082,3
551258364,551257393,396809,-0.22762123,0.023233186,0.3246118,3
551834521,551780211,396809,-0.22524121,0.02891746,0.32124835,3
552304128,552303157,396809,-0.22783494,0.02831643,0.32618728,3
552752703,552751729,396809,-0.22834855,0.0279647,0.32454136,3
553350367,553349378,396809,-0.22234684,0.027576111,0.31954688,3
553798476,553797503,396809,-0.22582853,0.026450332,0.31761286,3
554246511,554245505,396809,-0.23632273,0.025670916,0.327793,3
554844646,554843675,396809,-0.22115836,0.026914902,0.31645423,3
555292752,555291781,396809,-0.22309312,0.028379261,0.31948468,3
555740740,555739768,396809,-0.23575756,0.025570888,0.32384783,3
556338824,556337852,396809,-0.22498244,0.030032966,0.32727075,3
556786939,556785922,396809,-0.22317278,0.028872509,0.31465748,3
557235093,557234121,396809,-0.23155633,0.029069562,0.32583818,3
557833209,557832237,396809,-0.22682261,0.02989551,0.31910706,3
558281208,558280236,396809,-0.2251518,0.031527225,0.32327715,3
558729288,558728316,396809,-0.22867274,0.030047655,0.3269301,3
559327372,559326399,396809,-0.22983204,0.027896069,0.32440978,3
559775384,559774413,396809,-0.22490849,0.02880565,0.32169685,3
560351396,560297163,396809,-0.23020959,0.0299234,0.32704043,3
560821649,560820677,396809,-0.22711316,0.028247893,0.32625502,3
561269682,561268709,396809,-0.2217654,0.02846526,0.3203534,3
561845731,561791484,396809,-0.22794533,0.029345475,0.32322848,3
562315836,562314863,396809,-0.23541002,0.029992275,0.32622868,3
562763835,562762864,396809,-0.23152635,0.027624901,0.31514052,3
563339999,563285695,396809,-0.2311582,0.028715208,0.31946206,3
563809802,563808830,396809,-0.2330962,0.029536653,0.32059112,3
564258239,564257239,396809,-0.23064154,0.026427962,0.31358698,3
564834228,564779996,396809,-0.23058198,0.028411113,0.31478268,3
565304072,565303100,396809,-0.2358956,0.024481244,0.31861183,3
565752645,565751672,396809,-0.2292785,0.027663328,0.3192259,3
566349971,566349000,396809,-0.22798255,0.02918091,0.31534052,3
566798562,566797571,396809,-0.23290251,0.025700714,0.31329495,3
567246976,567246002,396809,-0.23043284,0.026174989,0.31194857,3
567844249,567843272,396809,-0.22815333,0.030393366,0.31696168,3
568292704,568291732,396809,-0.23207755,0.029160295,0.31818587,3
568741325,568740353,396809,-0.22490413,0.029624179,0.31007808,3
569338686,569337714,396809,-0.2343032,0.028387945,0.31794944,3
569787187,569786216,396809,-0.23413655,0.029248282,0.32196677,3
570235212,570234239,396809,-0.22887418,0.02963841,0.31689376,3
570832986,570832014,396809,-0.23784631,0.027668588,0.32159424,3
571281430,571280458,396809,-0.23089676,0.029308602,0.315067,3
571729579,571728604,396809,-0.23586711,0.031954195,0.32339227,3
572327180,572326207,396809,-0.23615333,0.029683296,0.32017773,3
572775658,572774686,396809,-0.23509042,0.029192373,0.31785616,3
573351692,573297403,396809,-0.22730099,0.03425303,0.31557554,3
573821465,573820493,396809,-0.2340338,0.03364342,0.3164092,3
574269981,574269008,396809,-0.23250678,0.056277625,0.3225454,3
574846003,574791662,396809,-0.22559723,0.061859198,0.3190174,3
575315897,575314925,396809,-0.23125201,0.060669214,0.3194088,3
575764349,575763377,396809,-0.23367906,0.061645765,0.33114868,3
576340405,576286103,396809,-0.22465812,0.06489901,0.31619683,3
576810218,576809246,396809,-0.228504,0.06030421,0.32125613,3
577258695,577257724,396809,-0.2352183,0.05989715,0.3262229,3
577835542,577780606,396809,-0.22395568,0.06032316,0.31518146,3
578304978,578304005,396809,-0.23242332,0.064196005,0.32808915,3
578753690,578752719,396809,-0.23905542,0.065198936,0.33224243,3
579351534,579350562,396809,-0.22491741,0.06257813,0.3176309,3
579799706,579798734,396809,-0.22372088,0.064290404,0.31458312,3
580248085,580247093,396809,-0.23562574,0.06529148,0.3294564,3
580845775,580844802,396809,-0.22976688,0.07066022,0.32601,3
581293832,581292859,396809,-0.22936168,0.06927858,0.32284352,3
581742297,581741253,396809,-0.22923923,0.05796242,0.32116383,3
582339929,582338958,396809,-0.23008534,0.06014321,0.31711626,3
582788006,582787034,396809,-0.23237208,0.05981108,0.32249638,3
583236417,583235392,396809,-0.23955819,0.06096577,0.3305747,3
583833911,583832938,396809,-0.23306389,0.064649336,0.3224423,3
584282186,584281215,396809,-0.23457909,0.06386812,0.32227352,3
584730710,584729738,396809,-0.2301477,0.066240214,0.32269078,3
585327974,585327001,396809,-0.2292414,0.06868043,0.32680386,3
585776511,585775539,396809,-0.22202075,0.064846404,0.31311905,3
586352955,586298573,396809,-0.22987698,0.066205055,0.32325548,3
586822250,586821279,396809,-0.22819749,0.067530945,0.31408548,3
587270820,587269834,396809,-0.22373632,0.07147509,0.31452912,3
587847251,587792878,396809,-0.23331723,0.06877953,0.32079554,3
588316647,588315671,396809,-0.23189986,0.072900236,0.32415265,3
588765184,588764199,396809,-0.22346044,0.07374619,0.31777185,3
589341646,589287229,396809,-0.23441482,0.06816444,0.32539403,3
589810913,589809946,396809,-0.22559756,0.068156496,0.31761575,3
590258997,590258025,396809,-0.22557029,0.06139231,0.3119626,3
590835920,590781472,396809,-0.23182552,0.061092116,0.32576674,3
591305183,591304212,396809,-0.22805664,0.059033073,0.3197294,3
591753229,591752256,396809,-0.22682168,0.06125368,0.3118924,3
592351283,592350312,396809,-0.2268398,0.06331556,0.31293494,3
592799493,592798520,396809,-0.23185755,0.05897563,0.31742,3
