timestamp,bias_x[0],bias_x[1],bias_x[2],bias_x[3],bias_y[0],bias_y[1],bias_y[2],bias_y[3],bias_z[0],bias_z[1],bias_z[2],bias_z[3],valid[0],valid[1],valid[2],valid[3],stable[0],stable[1],stable[2],stable[3]
539364496,-0.08828802,-0.012913094,0.0,0.0,-0.07474291,0.022448508,0.0,0.0,0.12963006,0.16462688,0.0,0.0,1,1,0,0,1,1,0,0
539384436,-0.08829434,-0.012909572,0.0,0.0,-0.07473966,0.022445656,0.0,0.0,0.12962794,0.16462027,0.0,0.0,1,1,0,0,1,1,0,0
539563858,-0.08831514,-0.012911704,0.0,0.0,-0.07470909,0.022434184,0.0,0.0,0.12960039,0.16461931,0.0,0.0,1,1,0,0,1,1,0,0
539763858,-0.08830538,-0.012899363,0.0,0.0,-0.074706145,0.022439213,0.0,0.0,0.12957478,0.16458876,0.0,0.0,1,1,0,0,1,1,0,0
539963857,-0.08828202,-0.0129243005,0.0,0.0,-0.07475116,0.022451565,0.0,0.0,0.1296057,0.16462004,0.0,0.0,1,1,0,0,1,1,0,0
540163856,-0.08832011,-0.01287995,0.0,0.0,-0.074722454,0.022409946,0.0,0.0,0.12957892,0.16461398,0.0,0.0,1,1,0,0,1,1,0,0
540363856,-0.08832899,-0.012920731,0.0,0.0,-0.07472229,0.022422414,0.0,0.0,0.12957814,0.164592,0.0,0.0,1,1,0,0,1,1,0,0
540563859,-0.08831298,-0.012947704,0.0,0.0,-0.074713,0.022405626,0.0,0.0,0.12958035,0.16459626,0.0,0.0,1,1,0,0,1,1,0,0
540763857,-0.088319175,-0.0129344165,0.0,0.0,-0.074712254,0.02240406,0.0,0.0,0.12957196,0.16459286,0.0,0.0,1,1,0,0,1,1,0,0
540963863,-0.08832986,-0.0129327355,0.0,0.0,-0.07472251,0.022405699,0.0,0.0,0.12956059,0.1645924,0.0,0.0,1,1,0,0,1,1,0,0
