timestamp,timestamp_sample,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
540369296,540338150,-2.5127723,-2.5265644,13.996092,1.0
541359780,541327233,2.4604375,2.473955,13.996092,1.0
542350259,542322999,1.9981139,2.009449,14.093796,1.0
543231251,543147398,3.024187,3.041078,14.044944,1.0
544351138,544278350,-1.0773991,-1.0835227,14.093796,1.0
545316735,545284092,1.3896636,1.3975396,14.093796,1.0
546332118,546299735,-1.48035,-1.4887344,14.093796,1.0
547362437,547335121,1.9981139,2.0097916,14.1915,1.0
548362849,548330966,1.389659,1.3977847,14.1915,1.0
549338401,549306993,-2.062218,-2.0742564,14.1915,1.0
550353807,550335794,3.7813942,3.803472,14.191501,1.0
551239731,551212926,-1.0773991,-1.0838677,14.289204,1.0
552359631,552327778,-0.36075184,-0.36292252,14.289203,1.0
553350117,553317049,-1.48035,-1.4892315,14.289203,1.0
554325671,554293044,-0.36075184,-0.36293468,14.308744,1.0
555355974,555328458,4.1079874,4.1333857,14.386908,1.0
556371373,556344071,1.9981139,2.0104604,14.386908,1.0
557371784,557336347,1.1898912,1.1972528,14.386908,1.0
558347343,558341878,-2.5127747,-2.528324,14.386908,1.0
559233304,559205827,-2.5127747,-2.5287502,14.4846115,1.0
560248678,560221379,2.563021,2.5793235,14.4846115,1.0
561184418,561157853,3.024187,3.0433753,14.4846115,1.0
562319239,562291942,-1.0773991,-1.0842396,14.4846115,1.0
563334618,563307584,-1.9332405,-1.9458402,14.582315,1.0
564374909,564343060,-2.5127723,-2.5291536,14.582315,1.0
565365395,565338834,2.5630233,2.5797312,14.582315,1.0
566365813,566334647,1.9981108,2.0111322,14.582315,1.0
567331402,567304123,-1.0773991,-1.0844218,14.582315,1.0
568346784,568319560,-2.5127747,-2.5295868,14.680019,1.0
569282562,569249682,-2.062218,-2.076012,14.68002,1.0
570322781,570291427,1.9981108,2.0114717,14.68002,1.0
571353090,571320154,-0.36075184,-0.36316317,14.68002,1.0
572303761,572276201,-2.98172,-3.0016708,14.680019,1.0
573319132,573311625,1.9981139,2.0114758,14.680019,1.0
574319576,574284635,-1.9332405,-1.9465265,14.777723,1.0
575270248,575237600,1.3896636,1.3991894,14.777723,1.0
576191103,576156558,-1.6966268,-1.7082297,14.777722,1.0
577340843,577308467,-1.48035,-1.4905019,14.777723,1.0
578371120,578343866,-2.5127747,-2.5300508,14.777723,1.0
579331742,579299849,1.998117,2.0121663,14.875427,1.0
580347118,580203435,2.563021,2.5810487,14.875427,1.0
581337605,581311061,-1.0773991,-1.0849792,14.875427,1.0
582377898,582346480,3.498235,3.5228467,14.875427,1.0
583328564,583282960,1.1898912,1.1982605,14.875427,1.0
584319019,584292247,2.563021,2.581032,14.875427,1.0
585374211,585347183,1.189886,1.1982477,14.875427,1.0
586334833,586303431,-2.8940165,-2.9143412,14.875427,1.0
587260635,587233096,1.9981139,2.012181,14.875427,1.0
588315803,588288102,1.9981139,2.012154,14.875427,1.0
589331174,589303645,-2.5127747,-2.530442,14.875427,1.0
590356500,590277225,-1.6966268,-1.7085646,14.875427,1.0
591322123,591186288,1.9981139,2.0121377,14.875427,1.0
592362397,592330481,1.9981108,2.012152,14.875427,1.0
593337909,593306525,-1.48035,-1.4910055,14.973131,1.0
594328392,594295772,-2.5127723,-2.5308871,14.973131,1.0
595318911,595291573,1.9981139,2.0124998,14.973131,1.0
596279528,596247866,-2.5127723,-2.5308597,14.973131,1.0
597205268,597177730,-2.5127747,-2.5308511,14.973131,1.0
598325159,598292308,-2.062218,-2.077152,14.992671,1.0
599315647,599288131,-2.5127747,-2.5312808,15.070835,1.0
600355893,600323505,-2.5127723,-2.531289,15.070834,1.0
601331650,601299523,-0.36075184,-0.36340794,15.070834,1.0
602346806,602314887,1.9981108,2.0128324,15.070834,1.0
603337285,603310468,-1.9332405,-1.9478227,15.168539,1.0
604352676,604325856,1.1898912,1.198856,15.168539,1.0
605328204,605295318,-2.8940165,-2.9158602,15.168539,1.0
606368445,606337298,-3.386336,-3.4118218,15.168539,1.0
607358920,607326552,-2.5127723,-2.5317123,15.168539,1.0
608374287,608342127,-1.48035,-1.4917635,15.266243,1.0
609349828,609318191,-2.062218,-2.078102,15.266243,1.0
610350286,610310073,-2.062218,-2.078097,15.266243,1.0
611251171,611224081,-2.5127747,-2.5321348,15.266243,1.0
612346139,612338631,-2.5127747,-2.5321362,15.266243,1.0
613266946,613235656,-2.8940165,-2.9168289,15.363947,1.0
614376859,614343883,-2.8940165,-2.9168472,15.363947,1.0
615337463,615249649,0.7463005,0.75218153,15.363948,1.0
616342893,616315826,-1.9332405,-1.9484857,15.363947,1.0
617343294,617311659,-2.5127723,-2.53256,15.363947,1.0
618358653,618305253,2.7254295,2.7469,15.363948,1.0
619349193,619316473,-2.5127723,-2.5329938,15.461652,1.0
620364476,620332072,-2.0622149,-2.078792,15.461652,1.0
621340012,621314456,-1.9332373,-1.9487977,15.461651,1.0
622370364,622343258,-2.5127747,-2.5329974,15.461651,1.0
623370724,623339100,-2.062218,-2.0791698,15.559355,1.0
