timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_snr_x[0],peak_snr_x[1],peak_snr_x[2],peak_snr_y[0],peak_snr_y[1],peak_snr_y[2],peak_snr_z[0],peak_snr_z[1],peak_snr_z[2]
539827068,539824029,2490378,8039.878,15.702887,nan,nan,108.41025,95.40643,nan,nan,124.305855,nan,nan,nan,nan,7.7285028,8.73295,nan,nan,7.418256,nan,nan
539872187,539871313,2490378,8039.878,15.702887,nan,nan,108.41025,96.27962,nan,nan,124.305855,nan,nan,nan,nan,10.372704,8.711074,nan,nan,7.418256,nan,nan
539921954,539921086,2490378,8039.878,15.702887,nan,nan,108.41025,96.27962,nan,nan,124.305855,nan,nan,nan,nan,8.797826,8.711074,nan,nan,7.418256,nan,nan
539971724,539968371,2490378,8039.878,15.702887,135.04643,nan,109.52407,96.27962,nan,nan,124.52649,nan,nan,12.331755,nan,10.454663,8.711074,nan,nan,7.3749948,nan,nan
540021649,540020632,2490378,8039.878,15.702887,135.04643,62.605545,109.52407,74.39161,nan,nan,124.52649,nan,nan,10.253607,11.070336,10.053408,10.388176,nan,nan,7.3749948,nan,nan
540056023,540052986,2490378,8039.878,15.702887,135.04643,62.811546,109.920204,64.3215,nan,nan,124.52649,nan,nan,10.253607,8.13583,10.157803,10.177664,nan,nan,7.3749948,nan,nan
540111374,540110224,2490378,8039.878,15.702887,nan,62.811546,109.920204,64.3215,nan,nan,124.52649,nan,nan,nan,8.701374,8.423796,10.434537,nan,nan,7.3749948,nan,nan
540175441,540174929,2490378,8039.878,15.702887,nan,62.811546,108.977165,64.53147,nan,nan,124.52649,nan,nan,nan,8.701374,11.721568,8.582432,nan,nan,7.3749948,nan,nan
540225237,540222213,2490378,8039.878,15.702887,nan,nan,110.30267,66.79611,65.3588,nan,125.496925,nan,nan,nan,nan,10.314475,6.4701567,8.170322,nan,7.511325,nan,nan
540235221,540232168,2490378,8039.878,15.702887,nan,nan,110.30267,66.79611,65.3588,nan,125.551605,nan,nan,nan,nan,10.314475,6.4701567,8.170322,nan,7.1142807,nan,nan
540320111,540319270,2490378,8039.878,15.702887,nan,nan,123.127304,66.79611,63.033855,nan,125.551605,nan,nan,nan,nan,11.040565,6.4701567,7.069855,nan,5.680066,nan,nan
540374576,540371532,2490378,8039.878,15.702887,139.25298,62.741737,121.96462,67.95333,62.811546,nan,125.62309,nan,nan,13.668618,8.565026,11.636835,10.558075,11.0075035,nan,7.5715084,nan,nan
540419669,540418816,2490378,8039.878,15.702887,144.96135,62.741737,121.96462,77.67323,62.811546,nan,125.62309,94.217316,94.217316,9.904012,8.565026,11.636835,10.003765,6.7021728,nan,7.5715084,7.1587553,7.15754
540464155,540461123,2490378,8039.878,15.702887,144.96135,nan,nan,77.67323,62.811546,88.73692,125.551605,94.217316,94.217316,9.540771,nan,nan,10.003765,6.7021728,7.1965256,7.487874,7.1587553,7.15754
540529155,540525828,2490378,8039.878,15.702887,144.96135,nan,nan,78.514435,62.811546,88.73692,125.551605,94.217316,94.217316,10.116004,nan,nan,7.4146357,6.7021728,7.1965256,7.487874,9.245436,7.15754
540569171,540565647,2490378,8039.878,15.702887,141.0693,nan,nan,78.514435,nan,88.3129,nan,94.2888,94.217316,10.90864,nan,nan,7.4146357,nan,7.950847,nan,7.7785463,7.5084205
540619119,540615420,2490378,8039.878,15.702887,111.317535,nan,nan,78.514435,nan,88.3129,125.551605,94.2888,94.217316,10.025431,nan,nan,7.4146357,nan,7.950847,7.9642544,7.7785463,7.33305
540669028,540667682,2490378,8039.878,15.702887,109.24472,nan,nan,78.514435,nan,88.3129,125.551605,94.2888,94.217316,9.166489,nan,nan,7.4146357,nan,7.950847,7.9642544,7.7785463,7.33305
540728542,540724921,2490378,8039.878,15.702887,109.286644,nan,nan,78.514435,62.811546,nan,124.52649,94.2888,94.217316,8.413138,nan,nan,6.7713747,6.968312,nan,7.8072596,6.816749,7.251367
540778544,540774694,2490378,8039.878,15.702887,109.286644,nan,nan,78.514435,62.811546,nan,124.52649,94.217316,94.217316,8.954992,nan,nan,6.7713747,6.968312,nan,7.8072596,7.241733,7.251367
540782671,540779671,2490378,8039.878,15.702887,109.286644,nan,nan,78.514435,62.811546,nan,124.52649,94.217316,94.217316,6.990335,nan,nan,6.7713747,6.968312,nan,7.8072596,7.241733,7.251367
540877481,540876728,2490378,8039.878,15.702887,109.920204,62.811546,nan,nan,62.811546,nan,124.52649,94.217316,nan,7.2975254,7.415796,nan,nan,7.4304986,nan,7.0758815,7.241733,nan
540912070,540911569,2490378,8039.878,15.702887,109.920204,62.811546,114.253334,78.29212,62.811546,nan,124.52649,94.217316,nan,8.981328,7.415796,9.213754,7.6465745,7.4304986,nan,7.0758815,7.241733,nan
540971832,540971297,2490378,8039.878,15.702887,109.6979,62.936043,114.253334,78.29212,62.96237,nan,94.2888,nan,nan,8.900154,9.253342,9.213754,7.6465745,8.535383,nan,7.0896006,nan,nan
541006966,541003650,2490378,8039.878,15.702887,109.6979,62.936043,nan,78.514435,62.96237,nan,94.217316,nan,nan,8.441348,9.253342,nan,7.1339936,8.535383,nan,7.355122,nan,nan
541061393,541060888,2490378,8039.878,15.702887,108.70439,62.936043,nan,78.29212,62.96237,nan,94.217316,94.217316,nan,8.629142,9.253342,nan,8.804851,8.535383,nan,7.355122,6.9772263,nan
541126413,541123105,2490378,8039.878,15.702887,108.70439,nan,nan,78.29212,nan,nan,94.217316,94.217316,nan,9.867609,nan,nan,7.1752524,nan,nan,7.1425543,6.9772263,nan
541151039,541150480,2490378,8039.878,15.702887,108.73109,nan,nan,78.514435,nan,nan,94.217316,94.217316,nan,8.378839,nan,nan,7.2237864,nan,nan,7.1425543,6.9772263,nan
541220741,541220162,2490378,8039.878,15.702887,108.73109,nan,nan,78.514435,nan,nan,94.217316,94.217316,nan,7.6871853,nan,nan,7.2237864,nan,nan,7.1425543,7.0078225,nan
541235939,541235094,2490378,8039.878,15.702887,108.73109,nan,nan,78.514435,nan,nan,94.217316,94.217316,nan,7.6871853,nan,nan,7.2237864,nan,nan,6.628089,7.0078225,nan
541290384,541289844,2490378,8039.878,15.702887,108.73109,nan,nan,78.514435,nan,nan,94.217316,94.217316,94.217316,7.32908,nan,nan,7.2237864,nan,nan,6.628089,7.0078225,7.124472
541375306,541374459,2490378,8039.878,15.702887,108.75171,nan,nan,78.514435,nan,nan,94.217316,94.217316,94.217316,8.988892,nan,nan,6.725664,nan,nan,6.628089,7.0078225,7.124472
541419778,541416766,2490378,8039.878,15.702887,109.6979,nan,nan,78.514435,63.033855,nan,94.217316,nan,nan,7.25404,nan,nan,6.725664,6.78345,nan,7.066135,nan,nan
541469548,541469028,2490378,8039.878,15.702887,109.848724,nan,nan,78.514435,63.3762,nan,94.217316,nan,nan,9.2926235,nan,nan,6.725664,9.609631,nan,7.066135,nan,nan
541514956,541513823,2490378,8039.878,15.702887,109.920204,nan,nan,78.514435,63.3762,nan,94.217316,nan,nan,8.565049,nan,nan,9.237207,9.609631,nan,7.066135,nan,nan
541569079,541566085,2490378,8039.878,15.702887,109.920204,62.936043,nan,78.514435,63.3762,88.3129,94.217316,nan,nan,8.565049,7.477254,nan,9.237207,7.0792484,7.3008327,7.066135,nan,nan
541624166,541623324,2490378,8039.878,15.702887,110.01272,62.811546,nan,78.514435,63.3762,88.3129,94.217316,nan,nan,10.094242,7.6405525,nan,9.237207,7.0792484,7.3008327,7.043318,nan,nan
541658680,541655676,2490378,8039.878,15.702887,110.04637,62.811546,nan,78.514435,63.3762,nan,94.217316,nan,nan,8.612526,7.6405525,nan,8.374087,7.0792484,nan,7.043318,nan,nan
541723809,541720381,2490378,8039.878,15.702887,109.920204,nan,nan,78.514435,63.3762,nan,94.217316,nan,nan,8.898532,nan,nan,8.374087,7.0792484,nan,6.9761076,nan,nan
541768555,541767666,2490378,8039.878,15.702887,109.920204,nan,nan,78.514435,63.3762,nan,94.217316,nan,nan,8.479801,nan,nan,3.651135,8.377436,nan,6.9761076,nan,nan
541808348,541804995,2490378,8039.878,15.702887,109.920204,nan,nan,78.514435,63.601322,nan,94.217316,nan,nan,7.844713,nan,nan,3.651135,8.457441,nan,6.9761076,nan,nan
