timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
559862007,559861447,41,0,61895,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
560359776,560359216,41,0,61950,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
560872641,560872081,41,0,62006,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
561365215,561364654,41,0,62061,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
561857885,561857320,41,0,62116,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
562370625,562370062,41,0,62172,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
562868375,562867808,41,0,62227,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
563356116,563355555,41,0,62281,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
563848715,563848155,41,0,62336,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
564366470,564365910,41,0,62393,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
564859291,564858730,41,0,62448,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
565367233,565366673,41,0,62504,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
565864651,565864076,41,0,62559,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
566362383,566361823,41,0,62614,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
566870090,566869510,41,0,62670,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
567367928,567367363,41,0,62725,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
567865676,567865114,41,0,62780,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
568363265,568362701,41,0,62835,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
568851175,568850577,41,0,62889,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
569363688,569363097,41,0,62946,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
569861547,569860937,41,0,63001,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
570359119,570358558,41,0,63056,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
570851917,570851356,41,0,63111,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
571359640,571359079,41,0,63167,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
571852252,571851691,41,0,63222,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
572365081,572364521,41,0,63278,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
572862829,572862268,41,0,63333,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
573360493,573359933,41,0,63388,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
573853219,573852659,41,0,63443,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
574366394,574365833,41,0,63500,0,982,982,1526,1580,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
574858655,574858095,41,0,63554,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
575351417,575350856,41,0,63609,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
575863973,575863413,41,0,63666,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
576356901,576356284,41,0,63720,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
576849500,576848940,41,0,63775,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
577372256,577371696,41,0,63833,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
577850053,577849490,41,0,63885,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
578367782,578367222,41,0,63943,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
578865704,578865144,41,0,63998,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
579363146,579362586,41,0,64053,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
579860875,579860314,41,0,64108,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
580348713,580348151,41,0,64162,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
580866336,580865744,41,0,64219,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
581364104,581363480,41,0,64274,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
581861766,581861205,41,0,64329,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
582369580,582369021,41,0,64386,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
582867237,582866677,41,0,64441,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
583360064,583359504,41,0,64495,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
583857623,583857028,41,0,64550,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
584370328,584369768,41,0,64607,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
584853074,584852510,41,0,64660,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
585350859,585350298,41,0,64715,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
585863682,585863120,41,0,64772,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
586361305,586360745,41,0,64827,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
586853907,586853346,41,0,64882,0,982,982,1526,1579,1284,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
