timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
540117881,540117690,2490378,-0.020524273,-0.02762883,0.0043933,39.163647,0,20
541115826,541115639,2490378,-0.016294181,-0.02609334,0.004013591,39.130436,0,20
542116262,542116077,2490378,-0.017166846,-0.025553752,0.0046497704,39.230072,0,20
543116703,543116515,2490378,-0.014465583,-0.018689012,0.005582389,39.121376,0,20
544119631,544119442,2490378,-0.014991846,-0.02541719,0.0042534075,39.127415,0,20
545117579,545117392,2490378,-0.011211409,-0.02243281,0.0044499235,39.1093,0,20
546118019,546117830,2490378,-0.0127302455,-0.029071057,0.0033574272,39.10326,0,20
547118457,547118269,2490378,-0.013739472,-0.02494089,0.004536524,39.178745,0,20
548116403,548116220,2490378,-0.009089702,-0.020021325,0.005112749,39.148552,0,20
549116847,549116659,2490378,-0.018089471,-0.022479441,0.0064417305,39.181763,0,20
550117286,550117098,2490378,-0.011551148,-0.020684151,0.0041135144,39.130436,0,20
551117723,551117538,2490378,-0.014635452,-0.022719258,0.004426608,39.169685,0,20
552115675,552115489,2490378,-0.013919334,-0.022009801,0.004822971,39.221016,0,20
553118604,553118418,2490378,-0.012973392,-0.023548622,0.003257504,39.224033,0,20
554119041,554118858,2490378,-0.013403063,-0.023362098,0.0053325803,39.248188,0,20
555116998,555116810,2490378,-0.017409993,-0.02149353,0.0060820063,39.23611,0,20
556117439,556117251,2490378,-0.017080246,-0.017413324,0.004899579,39.227055,0,20
557117882,557117691,2490378,-0.014485567,-0.02285915,0.0048562787,39.24517,0,20
558118318,558118133,2490378,-0.01548147,-0.029354174,0.0049961717,39.34179,0,20
559116276,559116085,2490378,-0.019068722,-0.01398595,0.0062885145,39.314613,0,20
560116713,560116527,2490378,-0.01927856,-0.0278853,0.005565735,39.38406,0,20
561117152,561116968,2490378,-0.014652106,-0.022822512,0.0049362173,39.248188,0,20
562115108,562114922,2490378,-0.01108484,-0.02456118,0.004746363,39.27838,0,20
563118041,563117852,2490378,-0.024071556,-0.023981623,0.0052659647,39.20894,0,20
564118477,564118295,2490378,-0.023425383,-0.025783576,0.0060520293,39.214977,0,20
565118921,565118737,2490378,-0.03421378,-0.03280486,0.004363323,39.371983,0,20
566116878,566116691,2490378,-0.008829901,-0.016920367,0.00281451,39.347828,0,20
567117319,567117133,2490378,-0.013782772,-0.0368018,0.0042500766,39.329712,0,20
568117761,568117576,2490378,-0.019271899,-0.018912176,0.0049528712,39.248188,0,20
569115715,569115530,2490378,-0.008100459,-0.023958309,0.0035106433,39.426327,0,20
570116158,570115973,2490378,-0.016897053,-0.020844027,0.00435,39.32669,0,20
571119092,571118904,2490378,-0.018728983,-0.024467917,0.005349234,39.353867,0,20
572119534,572119347,2490378,-0.014785337,-0.02268595,0.0045431852,39.275364,0,20
573117485,573117301,2490378,0.021247052,-0.02797856,-0.0019052067,39.227055,0,20
574117930,574117744,2490378,0.105492495,-0.01825934,-0.014818645,39.314613,0,20
575118369,575118186,2490378,0.01266363,-0.030220177,-0.0013889357,39.314613,0,20
576116329,576116140,2490378,-0.041671403,-0.024964204,0.0014155819,39.221016,0,20
577116767,577116582,2490378,-0.015904479,-0.020374388,0.0052659647,39.308575,0,20
578117209,578117025,2490378,-0.012140697,-0.022309572,0.0049995026,39.272343,0,20
579117657,579117467,2490378,-0.018672358,-0.020311102,0.0060520293,39.269325,0,20
580115606,580115421,2490378,-0.011294679,-0.015851187,0.00771742,39.272343,0,20
581118540,581118351,2490378,-0.018858882,-0.02515739,0.0063651227,39.175724,0,20
582118978,582118793,2490378,-0.022682618,-0.015158385,0.0027345712,39.211956,0,20
583116928,583116745,2490378,-0.015391539,-0.020394372,0.005562404,39.311596,0,20
584117370,584117187,2490378,-0.018236026,-0.03778438,0.0038237367,39.20894,0,20
585117811,585117628,2490378,-0.018132772,-0.02263932,0.0052259956,39.263287,0,20
586118253,586118068,2490378,-0.019325191,-0.021953179,0.004729709,39.172707,0,20
587116208,587116020,2490378,-0.0052892803,-0.011268033,0.0038603751,39.169685,0,20
588116650,588116460,2490378,-0.0076274886,-0.028068492,0.00418013,39.124397,0,20
589119574,589119388,2490378,-0.014648775,-0.01876229,0.0054258425,39.1878,0,20
590115036,590114850,2490378,-0.019778177,-0.025643684,0.004932887,39.142513,0,20
