timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
539692985,1683118853999771,423585830,-710872889,7702,-25451,0.56700003,0.76190007,1.983,2.0860002,0.75,1.17,82,12,0.124000005,-0.045,0.116000004,0.23,4.0069685,0,nan,0.0,3,0,1,14,0
540292622,1683118854599770,423585840,-710872901,7818,-25336,0.36100003,0.76194286,1.9620001,2.078,0.71,1.15,77,12,0.048,0.033,0.035,0.015000001,4.0069685,0,nan,0.0,3,0,1,15,0
540690612,1683118854999771,423585844,-710872907,7900,-25254,0.36600003,0.7619681,1.945,2.072,0.71,1.15,77,12,0.058000002,-0.019000001,-0.054,0.025,4.0069685,0,nan,0.0,3,0,1,15,0
541294619,1683118855599771,423585843,-710872913,7952,-25201,0.40600002,0.76201123,1.9230001,2.052,0.71,1.15,77,12,0.120000005,-0.075,-0.093,-0.030000001,4.0069685,0,nan,0.0,3,0,1,15,0
541700613,1683118855999772,423585840,-710872912,7946,-25207,0.55700004,0.762046,1.9120001,2.0340002,0.71,1.15,77,12,0.057000004,0.018000001,-0.054,0.004,4.0069685,0,nan,0.0,3,0,1,15,0
542287613,1683118856599772,423585839,-710872921,8031,-25122,0.52000004,0.76210165,1.9030001,2.023,0.71,1.15,77,12,0.279,-0.11000001,-0.256,-0.058000002,4.0069685,0,nan,0.0,3,0,1,15,0
542696614,1683118856999773,423585840,-710872924,7982,-25171,0.39800003,0.76213425,1.899,2.02,0.71,1.15,77,12,0.028,0.008,0.027,-0.026,4.0069685,0,nan,0.0,3,0,1,15,0
543310614,1683118857599772,423585836,-710872925,7944,-25209,0.47000003,0.76218337,1.8950001,2.019,0.71,1.15,77,15,0.047000002,-0.045,0.015000001,-0.032,4.0069685,0,nan,0.0,3,0,1,15,0
543697614,1683118857999774,423585836,-710872921,7834,-25319,0.388,0.7622144,1.8880001,2.0110002,0.71,1.15,77,15,0.023000002,0.021000002,0.009000001,0.0050000004,4.0069685,0,nan,0.0,3,0,1,15,0
544297636,1683118858599773,423585827,-710872916,7624,-25529,0.44400004,0.76226383,1.8730001,2.0080001,0.71,1.15,77,14,0.053000003,-0.033,0.041,0.101,4.0069685,0,nan,0.0,3,0,1,15,0
544696613,1683118858999774,423585827,-710872915,7548,-25605,0.513,0.76229835,1.876,2.0170002,0.71,1.15,77,14,0.14400001,0.141,0.032,0.014,4.0069685,0,nan,0.0,3,0,1,15,0
545295614,1683118859599774,423585827,-710872919,7470,-25683,0.42900002,0.76235527,1.891,2.043,0.71,1.15,77,14,0.097,-0.081,-0.053000003,0.113000005,4.0069685,0,nan,0.0,3,0,1,15,0
545702614,1683118859999775,423585825,-710872921,7400,-25754,0.61700004,0.76239747,1.9000001,2.0600002,0.71,1.15,77,14,0.08400001,0.026,-0.080000006,-0.009000001,4.0069685,0,nan,0.0,3,0,1,15,0
546295614,1683118860599775,423585831,-710872919,7257,-25897,0.578,0.7624532,1.9100001,2.085,0.71,1.15,77,13,0.066,-0.001,0.066,0.057000004,4.0069685,0,nan,0.0,3,0,1,15,0
546702619,1683118860999776,423585838,-710872913,7066,-26087,0.52400005,0.76249176,1.914,2.0970001,0.71,1.15,77,13,0.125,0.083000004,0.094000004,0.096,4.0069685,0,nan,0.0,3,0,1,15,0
547295614,1683118861599775,423585845,-710872907,6944,-26209,0.48100004,0.7625474,1.9250001,2.117,0.71,1.15,77,14,0.046000004,0.040000003,-0.024,0.046000004,4.0069685,0,nan,0.0,3,0,1,15,0
547700613,1683118861999777,423585848,-710872901,6793,-26360,0.54300004,0.76258725,1.9290001,2.128,0.71,1.15,77,14,0.21700001,0.216,0.026,0.11800001,4.0069685,0,nan,0.0,3,0,1,15,0
548294613,1683118862599776,423585855,-710872902,6674,-26480,0.521,0.76263976,1.9430001,2.1550002,0.71,1.15,77,10,0.27600002,0.25300002,0.11000001,0.264,4.0069685,0,nan,0.0,3,0,1,15,0
548695615,1683118862999777,423585859,-710872896,6616,-26537,0.549,0.7626813,1.9560001,2.1780002,0.71,1.15,77,10,0.040000003,-0.012,0.038000003,0.16600001,4.0069685,0,nan,0.0,3,0,1,15,0
549297613,1683118863599777,423585863,-710872900,6519,-26634,0.483,0.7627387,1.96,2.1990001,0.71,1.15,76,12,0.1,0.069000006,0.07300001,0.14400001,4.0069685,0,nan,0.0,3,0,1,15,0
549701613,1683118863999778,423585865,-710872902,6490,-26663,0.43300003,0.7627705,1.9530001,2.206,0.71,1.15,76,12,0.081,0.071,-0.039,0.072000004,4.0069685,0,nan,0.0,3,0,1,15,0
550296612,1683118864599778,423585868,-710872900,6357,-26796,0.505,0.7628209,1.9440001,2.21,0.71,1.15,76,14,0.105000004,-0.08400001,0.063,0.037,4.0069685,0,nan,0.0,3,0,1,15,0
550695613,1683118864999779,423585867,-710872902,6313,-26840,0.377,0.76285094,1.932,2.204,0.71,1.15,76,14,0.017,-0.003,-0.017,0.104,4.0069685,0,nan,0.0,3,0,1,15,0
551291614,1683118865599778,423585870,-710872908,6203,-26950,0.47900003,0.7628998,1.9150001,2.2,0.71,1.15,76,11,0.040000003,0.036000002,-0.017,0.001,4.0069685,0,nan,0.0,3,0,1,15,0
551705613,1683118865999780,423585873,-710872913,6068,-27085,0.43,0.7629304,1.9100001,2.2,0.71,1.15,76,11,0.038000003,0.028,0.025,0.089,4.0069685,0,nan,0.0,3,0,1,15,0
552297613,1683118866599779,423585877,-710872920,5823,-27330,0.467,0.76298094,1.9020001,2.197,0.71,1.15,76,15,0.164,-0.126,0.106000006,0.098000005,4.0069685,0,nan,0.0,3,0,1,15,0
552693736,1683118866999780,423585872,-710872924,5658,-27496,0.36,0.7630092,1.8920001,2.194,0.71,1.15,76,15,0.076000005,-0.064,-0.041,0.104,4.0069685,0,nan,0.0,3,0,1,15,0
553297630,1683118867599780,423585873,-710872925,5551,-27603,0.377,0.76305145,1.871,2.174,0.74,1.15,76,10,0.12900001,0.09900001,-0.083000004,0.086,4.0069685,0,nan,0.0,3,0,1,14,0
553694613,1683118867999781,423585872,-710872929,5450,-27704,0.512,0.76308215,1.858,2.158,0.74,1.15,76,10,0.11800001,0.058000002,-0.10300001,-0.014,4.0069685,0,nan,0.0,3,0,1,14,0
554288613,1683118868599780,423585865,-710872927,5428,-27725,0.43400002,0.7631279,1.8460001,2.141,0.74,1.15,76,14,0.052,0.052,0.003,0.046000004,4.0069685,0,nan,0.0,3,0,1,14,0
554692614,1683118868999782,423585861,-710872923,5426,-27727,0.41400003,0.76316094,1.838,2.1200001,0.74,1.15,76,14,0.082,0.018000001,0.080000006,-0.030000001,4.0069685,0,nan,0.0,3,0,1,14,0
555287614,1683118869599781,423585856,-710872908,5266,-27887,0.39000002,0.48984268,1.82,2.0870001,0.74,1.15,76,11,0.052,-0.031000001,-0.041,-0.022000002,2.7751052,0,nan,0.0,3,0,1,14,0
555699943,1683118869999783,423585858,-710872910,5238,-27915,0.31300002,0.4898839,1.8090001,2.0760002,0.74,1.15,76,11,0.015000001,-0.007,0.013,-0.011000001,2.7751052,0,nan,0.0,3,0,1,14,0
556312615,1683118870599782,423585864,-710872912,5175,-27978,0.42900002,0.4899624,1.7990001,2.0640001,0.74,1.15,76,12,0.066,0.058000002,-0.031000001,0.057000004,2.7751052,0,nan,0.0,3,0,1,14,0
556697613,1683118870999783,423585871,-710872911,5171,-27982,0.43100002,0.49000937,1.7980001,2.055,0.74,1.15,76,12,0.064,0.043,0.048,0.040000003,2.7751052,0,nan,0.0,3,0,1,14,0
557296615,1683118871599783,423585877,-710872911,5213,-27940,0.48400003,0.49010187,1.8050001,2.055,0.74,1.15,76,9,0.035,-0.006,-0.035,-0.060000002,2.7751052,0,nan,0.0,3,0,1,14,0
557707615,1683118871999784,423585881,-710872911,5235,-27918,0.59800005,0.4901612,1.812,2.0640001,0.71,1.15,76,9,0.104,0.078,-0.069000006,-0.012,2.7751052,0,nan,0.0,3,0,1,15,0
558302882,1683118872599783,423585884,-710872903,5192,-27961,0.43600002,0.49024117,1.8050001,2.069,0.71,1.15,76,12,0.07,0.035,0.061000004,0.078,2.7751052,0,nan,0.0,3,0,1,15,0
558696675,1683118872999785,423585879,-710872904,5258,-27895,0.48900002,0.49029386,1.8030001,2.075,0.71,1.15,76,12,0.142,-0.018000001,-0.141,0.0,2.7751052,0,nan,0.0,3,0,1,15,0
559289615,1683118873599784,423585873,-710872910,5197,-27957,0.43300003,0.49036857,1.7980001,2.082,0.71,1.15,76,12,0.062000003,0.035,0.051000003,0.014,2.7751052,0,nan,0.0,3,0,1,15,0
559700618,1683118873999786,423585873,-710872905,5149,-28004,0.47200003,0.49042177,1.8000001,2.091,0.71,1.15,76,12,0.09,0.057000004,0.069000006,0.072000004,2.7751052,0,nan,0.0,3,0,1,15,0
560295613,1683118874599785,423585871,-710872899,5124,-28029,0.48600003,0.49050245,1.8030001,2.094,0.71,1.15,81,13,0.052,0.015000001,-0.05,0.042000003,2.7751052,0,nan,0.0,3,0,1,15,0
560692621,1683118874999786,423585872,-710872897,5194,-27959,0.48400003,0.4905569,1.8090001,2.092,0.71,1.15,81,13,0.16000001,0.156,0.032,0.023000002,2.7751052,0,nan,0.0,3,0,1,15,0
561291615,1683118875599786,423585864,-710872893,5280,-27874,0.559,0.49064276,1.8160001,2.088,0.71,1.15,82,12,0.10700001,-0.060000002,0.08800001,0.026,2.7751052,0,nan,0.0,3,0,1,15,0
561695614,1683118875999787,423585865,-710872892,5222,-27931,0.42200002,0.49069354,1.8160001,2.0800002,0.71,1.15,82,12,0.082,0.008,0.081,0.108,2.7751052,0,nan,0.0,3,0,1,15,0
562294634,1683118876599786,423585861,-710872879,5225,-27929,0.60400003,0.4907721,1.8220001,2.078,0.71,1.15,82,14,0.186,-0.012,0.185,-0.016,2.7751052,0,nan,0.0,3,0,1,15,0
562695880,1683118876999788,423585859,-710872868,5207,-27947,0.441,0.49082443,1.8280001,2.085,0.71,1.15,82,14,0.023000002,0.014,-0.018000001,0.054,2.7751052,0,nan,0.0,3,0,1,15,0
563311619,1683118877599787,423585845,-710872855,5154,-27999,0.44900003,0.49090436,1.825,2.088,0.71,1.15,87,10,0.15200001,0.123,0.09,0.112,2.7751052,0,nan,0.0,3,0,1,15,0
563705786,1683118877999789,423585837,-710872849,5158,-27995,0.57600003,0.49096304,1.825,2.075,0.71,1.15,87,10,0.116000004,0.083000004,-0.081,0.009000001,2.7751052,0,nan,0.0,3,0,1,15,0
564304612,1683118878599788,423585828,-710872846,5169,-27984,0.59900004,0.4910447,1.8320001,2.061,0.71,1.15,87,12,0.23600002,0.07300001,-0.224,0.0050000004,2.7751052,0,nan,0.0,3,0,1,15,0
564700614,1683118878999789,423585825,-710872852,5217,-27937,0.573,0.49110386,1.84,2.059,0.71,1.15,87,12,0.31800002,0.17400001,-0.26500002,0.059000004,2.7751052,0,nan,0.0,3,0,1,15,0
565297612,1683118879599789,423585813,-710872851,5278,-27875,0.55600005,0.49119762,1.8590001,2.0570002,0.71,1.15,88,11,0.14400001,-0.061000004,-0.13100001,0.07700001,2.7751052,0,nan,0.0,3,0,1,15,0
565697614,1683118879999790,423585807,-710872848,5347,-27806,0.39000002,0.49124768,1.8670001,2.056,0.71,1.15,88,11,0.072000004,-0.07,-0.016,0.117000006,2.7751052,0,nan,0.0,3,0,1,15,0
566305614,1683118880599789,423585804,-710872840,5299,-27854,0.588,0.4913334,1.8820001,2.056,0.71,1.15,88,12,0.12100001,-0.024,0.11800001,0.069000006,2.7751052,0,nan,0.0,3,0,1,15,0
566700614,1683118880999791,423585804,-710872830,5243,-27910,0.56,0.49139324,1.8930001,2.058,0.71,1.15,88,12,0.36800003,0.194,0.31300002,0.049000002,2.7751052,0,nan,0.0,3,0,1,15,0
567293614,1683118881599790,423585805,-710872812,5145,-28008,0.555,0.49148244,1.9130001,2.0730002,0.71,1.15,88,12,0.15200001,0.078,0.13100001,0.109000005,2.7751052,0,nan,0.0,3,0,1,15,0
567697616,1683118881999791,423585806,-710872795,5130,-28024,0.61,0.4915517,1.9280001,2.085,0.71,1.15,88,12,0.67300004,0.33400002,0.58400005,0.11800001,2.7751052,0,nan,0.0,3,0,1,15,0
568284612,1683118882599791,423585800,-710872779,5097,-28057,0.531,0.49164143,1.9540001,2.1060002,0.75,1.1899999,88,13,0.078,-0.062000003,0.047000002,0.108,2.7751052,0,nan,0.0,3,0,1,14,0
568690789,1683118882999792,423585797,-710872781,4938,-28215,0.614,0.7284824,1.9740001,2.121,0.75,1.1899999,88,13,0.933,-0.21000001,-0.90900004,0.13100001,3.3105078,0,nan,0.0,3,0,1,14,0
569302838,1683118883599792,423585793,-710872777,4875,-28279,0.565,0.7285458,1.991,2.138,0.75,1.1899999,88,9,0.18,0.15100001,-0.098000005,0.223,3.3105078,0,nan,0.0,3,0,1,14,0
569699613,1683118883999793,423585796,-710872781,4808,-28345,0.45900002,0.72858715,2.0040002,2.151,0.75,1.1899999,88,9,0.059000004,-0.039,-0.044000003,0.18200001,3.3105078,0,nan,0.0,3,0,1,14,0
570300614,1683118884599792,423585789,-710872774,4872,-28282,0.62200004,0.72865605,2.0270002,2.1690001,0.75,1.1899999,94,11,0.286,0.008,-0.286,0.10700001,3.3105078,0,nan,0.0,3,0,1,14,0
570696614,1683118884999794,423585793,-710872778,4771,-28382,0.79800004,0.72871506,2.052,2.197,0.75,1.1899999,94,11,0.15300001,0.14600001,-0.045,0.106000006,3.3105078,0,nan,0.0,3,0,1,14,0
571296619,1683118885599793,423585800,-710872779,4755,-28399,0.75000006,0.72879297,2.078,2.237,0.75,1.1899999,94,12,0.384,0.347,-0.162,0.19100001,3.3105078,0,nan,0.0,3,0,1,14,0
571701798,1683118885999794,423585805,-710872785,4716,-28437,0.64000005,0.7288453,2.0900002,2.2610002,0.75,1.1899999,94,12,0.066,0.064,-0.017,0.135,3.3105078,0,nan,0.0,3,0,1,14,0
572297613,1683118886599794,423585800,-710872780,4641,-28512,0.69600004,0.7289177,2.112,2.3000002,0.75,1.1899999,94,12,0.165,0.165,-0.009000001,0.108,3.3105078,0,nan,0.0,3,0,1,14,0
572699620,1683118886999795,423585798,-710872779,4562,-28591,0.508,0.72895855,2.125,2.3160002,0.75,1.1899999,94,12,0.13800001,-0.136,-0.022000002,0.093,3.3105078,0,nan,0.0,3,0,1,14,0
573304807,1683118887599795,423585788,-710872765,4531,-28622,0.407,0.7290258,2.135,2.3360002,0.71,1.15,94,12,0.09900001,-0.096,-0.021000002,0.14500001,3.3105078,0,nan,0.0,3,0,1,15,0
573712709,1683118887999796,423585782,-710872753,4592,-28561,0.652,0.7290704,2.1260002,2.329,0.71,1.15,94,12,0.058000002,0.055000003,-0.020000001,0.052,3.3105078,0,nan,0.0,3,0,1,15,0
574305298,1683118888599795,423585775,-710872737,4516,-28637,0.52900004,0.7291331,2.121,2.3200002,0.71,1.15,94,10,0.059000004,-0.055000003,-0.022000002,-0.071,3.3105078,0,nan,0.0,3,0,1,15,0
574694638,1683118888999797,423585774,-710872738,4527,-28626,0.56,0.729175,2.118,2.309,0.74,1.16,94,10,0.054,0.054,0.002,0.002,3.3105078,0,nan,0.0,3,0,1,14,0
575290701,1683118889599796,423585774,-710872733,4368,-28785,0.45700002,0.72923225,2.112,2.2930002,0.74,1.16,94,11,0.089,0.046000004,0.07700001,0.126,3.3105078,0,nan,0.0,3,0,1,14,0
575701624,1683118889999797,423585772,-710872726,4293,-28861,0.555,0.72927046,2.111,2.2910001,0.74,1.16,94,11,0.22700001,-0.013,0.22600001,0.081,3.3105078,0,nan,0.0,3,0,1,14,0
576297633,1683118890599797,423585768,-710872717,4364,-28789,0.58400005,0.7293352,2.115,2.298,0.74,1.16,94,9,0.13100001,-0.13100001,0.0,-0.013,3.3105078,0,nan,0.0,3,0,1,14,0
576699614,1683118890999798,423585764,-710872717,4436,-28717,0.629,0.7293811,2.124,2.3130002,0.74,1.16,94,9,0.19100001,-0.16800001,-0.091000006,-0.006,3.3105078,0,nan,0.0,3,0,1,14,0
577305613,1683118891599798,423585767,-710872716,4438,-28715,0.64100003,0.72945005,2.144,2.345,0.74,1.16,93,11,0.064,0.061000004,-0.021000002,0.003,3.3105078,0,nan,0.0,3,0,1,14,0
577701659,1683118891999799,423585771,-710872714,4383,-28770,0.65900004,0.7295,2.154,2.367,0.74,1.16,93,11,0.14500001,-0.136,0.052,0.026,3.3105078,0,nan,0.0,3,0,1,14,0
578297615,1683118892599798,423585777,-710872705,4398,-28755,0.614,0.7295679,2.17,2.3930001,0.74,1.16,87,10,0.119,0.080000006,-0.08800001,-0.042000003,3.3105078,0,nan,0.0,3,0,1,14,0
578691615,1683118892999800,423585775,-710872705,4365,-28788,0.54800004,0.7296126,2.177,2.404,0.74,1.16,87,10,0.093,-0.069000006,-0.062000003,-0.071,3.3105078,0,nan,0.0,3,0,1,14,0
579302614,1683118893599799,423585766,-710872702,4386,-28767,0.652,0.72967863,2.1920002,2.424,0.74,1.15,87,13,0.097,-0.096,0.014,-0.098000005,3.3105078,0,nan,0.0,3,0,1,14,0
579697627,1683118893999800,423585760,-710872699,4360,-28793,0.652,0.72973055,2.216,2.444,0.74,1.15,87,13,0.25,-0.058000002,-0.24300002,-0.025,3.3105078,0,nan,0.0,3,0,1,14,0
580293614,1683118894599800,423585753,-710872693,4177,-28976,0.61300004,0.72980535,2.2510002,2.469,0.74,1.15,81,10,0.082,-0.063,0.052,0.094000004,3.3105078,0,nan,0.0,3,0,1,14,0
580697613,1683118894999801,423585752,-710872694,4103,-29050,0.514,0.7298515,2.273,2.4780002,0.74,1.15,81,10,0.021000002,-0.014,0.015000001,0.047000002,3.3105078,0,nan,0.0,3,0,1,14,0
581283965,1683118895599801,423585764,-710872670,3547,-29606,0.754,0.72993153,2.3000002,2.489,0.74,1.15,81,12,0.596,-0.51900005,0.29200003,0.29500002,3.3105078,0,nan,0.0,3,0,1,14,0
581697620,1683118895999802,423585750,-710872650,3268,-29885,0.514,0.6453453,2.3040001,2.482,0.74,1.15,81,12,0.22800002,-0.112,0.19900002,0.238,2.9659169,0,nan,0.0,3,0,1,14,0
582300682,1683118896599801,423585743,-710872662,3378,-29775,0.423,0.6454079,2.311,2.4870002,0.74,1.15,82,5,0.026,0.026,-0.003,0.24000001,2.9659169,0,nan,0.0,3,0,1,14,0
582693908,1683118896999803,423585729,-710872689,3497,-29657,0.66300005,0.64548,2.3270001,2.509,0.71,1.15,82,5,0.05,-0.046000004,0.020000001,0.015000001,2.9659169,0,nan,0.0,3,0,1,15,0
