timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check,at_rest
538379005,0,0,0,1,0,0,0,0,0,0,1
539384204,0,0,0,1,0,0,0,0,0,0,1
540389556,0,0,0,1,0,0,0,0,0,0,1
541394962,0,0,0,1,0,0,0,0,0,0,1
542400492,0,0,0,1,0,0,0,0,0,0,1
543405817,0,0,0,1,0,0,0,0,0,0,1
544411314,0,0,0,1,0,0,0,0,0,0,1
545416635,0,0,0,1,0,0,0,0,0,0,1
546422091,0,0,0,1,0,0,0,0,0,0,1
547427780,0,0,0,1,0,0,0,0,0,0,1
548432859,0,0,0,1,0,0,0,0,0,0,1
549438272,0,0,0,1,0,0,0,0,0,0,1
550443830,0,0,0,1,0,0,0,0,0,0,1
551449168,0,0,0,1,0,0,0,0,0,0,1
552454558,0,0,0,1,0,0,0,0,0,0,1
553459962,0,0,0,1,0,0,0,0,0,0,1
554465463,0,0,0,1,0,0,0,0,0,0,1
555470895,0,0,0,1,0,0,0,0,0,0,1
556476198,0,0,0,1,0,0,0,0,0,0,1
557481792,0,0,0,1,0,0,0,0,0,0,1
558487118,0,0,0,1,0,0,0,0,0,0,1
559492475,0,0,0,1,0,0,0,0,0,0,1
560498269,0,0,0,1,0,0,0,0,0,0,1
561503738,0,0,0,1,0,0,0,0,0,0,1
562509079,0,0,0,1,0,0,0,0,0,0,1
562717809,0,0,0,1,0,0,0,0,0,0,0
563723572,0,0,0,1,0,0,0,0,0,0,0
564111810,0,0,0,1,0,0,0,0,0,0,1
565117126,0,0,0,1,0,0,0,0,0,0,1
566122554,0,0,0,1,0,0,0,0,0,0,1
567127789,0,0,0,1,0,0,0,0,0,0,1
568133079,0,0,0,1,0,0,0,0,0,0,1
569138679,0,0,0,1,0,0,0,0,0,0,1
570143942,0,0,0,1,0,0,0,0,0,0,1
571149351,0,0,0,1,0,0,0,0,0,0,1
572155294,0,0,0,1,0,0,0,0,0,0,1
573160222,0,0,0,1,0,0,0,0,0,0,1
573837191,0,0,0,1,0,0,0,0,0,0,0
574842637,0,0,0,1,0,0,0,0,0,0,0
575390025,0,0,0,1,0,0,0,0,0,0,1
576395448,0,0,0,1,0,0,0,0,0,0,1
577400999,0,0,0,1,0,0,0,0,0,0,1
578406477,0,0,0,1,0,0,0,0,0,0,1
579411805,0,0,0,1,0,0,0,0,0,0,1
580267873,0,0,0,1,0,0,0,0,0,0,0
581273242,0,0,0,1,0,0,0,0,0,0,0
581293507,0,0,0,1,0,0,0,0,0,0,1
581402688,0,0,0,1,0,0,0,0,0,0,0
582408154,0,0,0,1,0,0,0,0,0,0,1
583413906,0,0,0,1,0,0,0,0,0,0,1
584418891,0,0,0,1,0,0,0,0,0,0,1
585424376,0,0,0,1,0,0,0,0,0,0,1
586429793,0,0,0,1,0,0,0,0,0,0,1
587435260,0,0,0,1,0,0,0,0,0,0,1
588440663,0,0,0,1,0,0,0,0,0,0,1
589445999,0,0,0,1,0,0,0,0,0,0,1
590451466,0,0,0,1,0,0,0,0,0,0,1
591456813,0,0,0,1,0,0,0,0,0,0,1
591994364,0,0,0,1,0,0,0,0,0,0,0
592999857,0,0,0,1,0,0,0,0,0,0,0
594005284,0,0,0,1,0,0,0,0,0,0,0
594841534,0,0,0,1,0,0,0,0,0,0,1
595846865,0,0,0,1,0,0,0,0,0,0,1
596852511,0,0,0,1,0,0,0,0,0,0,1
597857757,0,0,0,1,0,0,0,0,0,0,1
598863077,0,0,0,1,0,0,0,0,0,0,1
599868473,0,0,0,1,0,0,0,0,0,0,1
600585261,0,0,0,1,0,0,0,0,0,0,0
601590650,0,0,0,1,0,0,0,0,0,0,0
602596012,0,0,0,1,0,0,0,0,0,0,0
602974335,0,0,0,1,0,0,0,0,0,0,1
603611710,0,0,0,1,0,0,0,0,0,0,0
604616824,0,0,0,1,0,0,0,0,0,0,0
605622272,0,0,0,1,0,0,0,0,0,0,0
606627644,0,0,0,1,0,0,0,0,0,0,0
607125396,0,0,0,1,0,0,0,0,0,0,1
608131120,0,0,0,1,0,0,0,0,0,0,1
609136232,0,0,0,1,0,0,0,0,0,0,1
610141562,0,0,0,1,0,0,0,0,0,0,1
610211251,0,0,0,1,0,0,0,0,0,0,0
611216699,0,0,0,1,0,0,0,0,0,0,1
611505479,0,0,0,1,0,0,0,0,0,0,0
612510730,0,0,0,1,0,0,0,0,0,0,0
613516318,0,0,0,1,0,0,0,0,0,0,0
614521604,0,0,0,1,0,0,0,0,0,0,0
615526977,0,0,0,1,0,0,0,0,0,0,0
616532376,0,0,0,1,0,0,0,0,0,0,0
617219321,0,0,0,1,0,0,0,0,0,0,1
617577599,0,0,0,1,0,0,0,0,0,0,0
618583051,0,0,0,1,0,0,0,0,0,0,1
618841934,0,0,0,1,0,0,0,0,0,0,0
619847212,0,0,0,1,0,0,0,0,0,0,0
620852697,0,0,0,1,0,0,0,0,0,0,0
621858002,0,0,0,1,0,0,0,0,0,0,0
622863506,0,0,0,1,0,0,0,0,0,0,0
623869124,0,0,0,1,0,0,0,0,0,0,0
624824426,0,0,0,1,0,0,0,0,0,0,1
624864291,0,0,0,1,0,0,0,0,0,0,0
625869626,0,0,0,1,0,0,0,0,0,0,0
625879677,0,0,0,1,0,0,0,0,0,0,1
626884986,0,0,0,1,0,0,0,0,0,0,1
627890497,0,0,0,1,0,0,0,0,0,0,1
628896154,0,0,0,1,0,0,0,0,0,0,1
629901487,0,0,0,1,0,0,0,0,0,0,1
630906750,0,0,0,1,0,0,0,0,0,0,1
631911954,0,0,0,1,0,0,0,0,0,0,1
632917406,0,0,0,1,0,0,0,0,0,0,1
633922878,0,0,0,1,0,0,0,0,0,0,1
634928172,0,0,0,1,0,0,0,0,0,0,1
635933593,0,0,0,1,0,0,0,0,0,0,1
636938970,0,0,0,1,0,0,0,0,0,0,1
637944345,0,0,0,1,0,0,0,0,0,0,1
638949794,0,0,0,1,0,0,0,0,0,0,1
639746128,0,0,0,1,0,0,0,0,0,0,0
640751597,0,0,0,1,0,0,0,0,0,0,0
640791508,0,0,0,1,0,0,0,0,0,0,1
641797050,0,0,0,1,0,0,0,0,0,0,1
642802081,0,0,0,1,0,0,0,0,0,0,1
643807491,0,0,0,1,0,0,0,0,0,0,1
644812858,0,0,0,1,0,0,0,0,0,0,1
645818301,0,0,0,1,0,0,0,0,0,0,1
646823643,0,0,0,1,0,0,0,0,0,0,1
647828984,0,0,0,1,0,0,0,0,0,0,1
648834381,0,0,0,1,0,0,0,0,0,0,1
649839800,0,0,0,1,0,0,0,0,0,0,1
650845411,0,0,0,1,0,0,0,0,0,0,1
651850607,0,0,0,1,0,0,0,0,0,0,1
652855883,0,0,0,1,0,0,0,0,0,0,1
653861261,0,0,0,1,0,0,0,0,0,0,1
654866639,0,0,0,1,0,0,0,0,0,0,1
655872037,0,0,0,1,0,0,0,0,0,0,1
656877439,0,0,0,1,0,0,0,0,0,0,1
657882781,0,0,0,1,0,0,0,0,0,0,1
658888219,0,0,0,1,0,0,0,0,0,0,1
659893512,0,0,0,1,0,0,0,0,0,0,1
660898984,0,0,0,1,0,0,0,0,0,0,1
661905020,0,0,0,1,0,0,0,0,0,0,1
662910011,0,0,0,1,0,0,0,0,0,0,1
663915003,0,0,0,1,0,0,0,0,0,0,1
664920539,0,0,0,1,0,0,0,0,0,0,1
665925816,0,0,0,1,0,0,0,0,0,0,1
666931110,0,0,0,1,0,0,0,0,0,0,1
667936482,0,0,0,1,0,0,0,0,0,0,1
668941979,0,0,0,1,0,0,0,0,0,0,1
669947483,0,0,0,1,0,0,0,0,0,0,1
670952927,0,0,0,1,0,0,0,0,0,0,1
671958027,0,0,0,1,0,0,0,0,0,0,1
672963342,0,0,0,1,0,0,0,0,0,0,1
673968788,0,0,0,1,0,0,0,0,0,0,1
674974164,0,0,0,1,0,0,0,0,0,0,1
675979512,0,0,0,1,0,0,0,0,0,0,1
676984797,0,0,0,1,0,0,0,0,0,0,1
677990142,0,0,0,1,0,0,0,0,0,0,1
678995527,0,0,0,1,0,0,0,0,0,0,1
680001265,0,0,0,1,0,0,0,0,0,0,1
681006289,0,0,0,1,0,0,0,0,0,0,1
682011665,0,0,0,1,0,0,0,0,0,0,1
683017010,0,0,0,1,0,0,0,0,0,0,1
684022342,0,0,0,1,0,0,0,0,0,0,1
685027781,0,0,0,1,0,0,0,0,0,0,1
686033034,0,0,0,1,0,0,0,0,0,0,1
687038430,0,0,0,1,0,0,0,0,0,0,1
688043797,0,0,0,1,0,0,0,0,0,0,1
689049154,0,0,0,1,0,0,0,0,0,0,1
690054565,0,0,0,1,0,0,0,0,0,0,1
691060026,0,0,0,1,0,0,0,0,0,0,1
692065173,0,0,0,1,0,0,0,0,0,0,1
693070529,0,0,0,1,0,0,0,0,0,0,1
694075875,0,0,0,1,0,0,0,0,0,0,1
695081263,0,0,0,1,0,0,0,0,0,0,1
696086706,0,0,0,1,0,0,0,0,0,0,1
697091917,0,0,0,1,0,0,0,0,0,0,1
698097335,0,0,0,1,0,0,0,0,0,0,1
699102632,0,0,0,1,0,0,0,0,0,0,1
700108259,0,0,0,1,0,0,0,0,0,0,1
701113360,0,0,0,1,0,0,0,0,0,0,1
702118676,0,0,0,1,0,0,0,0,0,0,1
703124088,0,0,0,1,0,0,0,0,0,0,1
704129462,0,0,0,1,0,0,0,0,0,0,1
705134728,0,0,0,1,0,0,0,0,0,0,1
706140086,0,0,0,1,0,0,0,0,0,0,1
707145410,0,0,0,1,0,0,0,0,0,0,1
708150725,0,0,0,1,0,0,0,0,0,0,1
709156587,0,0,0,1,0,0,0,0,0,0,1
710161565,0,0,0,1,0,0,0,0,0,0,1
711167128,0,0,0,1,0,0,0,0,0,0,1
712172138,0,0,0,1,0,0,0,0,0,0,1
713177504,0,0,0,1,0,0,0,0,0,0,1
714182931,0,0,0,1,0,0,0,0,0,0,1
715188343,0,0,0,1,0,0,0,0,0,0,1
716193466,0,0,0,1,0,0,0,0,0,0,1
717198880,0,0,0,1,0,0,0,0,0,0,1
718204169,0,0,0,1,0,0,0,0,0,0,1
