timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
539368521,539268188,5.076623e-05,0.0056519774,0.015784137,67240471,0,0.6196642,0.46038607,0.009229108,0.016046159,0.023622176,0.0031985585,0.0,0.0,0.0,0.004999,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
539378603,539278187,5.123709e-05,0.0056121238,0.015739152,67240471,0,0.62091595,0.45735264,0.009229108,0.016046159,0.023622176,0.009161489,0.0,0.0,0.0,0.004999,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
539568575,539468167,0.00016095642,0.009047293,0.016726952,67240471,0,0.6204079,0.45975858,0.00912088,0.05691468,0.024951598,0.001048597,0.0,0.0,0.0,0.004999,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
539768463,539668142,0.0002051546,0.009874978,0.015113506,67240471,0,0.62237656,0.45960233,0.014222529,0.049084306,0.025010409,0.015404234,0.0,0.0,0.0,0.004999,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
539968450,539868119,0.00022868866,0.005389273,0.014922512,67240471,0,0.62092084,0.46222243,0.029360984,0.014376041,0.027929995,0.0024593482,0.0,0.0,0.0,0.004999,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
540178508,540078095,0.00016474842,0.005325978,0.017750837,67240471,0,0.6126192,0.45871612,0.0027496743,0.03192454,0.03039782,0.011726423,0.0,0.0,0.0,0.004999,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
540378502,540278072,6.823151e-05,0.0018516579,0.012084617,67240471,0,0.60518634,0.45487517,0.005839106,0.013037717,0.032223884,0.0010721316,0.0,0.0,0.0,0.004999,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
540568493,540468050,0.00016104995,0.0074620075,0.021171264,67240471,0,0.5956138,0.44948432,0.0037433086,0.023124821,0.035005827,0.011543455,0.0,0.0,0.0,0.004999,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
540778458,540678026,0.00028517793,0.011534067,0.02766673,67240471,0,0.59139144,0.44716895,0.0097852815,0.03062705,0.034502827,0.001984682,0.0,0.0,0.0,0.004999,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
540968430,540868004,0.00035038148,0.01666602,0.036395017,67240471,0,0.5852007,0.44675344,0.011473981,0.05659565,0.033291172,0.012453829,0.0,0.0,0.0,0.004999,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
