timestamp,accel_device_id,gyro_device_id
3001632,2490402,2490402
38686624,2490402,2490402
43436927,3932210,3932210
48691728,2490402,2490402
52064401,3932170,3932170
56185744,3932170,3932170
58694259,2490402,2490402
68432656,3932210,3932210
69183607,3932170,3932170
70316139,3932170,3932170
83816995,2490402,2490402
84921957,2490402,2490402
98188568,3932170,3932170
98327045,3932210,3932210
99436991,3932210,3932210
112695620,3932170,3932170
112817289,2490402,2490402
113920164,2490402,2490402
114183185,3932210,3932210
127183007,3932170,3932170
