timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
17542044,1662721330249967,11075589,387273750,-775185406,62485,27892,0.09200001,1.2894183,0.33400002,0.559,0.53999996,0.90999997,108,11,0.015000001,0.013,0.008,-0.008,0.0,0,nan,0.0,0.0,3159,3,1,1,24
18542043,1662721331249967,11075589,387273747,-775185406,62517,27923,0.13000001,1.2894318,0.32700002,0.54700005,0.53999996,0.90999997,108,16,0.021000002,0.007,-0.020000001,0.023000002,0.0,0,nan,0.0,0.0,3159,3,1,1,24
19542327,1662721332249967,11075589,387273745,-775185407,62525,27932,0.128,1.2894448,0.321,0.537,0.53999996,0.90999997,108,18,0.008,-0.006,0.006,0.026,0.0,0,nan,0.0,0.0,3159,3,1,1,24
20542043,1662721333249966,11075589,387273744,-775185409,62539,27945,0.156,1.28946,0.316,0.52900004,0.53999996,0.90999997,107,14,0.007,0.007,0.001,0.060000002,0.0,0,nan,0.0,0.0,3159,3,1,1,24
21541067,1662721334249966,11075589,387273742,-775185411,62570,27977,0.12100001,1.289473,0.312,0.521,0.53999996,0.90999997,107,16,0.024,0.008,-0.022000002,0.019000001,0.0,0,nan,0.0,0.0,3159,3,1,1,24
22543139,1662721335249966,11075589,387273743,-775185413,62533,27939,0.142,1.2894871,0.30400002,0.505,0.51,0.84999996,107,12,0.003,-0.003,0.001,-0.052,0.0,0,nan,0.0,0.0,3159,3,1,1,26
23542043,1662721336249966,11075589,387273743,-775185416,62504,27910,0.128,1.2895004,0.29700002,0.49100003,0.51,0.84999996,107,15,0.001,0.001,-0.001,-0.029000001,0.0,0,nan,0.0,0.0,3159,3,1,1,26
24542043,1662721337249965,11075589,387273742,-775185417,62488,27895,0.132,1.2895141,0.29000002,0.47900003,0.51,0.84999996,107,11,0.022000002,0.019000001,0.012,0.021000002,0.0,0,nan,0.0,0.0,3159,3,1,1,26
25545042,1662721338249965,11075589,387273741,-775185418,62478,27885,0.102000006,1.2895252,0.28500003,0.46800002,0.48999998,0.83,107,12,0.058000002,-0.046000004,0.035,0.058000002,0.0,0,nan,0.0,0.0,3159,3,1,1,27
26540043,1662721339249965,11075589,387273742,-775185419,62465,27872,0.126,1.2895349,0.27800003,0.45400003,0.48999998,0.83,108,9,0.013,-0.012,0.004,-0.038000003,0.0,0,nan,0.0,0.0,3159,3,1,1,27
27540265,1662721340249965,11075589,387273743,-775185421,62460,27866,0.089,1.2895463,0.27100003,0.44200003,0.48999998,0.83,108,12,0.024,0.024,0.0,0.003,0.0,0,nan,0.0,0.0,3159,3,1,1,27
28541239,1662721341249964,11075589,387273745,-775185423,62435,27842,0.11400001,1.2895572,0.266,0.43100002,0.48999998,0.83,108,11,0.027,0.027,-0.0050000004,0.030000001,0.0,0,nan,0.0,0.0,3159,3,1,1,27
29541069,1662721342249964,11075589,387273747,-775185424,62422,27829,0.104,1.2895685,0.261,0.42200002,0.48999998,0.83,108,11,0.001,0.001,0.0,-0.011000001,0.0,0,nan,0.0,0.0,3159,3,1,1,27
30544043,1662721343249964,11075589,387273748,-775185424,62430,27836,0.069000006,1.2895774,0.256,0.41300002,0.48999998,0.83,107,13,0.024,0.014,-0.019000001,-0.0050000004,0.0,0,nan,0.0,0.0,3159,3,1,1,27
31545042,1662721344249964,11075589,387273749,-775185424,62435,27841,0.087000005,1.2895868,0.25300002,0.40600002,0.48,0.78999996,108,12,0.026,-0.014,-0.022000002,-0.006,0.0,0,nan,0.0,0.0,3159,3,1,1,28
