timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
17513703,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.012673413,0.0009849904,1.0210816e-11,-0.32309613,0.26275203,-9.948577,-0.0077852523,0.019795597,0.0022616277,8.803783e-05,0.00040008093,8.7288005e-05,5.187682e-07,4.920633e-07,4.3236832e-07,23.485735,23.485735
18524072,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.012591174,0.00095874607,1.1058627e-11,-0.3196453,0.2557745,-9.944189,-0.004996978,0.020442184,0.0023322543,8.196809e-05,0.00019722499,0.00022021755,5.524341e-07,6.477575e-07,4.77931e-07,23.467163,23.467163
19534461,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.012630605,0.0009296875,8.220331e-12,-0.31348544,0.25354156,-9.943925,-0.0078878645,0.02009622,0.0026607313,6.524183e-05,8.306611e-05,0.00014368715,2.94092e-07,4.6286084e-07,4.4160802e-07,23.464598,23.464598
20544844,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.012597972,0.0009492384,9.131514e-12,-0.32069877,0.2552105,-9.942238,-0.007019545,0.019807767,0.0027896545,7.156611e-05,0.00063142355,0.0001812807,6.616347e-07,5.292126e-07,5.6184507e-07,23.45252,23.45252
21454193,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.0123257,0.0009407191,7.82349e-12,-0.321363,0.25524926,-9.942221,-0.005967612,0.019796059,0.0021989257,6.626925e-05,0.00013455513,7.927536e-05,2.6930599e-07,5.315028e-07,3.066492e-07,23.442028,23.442028
22464586,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.011488545,0.00092641864,1.03832914e-11,-0.31573263,0.24951155,-9.944853,-0.0042047556,0.01987397,0.0024017047,7.9061014e-05,0.00010257163,0.00014213247,2.973523e-07,4.4118036e-07,6.972588e-07,23.44799,23.44799
23474970,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.013261032,0.0009655977,9.666584e-12,-0.31921068,0.24358647,-9.948286,-0.0052806917,0.019860245,0.002210781,9.6219585e-05,0.00027704402,0.0001291309,3.5916545e-07,6.6001763e-07,3.960285e-07,23.43116,23.43116
24485354,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.17763573,0.0019028899,2.1023258e-11,-0.3313236,0.25959736,-9.950565,-0.004695516,0.018852439,0.0042386334,0.0027971144,0.0040306374,0.09688983,8.479689e-06,5.2296073e-06,6.125347e-07,23.441046,23.441046
25495741,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.07765663,0.0012343195,9.913777e-12,-0.4329213,0.24996458,-9.960101,-0.008012054,0.018556781,0.0047138147,0.0048768674,0.0010799399,0.010450984,2.1813462e-06,4.9470787e-06,6.0499235e-07,23.42995,23.42995
26506131,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.052870322,0.0011507055,1.1870422e-11,-0.21408018,0.29278415,-9.953716,-0.009087709,0.019972855,0.0033519221,0.0018902995,0.0007218597,0.016923986,3.166051e-06,2.821275e-06,7.5852404e-07,23.431683,23.431683
27516516,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.06268856,0.001137843,1.1568504e-11,-0.3201857,0.2751772,-9.9428625,-0.0033014694,0.02232581,0.001790719,0.001241228,0.0036227752,0.020564698,1.6957127e-06,1.8992805e-06,7.551275e-07,23.43886,23.43886
28526902,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.06479858,0.0012061105,1.3886581e-11,-0.32812372,0.24251373,-9.948281,-0.005438405,0.021259502,0.0013094855,0.0013034141,0.0018360812,0.030579839,4.971605e-06,2.4196347e-06,1.3915104e-06,23.420286,23.420286
29537308,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.079213604,0.001319652,1.518589e-11,-0.31377122,0.2652025,-9.934044,-0.007363802,0.02115209,0.0021388794,0.0016585089,0.003054298,0.033091977,3.4987647e-06,2.4459357e-06,6.026619e-07,23.421345,23.421345
30547676,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.085129656,0.0014933039,1.8276412e-11,-0.32732284,0.23881052,-9.947409,-0.010863439,0.021108134,0.0031723722,0.0010541684,0.009518976,0.023709482,4.5319803e-06,2.190319e-06,2.489959e-06,23.41916,23.41916
31457022,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.067114376,0.0012617419,9.008548e-12,-0.32562435,0.29479128,-9.945823,-0.005554798,0.020547025,0.0018203974,0.00067066634,0.0022470288,0.01953028,2.2907354e-06,1.2421889e-06,3.2367095e-07,23.425499,23.425499
32467408,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.068054646,0.0012050881,1.5209283e-11,-0.32445326,0.28565386,-9.9389305,-0.0116402535,0.019641282,0.0023840242,0.00091120694,0.003490075,0.027938759,2.9745183e-06,9.315793e-07,1.0345403e-06,23.428143,23.428143
33477793,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.073033564,0.0013512615,1.2972816e-11,-0.28911635,0.31042013,-9.938538,-0.0052673207,0.019641697,0.0014276775,0.0011381694,0.0004207793,0.022779886,2.5397915e-06,1.5244863e-06,4.7689696e-07,23.42535,23.42535
34488181,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.12183719,0.0017871596,2.5120123e-11,-0.3125543,0.23932089,-9.952426,-0.000946954,0.020760084,0.0018429627,0.0011551905,0.00086519966,0.02892837,4.3327186e-06,1.7552114e-06,6.0330643e-07,23.428595,23.428595
35498566,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.094805986,0.0013840821,2.4597682e-11,-0.12181359,0.2650584,-9.960131,-0.015485793,0.02945264,0.016361734,0.107850485,0.0068317023,0.015202817,4.3003206e-06,9.530468e-06,1.7413877e-06,23.427538,23.427538
36509143,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.3414725,0.0058801356,6.312602e-11,0.9159008,0.42952117,-10.006235,-0.01249563,0.010982224,0.008423689,0.14893548,0.07964429,0.61234105,0.0002455384,2.0519572e-05,-1.6278623e-06,23.413647,23.413647
37519340,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,2.4098363,0.012268566,2.3671676e-10,1.3859826,0.25973886,-9.993794,0.009367608,0.019250533,0.0017903097,4.802702,0.807756,8.594716,0.00090535765,0.00044323696,3.558612e-05,23.434935,23.434935
38529745,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,7.117806,0.040303458,1.1967013e-09,1.2353685,0.527103,-10.4432,-0.007887411,0.02554109,0.0022769677,28.854124,1.1140448,103.97759,0.0066740555,0.0027812545,2.6383268e-05,23.422626,23.422626
39540134,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,5.9022064,0.04358162,1.4316113e-09,1.2579902,0.41303435,-10.376831,-0.014032504,0.015691783,0.0031446144,252.3229,2.249356,205.67719,0.013904094,0.026286306,0.0005340835,23.430328,23.430328
40550513,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,5.5629764,0.0354199,1.0245177e-09,1.1086388,0.17101817,-9.984951,-0.012707851,0.017198024,-0.010429637,26.755997,-1.5825586,401.9765,0.017894272,0.014794768,0.00012495072,23.431236,23.431236
41459857,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,2.1753912,0.018686065,7.9750005e-11,0.7508713,0.075792484,-10.107501,0.007209797,0.00503828,-0.00450854,0.36417988,0.74611574,0.5410561,0.00066626415,5.38248e-05,2.3616478e-05,23.442709,23.442709
42470244,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.50083,0.0051854393,9.315612e-11,-0.79651695,0.102295555,-11.0373745,-0.0034657363,0.061701637,0.00395744,0.012159287,0.044914402,0.08653727,1.9537609e-05,9.2803464e-05,3.6192528e-06,23.428291,23.428291
43480598,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.23958732,0.0030333195,9.999104e-12,-0.5872744,0.18609266,-9.588807,0.0059416187,0.00019806265,-0.003576824,0.0090078665,0.07533852,0.08542285,2.9843068e-05,2.2368763e-06,1.2227813e-05,23.441952,23.441952
44490984,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.16071521,0.0022837128,6.9075483e-12,-0.40031174,0.078330144,-9.792464,0.0051982473,0.0044155745,0.00095000473,0.0076956577,0.041012924,0.03658204,2.4518418e-05,1.8744473e-06,6.550717e-06,23.43697,23.43697
45501369,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.17519242,0.002360757,4.3902174e-11,-0.1688754,-0.05214543,-9.807538,-0.0010944564,0.019466503,0.03386414,0.0014490465,0.019063978,0.02551215,3.5512054e-05,9.411438e-06,1.9427175e-06,23.455235,23.455235
46511758,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.14368911,0.0022217797,3.2566096e-11,-0.30840844,0.3736459,-9.941654,-0.0057383203,0.027628798,-0.004730659,0.0017552873,0.007680355,0.034300514,2.070622e-05,1.8887752e-06,4.3837846e-07,23.446106,23.446106
47522203,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.1287654,0.0019434566,2.9944484e-11,-0.030324968,0.22630356,-10.032594,-0.008395674,0.021711709,-0.021819,0.0024324015,0.008955086,0.030589398,1.9021852e-05,3.3317865e-06,6.943177e-06,23.449577,23.449577
48532532,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.14527006,0.0020154,2.6741487e-11,0.0433614,0.049668435,-9.867002,-0.024501903,0.0005764025,-0.01654367,0.0019999666,0.027484683,0.03859651,8.729369e-06,1.4283809e-06,3.7070158e-06,23.446333,23.446333
49542938,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.2506332,0.002347719,2.5507619e-11,-0.2924484,-0.08410425,-9.94964,0.002380093,0.02286209,0.0055339765,0.0023462235,0.047926176,0.04128158,7.3507704e-06,1.5710353e-06,5.3670633e-06,23.466564,23.466564
50452289,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.21058132,0.0026279867,4.9572926e-11,-0.24457936,0.23900126,-9.970901,-0.002869212,0.024381228,0.02516294,0.0016064369,0.072057016,0.029162928,2.4891327e-05,1.1695818e-06,2.9304833e-06,23.43516,23.43516
51462676,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.16029295,0.0021992393,3.6453122e-11,-0.2503944,0.37885985,-9.86952,-0.0082659805,0.020496914,-0.025967734,0.0014301526,0.018457836,0.03045172,2.0144867e-05,1.0456891e-06,2.3705127e-06,23.443235,23.443235
52473211,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.16999473,0.002412998,2.858141e-11,-0.15645827,-0.41600245,-9.895118,-0.01751949,0.015045295,0.01524756,0.0025700284,0.027383287,0.026789576,9.1060865e-05,2.7752621e-06,4.288853e-06,23.46173,23.46173
