timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
26171289,26070752,-0.017551672,0.028064437,-0.0008649891,0.0686561,0.06220176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41337776,0.0,0.0,nan,0.0,0.0,0.0062901974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26670916,26570303,0.0021084286,0.0039023026,0.037956413,0.055278778,0.07643149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003923416,0.0,0.0,nan,0.0,0.0,0.0013313293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27170572,27069853,0.0018232022,-0.016782729,-0.025615824,0.053411543,0.07329319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17062569,0.0,0.0,nan,0.0,0.0,-0.0010595322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27670013,27569405,-0.024570053,-0.00011807773,-0.002909056,0.040306598,0.088260666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044692993,0.0,0.0,nan,0.0,0.0,0.00039887428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28169714,28068956,0.022571268,-0.0072393985,0.0056650415,0.02795814,0.09346928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06544685,0.0,0.0,nan,0.0,0.0,-0.0010738373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28669149,28568508,-0.028268095,0.0042413045,-0.030499235,0.015928805,0.09849779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12237549,0.0,0.0,nan,0.0,0.0,-0.00096583366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29169298,29068060,0.017710261,0.006195393,-0.009391399,0.0050159246,0.10420738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048988342,0.0,0.0,nan,0.0,0.0,0.00583601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29668372,29567612,-0.00031988428,-8.431473e-05,0.01095533,-0.0059786737,0.10080616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055475235,0.0,0.0,nan,0.0,0.0,-4.839897e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30167701,30067164,-0.01962035,-0.019592062,0.004904717,-0.017415643,0.105761185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019367218,0.0,0.0,nan,0.0,0.0,-0.001871109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30667253,30566716,-0.01461262,0.017242745,0.0051918253,-0.016671821,0.09435305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04128647,0.0,0.0,nan,0.0,0.0,0.00015115738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31166942,31066268,-0.014891146,0.013655739,-2.6443275e-05,-0.028001264,0.09051623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017974854,0.0,0.0,nan,0.0,0.0,-0.00056385994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31666424,31565696,0.0127944965,0.02057092,0.0054955147,-0.026824921,0.088164404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016828537,0.0,0.0,nan,0.0,0.0,0.0009074211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32165925,32065374,-0.024418864,0.011091507,0.050100453,-0.03731201,0.08566331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16907692,0.0,0.0,nan,0.0,0.0,0.002957344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32665519,32564927,-0.0074506435,-0.0063538332,-0.0018815112,-0.03627398,0.0832089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1657219,0.0,0.0,nan,0.0,0.0,0.0023987293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33165212,33064480,-0.0099835945,-0.015597055,-0.018475026,-0.035458274,0.08089701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16620445,0.0,0.0,nan,0.0,0.0,0.004133463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33664642,33564033,0.011462835,0.012374165,-0.027569547,-0.045891628,0.07891357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17047119,0.0,0.0,nan,0.0,0.0,0.005206108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34164183,34063587,0.021860644,0.011497251,0.01900384,-0.033316426,0.084756784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08514595,0.0,0.0,nan,0.0,0.0,0.0006210804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34663739,34563140,-0.002302106,0.025073111,0.0058405153,-0.043703094,0.08268401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007686615,0.0,0.0,nan,0.0,0.0,-0.002090931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35163246,35062694,0.035368983,0.010544799,0.012446976,-0.043694466,0.07185158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16765594,0.0,0.0,nan,0.0,0.0,0.0012786388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35662896,35562248,0.070532635,-0.055691548,0.0056193103,-0.031184427,0.05243092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16330338,0.0,0.0,nan,0.0,0.0,-7.939339e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36162402,36061804,0.20142505,-0.14872906,0.0025627022,0.05777982,-0.0218376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25146294,0.0,0.0,nan,0.0,0.0,0.011987686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36662104,36561356,0.25752664,-0.22713438,-0.016847424,0.15164757,-0.10567398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05623436,0.0,0.0,nan,0.0,0.0,0.009249687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37171679,37070902,0.27230513,-0.23915255,0.037019715,0.2680685,-0.20771132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19659996,0.0,0.0,nan,0.0,0.0,-0.025735378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37671216,37570456,1.6294429,-0.7074632,-0.04551779,1.5814587,-0.74498945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.071741104,0.0,0.0,nan,0.0,0.0,-0.03292346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38170689,38070012,1.8434812,-0.8685707,-0.14047194,2.391118,-1.1242197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38269234,0.0,0.0,nan,0.0,0.0,-0.033741474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38670131,38569568,2.0704644,-0.92395496,-0.20885246,3.3610148,-1.5559231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.712698,0.0,0.0,nan,0.0,0.0,-0.03440833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39169765,39069124,2.3018181,-1.0403605,-0.11086329,4.4720116,-2.0692396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2572956,0.0,0.0,nan,0.0,0.0,-0.034409285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39669263,39568681,2.603821,-1.2150304,-0.15656218,5.7107077,-2.6409998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46924782,0.0,0.0,nan,0.0,0.0,-0.029938221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40168803,40068237,2.8238943,-1.2823284,-0.16491283,7.073289,-3.267417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8099327,0.0,0.0,nan,0.0,0.0,-0.025902033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40668402,40567793,3.082568,-1.4758065,-0.2239959,8.572329,-3.9685693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9517994,0.0,0.0,nan,0.0,0.0,-0.018295527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41168052,41067350,3.42719,-1.5558398,-0.1504015,10.200011,-4.7115755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9994106,0.0,0.0,nan,0.0,0.0,-0.019821644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
