timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
17064083,17063845,2490402,2490402,4.598256e-06,3.2024727e-05,1.0355677e-05,-0.0015207693,0.0014623379,-0.049488254,5052,5052,0,1,1
17564211,17563987,2490402,2490402,4.8241004e-06,2.9384788e-05,5.4505904e-06,-0.001472917,0.0015766966,-0.04948244,5052,5052,0,1,1
18064342,18064129,2490402,2490402,1.0411068e-05,2.6858364e-05,1.6766921e-06,-0.0014558837,0.0014547554,-0.049462114,5052,5052,0,1,1
18564486,18564271,2490402,2490402,1.5465692e-05,3.0824853e-05,5.2569885e-06,-0.0014838392,0.0013161171,-0.04949764,5052,5052,0,1,1
19064627,19064412,2490402,2490402,1.4562855e-05,3.2308497e-05,1.1792147e-06,-0.001464936,0.0014208342,-0.049474277,5051,5051,0,1,1
19564768,19564554,2490402,2490402,7.460535e-07,3.3535656e-05,4.6524106e-06,-0.0014974681,0.0014660717,-0.04951162,5052,5052,0,1,1
20064988,20064696,2490402,2490402,1.6764634e-05,2.5329842e-05,6.200233e-06,-0.0014333768,0.0016572631,-0.049463965,5052,5052,0,1,1
20565054,20564838,2490402,2490402,4.2262167e-07,3.2163098e-05,7.0936962e-06,-0.0014812286,0.001537441,-0.04949437,5052,5052,0,1,1
21065214,21064979,2490402,2490402,1.599418e-05,2.9998171e-05,5.7432303e-06,-0.001410954,0.0013763404,-0.049412075,5051,5051,0,1,1
21565340,21565121,2490402,2490402,9.069081e-06,3.6848392e-05,6.1360756e-06,-0.001570473,0.0014902243,-0.04953404,5052,5052,0,1,1
22065478,22065263,2490402,2490402,-7.474458e-07,2.9745572e-05,5.340225e-06,-0.001455386,0.0015915245,-0.04948315,5052,5052,0,1,1
22565620,22565404,2490402,2490402,8.6523905e-06,3.3605025e-05,3.7234201e-06,-0.0015147208,0.0014585559,-0.049488243,5052,5052,0,1,1
23065760,23065546,2490402,2490402,4.8671986e-06,2.7012944e-05,3.4768577e-06,-0.0014340687,0.0014796802,-0.04940947,5052,5052,0,1,1
23565920,23565687,2490402,2490402,5.894348e-06,2.5109843e-05,5.9258596e-06,-0.0016055696,0.0013049213,-0.050533015,5052,5052,0,1,1
24066041,24065829,2490402,2490402,1.2557939e-05,2.1704956e-05,2.804899e-06,-0.0012646975,0.001245287,-0.05001122,5052,5052,0,1,1
24566185,24565970,2490402,2490402,-3.63005e-06,2.972646e-05,2.0550483e-06,-0.0015837597,0.0016645794,-0.049599804,5051,5051,0,1,1
25061278,25061064,2490402,2490402,2.97327e-05,2.7630178e-05,1.6000298e-05,-0.0013458476,0.0012343843,-0.04934258,5056,5056,0,1,1
25561420,25561203,2490402,2490402,-1.3443006e-05,-3.901071e-06,2.7833552e-05,-0.0018340495,0.0015075951,-0.049128186,5054,5054,0,1,1
26061579,26061343,2490402,2490402,2.2176402e-05,7.7397155e-05,1.5175668e-07,-0.0019995966,0.0013990175,-0.04920175,5052,5052,0,1,1
26566769,26566536,2490402,2490402,3.4542204e-06,1.774494e-05,4.9427013e-06,-0.001368911,0.0014896968,-0.049556777,5052,5052,0,1,1
27066891,27066677,2490402,2490402,2.244234e-05,3.15959e-05,2.9632483e-06,-0.0018508945,0.0016919633,-0.049565744,5052,5052,0,1,1
27567036,27566818,2490402,2490402,2.7430406e-05,3.9082784e-05,-4.358897e-06,-0.0015983388,0.0014519625,-0.049242042,5052,5052,0,1,1
28062145,28061910,2490402,2490402,-8.164867e-06,3.0295285e-05,1.1731927e-05,-0.0017020772,0.001682891,-0.04935374,5054,5054,0,1,1
28562262,28562049,2490402,2490402,2.1196316e-05,3.3996166e-05,-4.2921724e-06,-0.0015223604,0.0014938597,-0.049260687,5052,5052,0,1,1
29062404,29062191,2490402,2490402,1.0034873e-05,3.3735225e-05,2.542687e-06,-0.001606004,0.0014324527,-0.04939613,5052,5052,0,1,1
29562546,29562332,2490402,2490402,1.8412058e-05,3.7135054e-05,-5.936216e-06,-0.0015064084,0.0016799122,-0.049624026,5052,5052,0,1,1
30062686,30062473,2490402,2490402,1.1638283e-05,2.296545e-05,3.6294819e-06,-0.0015137005,0.001276668,-0.049429767,5052,5052,0,1,1
30563413,30562614,2490402,2490402,5.5458436e-06,3.549232e-05,5.297004e-06,-0.0015193751,0.0020532543,-0.049768817,5052,5052,0,1,1
31063203,31062755,2490402,2490402,-1.2756881e-05,2.281916e-05,9.598436e-06,-0.0015574137,0.0010497009,-0.049652662,5052,5052,0,1,1
31568161,31567949,2490402,2490402,2.0191666e-05,3.621013e-05,9.1792185e-07,-0.0015895468,0.0015532046,-0.04948657,5052,5052,0,1,1
32063274,32063038,2490402,2490402,1.4420773e-05,2.6621941e-05,2.3891e-06,-0.001562249,0.0016960038,-0.049258288,5052,5052,0,1,1
32563394,32563179,2490402,2490402,-1.4613354e-05,3.3408327e-05,2.9957384e-06,-0.0017172826,0.0014500831,-0.049545493,5052,5052,0,1,1
33063546,33063320,2490402,2490402,-3.1376143e-07,3.940426e-05,6.4231326e-06,-0.0018811382,0.0012014724,-0.04931936,5052,5052,0,1,1
33563675,33563461,2490402,2490402,8.296201e-06,3.6901656e-05,1.0146299e-05,-0.0017897654,0.0017250287,-0.049186844,5051,5051,0,1,1
34063816,34063603,2490402,2490402,5.416915e-06,2.53788e-05,1.5012591e-05,-0.0017766022,0.0013316944,-0.04953702,5052,5052,0,1,1
34563963,34563744,2490402,2490402,1.3639369e-05,3.3973647e-05,1.6872615e-05,-0.001328246,0.0014150898,-0.0493496,5052,5052,0,1,1
35064101,35063885,2490402,2490402,2.127294e-05,2.0860056e-05,2.9364302e-05,-0.001257716,0.0017073764,-0.0490238,5052,5052,0,1,1
35564242,35564026,2490402,2490402,-2.6094276e-05,1.8308292e-05,9.5405405e-05,-0.00044854276,0.0012136002,-0.04984019,5051,5051,0,1,1
