timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
96526990,96526800,458770,-0.21093334,-0.05,0.37493333,nan,0
97514991,97514800,458770,-0.16613333,-0.038533334,0.42626667,nan,0
98528993,98528800,458770,-0.18453334,-0.037333332,0.4130667,nan,0
99529991,99529800,458770,-0.18666667,-0.047733333,0.41653335,nan,0
100530990,100530800,458770,-0.17426667,-0.038666666,0.42466667,nan,0
101531993,101531801,458770,-0.18573333,-0.0388,0.41133335,nan,0
102519991,102519801,458770,-0.16746667,-0.04346667,0.42586666,nan,0
103533993,103533801,458770,-0.1888,-0.043066666,0.40240002,nan,0
104521994,104521800,458770,-0.1752,-0.040266667,0.41093335,nan,0
105535991,105535801,458770,-0.1752,-0.034133334,0.42426667,nan,0
106536991,106536801,458770,-0.1852,-0.033733334,0.42053333,nan,0
107538007,107537800,458770,-0.17493333,-0.037333332,0.4208,nan,0
108538997,108538806,458770,-0.174,-0.031600002,0.41293335,nan,0
109513990,109513800,458770,-0.16973333,-0.030933334,0.40653333,nan,0
110527991,110527801,458770,-0.17893334,-0.0424,0.42706668,nan,0
111515990,111515800,458770,-0.17893334,-0.042133335,0.412,nan,0
112529990,112529800,458770,-0.17853333,-0.038266666,0.41506666,nan,0
113517991,113517800,458770,-0.18360001,-0.036666665,0.41333333,nan,0
114531992,114531800,458770,-0.1952,-0.038266666,0.3924,nan,0
115532994,115532802,458770,-0.1716,-0.032133333,0.422,nan,0
116533994,116533800,458770,-0.1756,-0.0328,0.41706666,nan,0
117534991,117534800,458770,-0.17480001,-0.042533334,0.41946667,nan,0
118522990,118522800,458770,-0.186,-0.040133335,0.40213335,nan,0
119523993,119523800,458770,-0.16453333,-0.031200001,0.43853334,nan,0
120511993,120511802,458770,-0.17186667,-0.0324,0.42720002,nan,0
121538991,121538801,458770,-0.17893334,-0.040400002,0.42013335,nan,0
122513993,122513800,458770,-0.17693333,-0.044533335,0.42386666,nan,0
123527991,123527800,458770,-0.17346667,-0.036933333,0.432,nan,0
124529011,124528801,458770,-0.16906667,-0.036933333,0.44066668,nan,0
125529993,125529802,458770,-0.1768,-0.0432,0.42880002,nan,0
126530991,126530800,458770,-0.1716,-0.043733332,0.43826666,nan,0
127532041,127531800,458770,-0.16506667,-0.038,0.43586668,nan,0
128532991,128532800,458770,-0.15653333,-0.032533333,0.44346666,nan,0
129520992,129520801,458770,-0.16093333,-0.03906667,0.44293335,nan,0
130535032,130534800,458770,-0.1592,-0.0364,0.4336,nan,0
131522990,131522800,458770,-0.16013333,-0.0356,0.444,nan,0
132536991,132536801,458770,-0.16066667,-0.0392,0.44293335,nan,0
133511996,133511802,458770,-0.1588,-0.043866668,0.44226667,nan,0
134525990,134525800,458770,-0.1608,-0.044266667,0.448,nan,0
135526993,135526801,458770,-0.16173333,-0.044133335,0.44186667,nan,0
136527991,136527800,458770,-0.16226667,-0.040266667,0.444,nan,0
137528991,137528800,458770,-0.164,-0.035066668,0.44213334,nan,0
138516991,138516801,458770,-0.16133334,-0.027066667,0.43906668,nan,0
139531009,139530800,458770,-0.16573334,-0.022,0.44773334,nan,0
140518993,140518802,458770,-0.15933333,-0.030266667,0.45373333,nan,0
141532992,141532800,458770,-0.16093333,-0.036933333,0.43906668,nan,0
142534006,142533801,458770,-0.16,-0.0436,0.44506666,nan,0
143534993,143534802,458770,-0.15986668,-0.043333333,0.4372,nan,0
144535993,144535801,458770,-0.16093333,-0.0476,0.44173333,nan,0
145523991,145523801,458770,-0.1576,-0.045333333,0.4430667,nan,0
146537990,146537800,458770,-0.15253334,-0.040533334,0.44266668,nan,0
147512993,147512800,458770,-0.1608,-0.047066666,0.43773335,nan,0
148526990,148526800,458770,-0.16293333,-0.041733332,0.4304,nan,0
149527991,149527801,458770,-0.16226667,-0.034933332,0.42626667,nan,0
150529034,150528800,458770,-0.16,-0.03466667,0.44293335,nan,0
151529991,151529800,458770,-0.16,-0.039333332,0.44253334,nan,0
152517991,152517800,458770,-0.16053334,-0.0436,0.4436,nan,0
153532033,153531800,458770,-0.16013333,-0.045733333,0.4484,nan,0
154532991,154532800,458770,-0.16253333,-0.041733332,0.44133332,nan,0
155533990,155533800,458770,-0.16213334,-0.041866668,0.4424,nan,0
156535035,156534800,458770,-0.16413334,-0.038533334,0.44106668,nan,0
157535991,157535801,458770,-0.16346666,-0.033466667,0.43760002,nan,0
158536993,158536801,458770,-0.16266666,-0.032266665,0.44453335,nan,0
159524991,159524800,458770,-0.16306667,-0.031066667,0.43986666,nan,0
160538991,160538800,458770,-0.16373333,-0.029333334,0.4424,nan,0
161513993,161513801,458770,-0.16346666,-0.028133333,0.4452,nan,0
162528005,162527800,458770,-0.16266666,-0.0284,0.43786666,nan,0
163515991,163515801,458770,-0.16373333,-0.026800001,0.45986667,nan,0
164529991,164529800,458770,-0.1632,-0.028266666,0.44,nan,0
165531005,165530800,458770,-0.1628,-0.027333334,0.4392,nan,0
166531993,166531801,458770,-0.16213334,-0.0276,0.44346666,nan,0
167532996,167532806,458770,-0.164,-0.024933334,0.43786666,nan,0
168534009,168533800,458770,-0.1644,-0.021866666,0.44546667,nan,0
169534991,169534800,458770,-0.16373333,-0.0216,0.44026667,nan,0
170523034,170522800,458770,-0.16306667,-0.022400001,0.44133332,nan,0
171537009,171536800,458770,-0.16453333,-0.022,0.44280002,nan,0
172512003,172511813,458770,-0.1636,-0.023466667,0.4388,nan,0
173526037,173525800,458770,-0.16413334,-0.022666667,0.4452,nan,0
174513995,174513801,458770,-0.16453333,-0.0212,0.44133332,nan,0
175527991,175527801,458770,-0.1636,-0.0228,0.44333333,nan,0
176515991,176515800,458770,-0.16413334,-0.021733334,0.4444,nan,0
177529993,177529801,458770,-0.16373333,-0.022,0.4408,nan,0
178517992,178517801,458770,-0.16253333,-0.022533333,0.4456,nan,0
179532037,179531800,458770,-0.1636,-0.022,0.4392,nan,0
180532991,180532800,458770,-0.1604,-0.0184,0.45733333,nan,0
181533993,181533800,458770,-0.1636,-0.0212,0.4408,nan,0
182535042,182534800,458770,-0.16293333,-0.0216,0.44146666,nan,0
183535990,183535800,458770,-0.16346666,-0.020666666,0.44293335,nan,0
184536993,184536802,458770,-0.16346666,-0.019333333,0.45226666,nan,0
185524990,185524800,458770,-0.1632,-0.0216,0.44613335,nan,0
186525991,186525800,458770,-0.1628,-0.020533334,0.4532,nan,0
187513991,187513800,458770,-0.16386667,-0.020666666,0.44106668,nan,0
188527993,188527802,458770,-0.16373333,-0.020666666,0.44480002,nan,0
189515993,189515801,458770,-0.16293333,-0.020533334,0.43893334,nan,0
