timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
58844972,58800801,458770,-0.16208892,-0.12891024,0.331117,1
59314987,59301300,458770,-0.15153933,-0.12507096,0.3401335,1
59849318,59807000,458770,-0.16350701,-0.1299003,0.32980612,1
60340925,60321801,458770,-0.19099888,-0.1375238,0.2830294,1
60875260,60841800,458770,-0.20122777,-0.14292347,0.27023897,1
61302694,61283801,458770,-0.16261074,-0.14531897,0.32895407,1
61879511,61855800,458770,-0.15957227,-0.13943626,0.3230192,1
62328268,62317300,458770,-0.16182938,-0.13214993,0.3219974,1
62884018,62845967,458770,-0.18749174,-0.13008386,0.29716533,1
63333370,63279301,458770,-0.14860974,-0.12649521,0.34524024,1
63867802,63812300,458770,-0.16857098,-0.12947968,0.32001013,1
64337847,64312801,458770,-0.17804888,-0.13395116,0.30965078,1
64786748,64774300,458770,-0.15775484,-0.13635394,0.3334759,1
65364198,65339800,458770,-0.16020268,-0.13619885,0.3259736,1
65876977,65835967,458770,-0.17930947,-0.13457513,0.30472076,1
66368704,66366800,458770,-0.18436396,-0.1279244,0.30574477,1
66817568,66808801,458770,-0.15477632,-0.1236088,0.34800082,1
67266447,67263801,458770,-0.17954783,-0.12741467,0.3070283,1
67843998,67829300,458770,-0.18443827,-0.13298088,0.305123,1
68314007,68290801,458770,-0.17210749,-0.13297853,0.3048383,1
68869825,68862800,458770,-0.18227021,-0.13613567,0.3025068,1
69319023,69291800,458770,-0.18145691,-0.13351113,0.30793107,1
69767997,69753300,458770,-0.16108876,-0.12455935,0.32258898,1
70366303,70331806,458770,-0.17925511,-0.12187796,0.3091495,1
70857890,70832302,458770,-0.16561855,-0.12384928,0.32018992,1
71370957,71345800,458770,-0.174144,-0.13042125,0.30730897,1
71819822,71787804,458770,-0.17241256,-0.13256645,0.31474495,1
72375257,72314300,458770,-0.18511821,-0.13421278,0.29861483,1
72845605,72827800,458770,-0.15077055,-0.13191053,0.3448267,1
73294340,73282801,458770,-0.16324496,-0.1325942,0.32073998,1
73871020,73861300,458770,-0.1579266,-0.13072696,0.3357778,1
74341369,74322802,458770,-0.17899308,-0.13122953,0.3015307,1
74768992,74758300,458770,-0.19321972,-0.13308167,0.29582685,1
75324471,75289133,458770,-0.14204392,-0.1241742,0.34965718,1
75794589,75785300,458770,-0.16747305,-0.12231421,0.3239073,1
76328806,76311800,458770,-0.15892017,-0.1214458,0.33630937,1
76862877,76828550,458770,-0.16575241,-0.1246111,0.32557935,1
77354554,77325800,458770,-0.17215781,-0.12710516,0.31811893,1
77760674,77754801,458770,-0.14338915,-0.12808807,0.35231638,1
78337871,78326800,458770,-0.14386816,-0.1302415,0.34588277,1
78808028,78801302,458770,-0.19056553,-0.13103458,0.28936225,1
79385155,79373301,458770,-0.16914085,-0.12975112,0.3183953,1
79833894,79808813,458770,-0.20118217,-0.13264455,0.28626347,1
80282638,80270300,458770,-0.16783223,-0.13378304,0.3163743,1
80838447,80801133,458770,-0.21286288,-0.13892981,0.26346847,1
81330243,81308146,458770,-0.18776362,-0.14132814,0.28950188,1
81843525,81810800,458770,-0.19864236,-0.14127664,0.27663776,1
82377771,82324300,458770,-0.15063263,-0.13400811,0.33931452,1
82847771,82837837,458770,-0.24310632,-0.13566945,0.22391026,1
83296575,83292801,458770,-0.18257242,-0.13408425,0.2996127,1
83852609,83798175,458770,-0.18705451,-0.13787885,0.29838383,1
84343935,84332800,458770,-0.16928042,-0.13974367,0.31788728,1
84792639,84774800,458770,-0.15813042,-0.13941452,0.33184835,1
85348359,85299675,458770,-0.15636204,-0.13743456,0.3342399,1
85839619,85827800,458770,-0.18651962,-0.13676858,0.29307896,1
86288690,86269800,458770,-0.15239184,-0.13359396,0.33948237,1
86844583,86783301,458770,-0.18230246,-0.13483243,0.3042239,1
87336026,87309800,458770,-0.15999891,-0.13160215,0.33098668,1
87870377,87829800,458770,-0.14563692,-0.12775786,0.34766302,1
88383544,88343305,458770,-0.17944299,-0.12729457,0.3065179,1
88875161,88856801,458770,-0.18412557,-0.12595297,0.2998197,1
89345291,89311802,458770,-0.17148662,-0.12554152,0.31413737,1
89858276,89818800,458770,-0.18836376,-0.12536797,0.2980277,1
90286041,90260800,458770,-0.17899089,-0.12778205,0.30894876,1
90820237,90797055,458770,-0.16291735,-0.13002926,0.32841632,1
91333848,91300800,458770,-0.15146554,-0.13080087,0.33799767,1
91867997,91826008,458770,-0.1704383,-0.12925747,0.31915346,1
92380443,92347306,458770,-0.15163928,-0.12601903,0.34285194,1
92829999,92789300,458770,-0.14182153,-0.12468286,0.3532908,1
93321389,93302802,458770,-0.1610305,-0.12262055,0.3273347,1
93855843,93806090,458770,-0.14146745,-0.12002446,0.35523573,1
94347306,94342800,458770,-0.13860454,-0.12193218,0.35103258,1
94796570,94771802,458770,-0.15070145,-0.122152865,0.3359737,1
95373616,95311301,458770,-0.14752464,-0.12800713,0.34021914,1
95822909,95798815,458770,-0.14317432,-0.13408405,0.34447286,1
96378567,96329947,458770,-0.15459974,-0.13834846,0.3282484,1
96869742,96858300,458770,-0.14089414,-0.13580534,0.34374765,1
97340062,97306800,458770,-0.13218832,-0.13280448,0.36100438,1
97853025,97813800,458770,-0.13845862,-0.12790482,0.35050628,1
