timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
17390625,5.155041,3.3286011,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
17890611,5.147488,3.3289032,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
18390629,5.158264,3.3276947,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
18890608,5.1489987,3.3296082,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
19391127,5.1537323,3.3291047,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
19890671,5.1545377,3.3287017,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
20390621,5.156552,3.3302124,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
20890610,5.1525235,3.3297088,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
21390610,5.1574583,3.3298094,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
21890608,5.151315,3.329306,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
22390609,5.1518188,3.3285003,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
22890607,5.1571565,3.3285003,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
23390646,5.1549406,3.3288023,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
23890629,5.1584654,3.3292053,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
24390613,5.053125,3.3291047,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
24890607,5.159372,3.3298094,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
25390609,5.1555448,3.3292053,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
25890632,5.155243,3.3281982,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
26390688,5.0553403,3.3283997,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
26890816,5.158667,3.3290038,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
27390862,5.1536317,3.3288023,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
27890610,5.1591706,3.3295074,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
28391003,5.1571565,3.3298094,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
28890874,5.156854,3.3279967,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
29390643,5.1487975,3.3288023,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
29890608,5.1594725,3.3294067,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
30390608,5.1416473,3.3295074,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
30890610,5.1567535,3.3286011,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
31390608,5.1559477,3.3289032,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
31890631,5.1571565,3.3291047,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
32390611,5.153833,3.3298094,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
32890608,5.146582,3.3294067,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
33390632,5.1543365,3.330011,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
33890972,5.050406,3.329306,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
34390657,5.1588683,3.3295074,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
34890609,5.1588683,3.3294067,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
35390610,5.16058,3.3286011,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
35890610,5.1608825,3.3299103,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
36390608,5.169946,3.3292053,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
36890711,5.175082,3.3298094,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
37390836,5.170651,3.329306,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
37890990,5.1819305,3.3291047,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
38390641,5.189383,3.330011,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
38890610,5.185556,3.3292053,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
39390608,5.183038,3.3292053,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
39890608,5.038623,3.3291047,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
40390610,5.195828,3.3298094,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
40890644,5.1788087,3.3290038,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
41390687,5.170651,3.329306,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
41890610,5.1628966,3.3288023,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
42390609,5.157962,3.329306,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
42890608,5.153833,3.3289032,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
43390611,5.155444,3.3288023,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
43890874,5.16199,3.3294067,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
44390620,5.157962,3.3295074,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
44890610,5.159573,3.3296082,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
45390610,5.161185,3.3295074,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
45890757,5.1604795,3.3289032,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
46390699,5.156653,3.330011,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
46890930,5.152121,3.3291047,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
47390621,5.0112305,3.3282988,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
47890612,5.1660185,3.3296082,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
48390610,5.1664214,3.329306,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
48890883,5.163098,3.3289032,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
49390870,5.1563506,3.3285003,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
49890610,5.161587,3.3291047,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
50390610,5.1523223,3.3292053,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
50890608,5.1626954,3.3292053,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
51390609,5.15484,3.330313,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
51890630,5.1539335,3.3294067,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
52390652,5.1535306,3.3288023,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
52890609,5.1601777,3.3299103,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
53390609,5.157962,3.3294067,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
53890607,5.1574583,3.3297088,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
54390608,5.154639,3.3296082,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
54890746,5.1584654,3.3298094,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
55390652,5.1657166,3.3297088,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
55890608,5.1626954,3.3295074,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
56390637,5.1502075,3.3279967,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
56890611,5.0577574,3.329306,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
57390644,5.1608825,3.3276947,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
57890610,5.154034,3.3298094,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
58390610,5.1640043,3.3296082,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
58890607,5.158566,3.3294067,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
59390607,5.163098,3.3291047,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
59890611,5.163501,3.3290038,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
60390608,5.1647096,3.3295074,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
60890691,5.163199,3.3296082,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
61390729,5.16199,3.3297088,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
61890608,5.1395326,3.3296082,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
62390608,5.165918,3.3294067,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
62890614,5.166119,3.3296082,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
63391302,5.1594725,3.3291047,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
63890803,5.151416,3.3289032,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
64391289,5.163199,3.3290038,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
64890624,5.150107,3.3299103,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
65390607,5.156552,3.3298094,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
65890633,5.161587,3.3299103,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
66390666,5.16058,3.3298094,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
66890640,5.158264,3.3288023,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
67390607,5.1543365,3.330313,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
67890610,5.1471863,3.3301117,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
68390607,5.158566,3.3299103,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
68890623,5.1632996,3.3290038,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
69390610,5.159976,3.3298094,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
69890609,5.151315,3.3292053,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
70390622,5.0474854,3.3294067,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
70890690,5.161789,3.3294067,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
71390609,5.15766,3.3292053,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
71890608,5.1598754,3.3282988,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
72390678,5.161587,3.3296082,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
72890610,5.161789,3.3286011,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
73390637,5.15484,3.3294067,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
73890640,5.1614866,3.3294067,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
74390632,5.16058,3.3298094,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
74890608,5.1567535,3.3294067,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
75390607,5.1543365,3.3299103,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
75890609,5.149704,3.3295074,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
76390607,5.1557465,3.3298094,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
76890607,5.1601777,3.3290038,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
77390652,5.162091,3.3298094,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
77891224,5.157559,3.3285003,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
78390837,5.1614866,3.3299103,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
78890611,5.164508,3.3280976,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
79390610,5.163199,3.3295074,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
79890608,5.152121,3.3302124,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
80390610,5.166119,3.3299103,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
80890611,5.1587677,3.3294067,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
81390607,5.166119,3.3283997,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
81891041,5.1604795,3.329306,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
82390703,5.161386,3.330011,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
82890624,5.166119,3.3302124,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
83390608,5.164911,3.3298094,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
83890644,5.164206,3.3296082,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
84390608,5.1604795,3.3294067,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
84890613,5.1666226,3.330011,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
85390678,5.158667,3.3285003,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
85890608,5.165918,3.3298094,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
86390642,5.154437,3.3299103,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
86890609,5.1637025,3.3296082,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
87390610,5.1602783,3.3283997,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0
