timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
17681147,17551002,0.024843147,0.02260883,0.00087562716,1,0,0,0,0,0,0,0,0,0,0
18682136,18552000,0.025561612,0.023573501,0.00028425874,1,0,0,0,0,0,0,0,0,0,0
19681667,19549993,0.025365401,0.02147981,0.00023238124,1,0,0,0,0,0,0,0,0,0,0
20682007,20548995,0.024332773,0.02196633,0.00076107547,1,0,0,0,0,0,0,0,0,0,0
21682246,21550992,0.024485389,0.022468863,0.0009300794,1,0,0,0,0,0,0,0,0,0,0
22682482,22550992,0.021984853,0.015718251,0.0008772262,1,0,0,0,0,0,0,0,0,0,0
23683105,23550990,0.020610562,0.012521106,0.000789922,1,0,0,0,0,0,0,0,0,0,0
24683093,24552037,0.01998979,0.009817813,0.00056121935,1,0,0,0,0,0,0,0,0,0,0
25683418,25555272,0.019006105,0.007624005,0.0023149194,1,0,0,0,0,0,0,0,0,0,0
26683673,26552997,0.01710637,0.0056383903,0.0012490744,1,0,0,0,0,0,0,0,0,0,0
27694057,27562992,0.015603685,0.004681145,0.0012662751,1,0,0,0,0,0,0,0,0,0,0
28685021,28552991,0.013192696,0.0015430383,0.0013777737,1,0,0,0,0,0,0,0,0,0,0
29684804,29551992,0.012043973,0.0008788169,0.001589576,1,0,0,0,0,0,0,0,0,0,0
30684814,30554206,0.0104051,0.0015400846,0.0010960664,1,0,0,0,0,0,0,0,0,0,0
31685086,31553992,0.009043528,0.0018721193,0.0008668254,1,0,0,0,0,0,0,0,0,0,0
32685398,32553992,0.007926565,7.8663594e-05,0.00051753095,1,0,0,0,0,0,0,0,0,0,0
33685910,33552993,0.0070590144,0.0019623083,0.0010916735,1,0,0,0,0,0,0,0,0,0,0
34686267,34553990,0.0071860654,0.0045418753,0.0019318272,1,0,0,0,0,0,0,0,0,0,0
35686298,35552992,0.0032251999,0.007189117,0.0061083715,1,0,0,0,0,0,0,0,0,0,0
36686509,36553290,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
37696708,37553993,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
38687127,38553992,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
39687387,39552992,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
40687306,40553991,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
41687642,41553012,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
42687926,42553992,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
43677970,43553020,0.24886496,0.016573409,0.24670383,1,0,0,0,0,0,0,0,0,0,0
44678254,44550541,0.8708409,0.038545184,0.8696274,1,0,0,0,0,0,0,1,0,1,0
45678599,45551991,1.4227735,0.05043662,1.4237479,1,0,0,0,0,0,0,1,0,1,0
