timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
17361788,17361391,0.4653894,0.00954131,-0.018853433,0.88485384,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
17861444,17861049,0.46534917,0.009539885,-0.018796414,0.88487625,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
18361101,18360708,0.46526995,0.0095488485,-0.018804627,0.8849176,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
18860762,18860366,0.46512577,0.00950233,-0.018838825,0.88499314,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
19360419,19360025,0.46500716,0.009480743,-0.0188076,0.8850564,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
19860076,19859683,0.46495235,0.009205407,-0.019237688,0.88507885,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
20364728,20364338,0.46477988,0.009234065,-0.019264234,0.88516855,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
20864388,20863996,0.46470967,0.009238618,-0.019267496,0.8852053,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
21364045,21363654,0.46470842,0.009450612,-0.018909032,0.88521147,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
21858708,21858316,0.46473056,0.0093740225,-0.018945262,0.8851998,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
22358369,22357974,0.46473268,0.009434323,-0.019095568,0.8851948,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
22863021,22862629,0.4648147,0.009461704,-0.018971454,0.8851542,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
23362678,23362287,0.46483245,0.009570626,-0.018869452,0.88514584,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
23862336,23861945,0.46351483,0.009455076,-0.018975938,0.8858355,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
24361997,24361604,0.4603458,0.009796184,-0.019041752,0.88748133,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
24861651,24861261,0.4584854,0.009801889,-0.01914361,0.8884416,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
25361313,25360919,0.4557694,0.009681631,-0.019161992,0.88983893,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
25860993,25860580,0.45429197,0.010171275,-0.020076597,0.89056855,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
26360629,26360235,0.45383042,0.010067821,-0.019828096,0.89081055,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
26860282,26859893,0.4529299,0.010215243,-0.0201658,0.8912595,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
27359967,27359550,0.452487,0.010278938,-0.019886164,0.8914901,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
27864595,27864205,0.4519565,0.010519358,-0.019565394,0.8917634,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
28364254,28363863,0.45145223,0.010508669,-0.019396536,0.89202255,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
28858917,28858524,0.45117438,0.01069566,-0.019191986,0.89216536,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
29358700,29358182,0.45074666,0.010872687,-0.018874206,0.89238614,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
29863357,29862836,0.45035064,0.010991562,-0.018736482,0.89258754,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
30363012,30362494,0.44976583,0.010830018,-0.019114163,0.8928764,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
30862668,30862152,0.4493006,0.010711347,-0.019160684,0.89311093,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
31362328,31361810,0.4488419,0.010433958,-0.019678306,0.8933337,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
31861984,31861467,0.44861606,0.01033864,-0.019811127,0.89344513,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
32361656,32361127,0.44834256,0.010112484,-0.020647282,0.89356613,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
32861307,32860783,0.44817767,0.009690409,-0.021182762,0.89364105,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
33360966,33360448,0.4481922,0.009810525,-0.020848908,0.8936403,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
33860623,33860099,0.44801497,0.010103127,-0.02002604,0.89374465,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
34360275,34359756,0.44773364,0.010558363,-0.019108243,0.89390045,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
34864928,34864411,0.446284,0.011081544,-0.018889641,0.8946234,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
35359656,35359072,0.4426711,0.0106063625,-0.018535478,0.8964297,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
35859250,35858730,0.435758,0.00767977,-0.019672664,0.89981616,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
36358906,36358388,0.42578146,0.0051718364,-0.021715598,0.90455073,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
36863557,36863042,0.4128469,0.0053783045,-0.02420541,0.9104629,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
37363344,37362950,0.42281625,-0.01859913,-0.02882721,0.9055659,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
37863022,37862608,0.413346,-0.017640546,-0.028330857,0.90996224,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
38362675,38362266,0.40439495,-0.017164804,-0.027755737,0.9140021,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
38862323,38861923,0.39636984,-0.018502897,-0.028713077,0.9174553,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
39361970,39361581,0.38860887,-0.019060524,-0.029273713,0.9207404,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
39861631,39861239,0.38064912,-0.018925698,-0.031660035,0.92398363,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
40361288,40360897,0.37394765,-0.018900309,-0.031109976,0.9267352,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
40861048,40860560,0.36900827,-0.020350315,-0.030805087,0.9286926,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
41360607,41360213,0.36249688,-0.016462225,-0.029401349,0.9313756,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
41860260,41859871,0.3569703,-0.017530218,-0.027011119,0.9335606,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
42364919,42364525,0.35396126,-0.030072149,-0.020748204,0.9345463,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
42859595,42859187,0.35242143,-0.033518184,-0.018138822,0.93506503,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
43359236,43358845,0.3513234,-0.03105902,-0.01639228,0.9355953,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
43858894,43858503,0.37552077,-0.051360425,-0.001891762,0.9253879,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
44363549,44363157,0.3875771,-0.03522051,-0.011446011,0.9210931,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
44863207,44862815,0.39188743,-0.023492662,-0.01882798,0.9195205,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
45362866,45362473,0.39055622,-0.014004012,-0.0225794,0.92019564,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
45862525,45862131,0.3854065,-0.006800245,-0.018746758,0.92253137,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
46362185,46361789,0.3881865,-0.005425307,-0.020916393,0.92132753,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
46861845,46861447,0.39419046,-0.005482678,-0.025714649,0.9186526,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
47361498,47361105,0.3976171,-0.004921862,-0.029403126,0.917067,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
47861158,47860764,0.40024814,-0.0046040453,-0.03272806,0.9158106,1.0,-5.8522194e-11,-4.383322e-09,-0.00020502185,3
