timestamp,indicated_airspeed_m_s,calibrated_airspeed_m_s,true_airspeed_m_s,calibrated_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
16817027,-1.6736058,-1.6736058,-1.67316,0.0031308946,0.003190977,1,1
16917028,-3.5404606,-3.5404606,-3.5395525,0.002406793,0.002453004,1,1
17017029,3.3931708,3.3931708,3.3923006,0.002634567,0.0026851513,1,1
17217028,-1.0407747,-1.0407747,-1.0403987,0.0014415543,0.0014691788,1,1
17417027,-2.3189616,-2.3189616,-2.3183324,0.0012400345,0.0012638036,1,1
17617027,-2.2244427,-2.2244427,-2.2237952,0.0030737899,0.0031326464,1,1
17817027,-0.8085627,-0.8085627,-0.8083393,0.0024225274,0.0024689503,1,1
18017028,3.3931708,3.3931708,3.3922503,0.0015717627,0.0016018635,1,1
18217027,-1.6736066,-1.6736066,-1.6731691,0.0014643222,0.0014923803,1,1
18417027,-1.6736066,-1.6736066,-1.6731608,0.0011053056,0.0011264789,1,1
18617026,2.8422015,2.8422015,2.8414586,0.0022825815,0.0023263183,1,1
18817094,-3.5404606,-3.5404606,-3.5394824,0.0013466993,0.0013724831,1,1
19017027,-1.0407747,-1.0407747,-1.0405027,0.001912436,0.0019490804,1,1
19217027,-1.0407733,-1.0407733,-1.0405012,0.0022209932,0.00226355,1,1
19417028,1.5337162,1.5337162,1.5332773,0.0005610261,0.0005717522,1,1
19617031,-1.6736066,-1.6736066,-1.6731608,0.0009201455,0.0009377561,1,1
19817027,1.9080334,1.9080334,1.9075534,0.0008037973,0.0008191932,1,1
20017028,-3.4378972,-3.4378972,-3.4368691,0.0015421327,0.001571663,1,1
20217027,-2.3189616,-2.3189616,-2.3183782,0.0013999358,0.0014267501,1,1
20417027,-1.0407733,-1.0407733,-1.0404857,0.0021081364,0.0021484627,1,1
20617041,-3.109976,-3.109976,-3.109086,0.0032444198,0.0033064492,1,1
20817027,1.5337162,1.5337162,1.533285,0.001794933,0.0018292282,1,1
21017027,-3.5404606,-3.5404606,-3.5394475,0.0018539175,0.0018893305,1,1
21217027,1.5337162,1.5337162,1.5333381,0.0018522666,0.0018877226,1,1
21417027,-3.109976,-3.109976,-3.1091323,0.00072304945,0.00073687185,1,1
21617027,-3.109976,-3.109976,-3.1091323,0.002439096,0.0024857237,1,1
21817027,4.220429,4.220429,4.2193046,0.0016171429,0.0016480382,1,1
22017027,-1.9864856,-1.9864856,-1.985945,0.0022166474,0.0022590018,1,1
22217028,-1.9864856,-1.9864856,-1.985945,0.0011681064,0.001190416,1,1
22417027,1.2220523,1.2220523,1.2217238,0.0014759611,0.0015041553,1,1
22617027,2.4057798,2.4057798,2.4051292,0.0015172794,0.0015462603,1,1
22817027,2.941206,2.941206,2.940403,0.0015935287,0.001623962,1,1
23017027,-2.3189616,-2.3189616,-2.3183172,0.0012936515,0.0013183512,1,1
23217027,-0.7145843,-0.7145843,-0.7143922,0.0012688081,0.0012930452,1,1
23417027,-1.0407733,-1.0407733,-1.0404986,0.0013514888,0.0013773121,1,1
23617055,1.2220523,1.2220523,1.2217278,0.0011591972,0.0011813246,1,1
23817027,2.8921273,2.8921273,2.891333,0.0014089511,0.001435857,1,1
24017026,-1.9864856,-1.9864856,-1.9859271,0.0030271679,0.0030849555,1,1
24217027,2.8422015,2.8422015,2.8409607,0.0044853925,0.004571008,1,1
24417028,2.941206,2.941206,2.9404516,0.0025628777,0.002611823,1,1
24617032,-2.7431312,-2.7431312,-2.7424004,0.0024702388,0.00251739,1,1
24817027,-1.8367201,-1.8367201,-1.8362309,0.0019613798,0.001998818,1,1
25017027,-1.0407733,-1.0407733,-1.0405064,0.0046882033,0.0047777374,1,1
25217026,-1.9864856,-1.9864856,-1.9859564,0.014460669,0.01473669,1,1
25417026,-3.109976,-3.109976,-3.109163,0.03497414,0.035641894,1,1
25617030,-3.5404606,-3.5404606,-3.5394824,0.0035696244,0.0036377243,1,1
25817027,-3.109976,-3.109976,-3.1091018,0.038706437,0.039444666,1,1
26017028,2.0174315,2.0174315,2.016894,0.034298774,0.034953456,1,1
26217027,-1.6736066,-1.6736066,-1.6731774,0.029834734,0.03040451,1,1
26417027,-2.3189616,-2.3189616,-2.3183668,0.0058261417,0.005937308,1,1
26617027,-2.2244427,-2.2244427,-2.2238393,0.020100512,0.020484082,1,1
26817027,-1.0407747,-1.0407747,-1.0404923,0.017783226,0.018122274,1,1
27017028,-3.109976,-3.109976,-3.1091323,0.0021749793,0.0022164464,1,1
27217027,2.8921273,2.8921273,2.8913713,0.010932273,0.011140813,1,1
27417038,2.8921273,2.8921273,2.891314,0.007496521,0.007639371,1,1
27617027,-3.109976,-3.109976,-3.1096616,0.0018678966,0.0019035091,1,1
27817145,3.7916381,3.7916381,3.7906468,0.008411957,0.00857242,1,1
28017037,-3.109976,-3.109976,-3.1091018,0.007930402,0.008081519,1,1
28217027,-1.0407733,-1.0407733,-1.0404857,0.0034083028,0.0034732667,1,1
28417027,-1.0407733,-1.0407733,-1.040496,0.0034848887,0.0035513476,1,1
28617027,-0.7145843,-0.7145843,-0.714401,0.0010038451,0.0010229992,1,1
28817028,-2.6094134,-2.6094134,-2.6087053,0.002920818,0.002976505,1,1
29017050,-1.0407747,-1.0407747,-1.0406694,0.0036826648,0.003752877,1,1
29217027,2.8921273,2.8921273,2.8913283,0.0017857081,0.0018197446,1,1
29417027,-3.5404606,-3.5404606,-3.5395,0.0052079367,0.0053072292,1,1
29617027,1.5337162,1.5337162,1.5333153,0.0020547474,0.002093943,1,1
29817027,-3.4378972,-3.4378972,-3.4370325,0.0046555027,0.004744277,1,1
30017027,-1.0407747,-1.0407747,-1.0404923,0.0024266099,0.0024728745,1,1
30217028,-3.109976,-3.109976,-3.108634,0.0034524314,0.0035182887,1,1
30417027,-3.5404606,-3.5404606,-3.5394824,0.006533922,0.006658462,1,1
30617043,3.7916381,3.7916381,3.7912922,0.0012195929,0.0012428573,1,1
30817027,1.5337162,1.5337162,1.5335611,0.004067847,0.004145403,1,1
31017029,-1.7973299,-1.7973299,-1.7968512,0.0021212266,0.0021616798,1,1
31217071,1.2220523,1.2220523,1.2217389,0.004807966,0.004899705,1,1
31417027,2.0174322,2.0174322,2.0168948,0.0036147914,0.0036837277,1,1
31617028,-3.109976,-3.109976,-3.1091323,0.0019893139,0.0020272413,1,1
