timestamp,timestamp_sample,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
17892615,17862526,2.8422015,2.8414116,13.898388,1.0
18908061,18877991,-3.5404606,-3.5394917,13.898388,1.0
19908343,19880126,2.283681,2.2827106,13.800685,1.0
20898521,20864417,3.3931708,3.3922293,13.898388,1.0
21858411,21839678,-1.9864856,-1.9859564,13.898388,1.0
22899091,22864461,2.8921273,2.8909879,13.82511,1.0
23889270,23863032,-2.7431307,-2.7423728,13.898388,1.0
24879456,24836138,-3.109976,-3.1091375,13.898388,1.0
25879741,25856012,3.3931708,3.3922298,13.898388,1.0
26895165,26868902,-1.0407747,-1.0404906,13.898388,1.0
27895449,27868670,1.5337162,1.5332984,13.898388,1.0
28870473,28836324,-3.109976,-3.1091304,13.898388,1.0
29901087,29875035,-1.0407747,-1.0405,13.898388,1.0
30891242,30870249,2.8422015,2.8419092,13.996091,1.0
31891526,31855705,-0.8085627,-0.8084545,13.971666,1.0
32906967,32887678,-3.109976,-3.1093662,13.94724,1.0
33881991,33856608,3.2421577,3.2414484,13.922814,1.0
34857013,34831725,2.0174322,2.0172122,13.996092,1.0
35857290,35840961,-3.5404606,-3.5397103,13.930957,1.0
36862628,36835917,-3.109976,-3.1095896,13.996092,1.0
37878475,37857979,-1.0407733,-1.0405926,13.963524,1.0
38878359,38853462,5.1381664,5.136696,13.898388,1.0
39908964,39872026,6.4032507,6.401268,13.898388,1.0
40909236,40881508,6.2904816,6.287425,13.800685,1.0
41859001,41832212,7.849496,7.844397,13.70298,1.0
42874460,42847551,7.6556206,7.6507864,13.70298,1.0
43890514,43853083,7.514076,7.5083194,13.605276,1.0
44889541,44861260,7.369814,7.3629174,13.507572,1.0
45853687,45833051,7.3988914,7.3922133,13.507572,1.0
46907751,46875264,6.469968,6.464111,13.507571,1.0
47881895,47853846,7.369814,7.361977,13.409868,1.0
48886396,48859604,6.919003,6.9117665,13.409868,1.0
49886509,49846192,6.2904816,6.28316,13.344731,1.0
50886818,50856814,7.1429553,7.1343927,13.312164,1.0
51861816,51840857,6.2904816,6.282971,13.312164,1.0
52907916,52878186,6.980794,6.971375,13.214459,1.0
53882100,53838803,6.1987896,6.190395,13.21446,1.0
54871422,54826789,7.005357,6.994825,13.136297,1.0
55885755,55849529,6.4032497,6.3944755,13.21446,1.0
56860066,56832659,7.379519,7.369598,13.214459,1.0
57874371,57840019,6.919003,6.9082494,13.116756,1.0
58889060,58865304,7.0724664,7.061081,13.09233,1.0
