timestamp,time_estimate,safe_time_estimate,valid
17499651,175.18855,292.7074,1
18549785,175.18948,292.70844,1
19550752,175.19034,292.70938,1
20561351,175.18959,292.70856,1
21611496,175.18959,292.70856,1
22631801,175.18933,292.70828,1
23632162,175.1891,292.708,1
24643003,175.18935,292.70828,1
25693251,175.18948,292.70844,1
26698302,175.19049,292.70953,1
27714021,175.18997,292.70898,1
28718532,175.19077,292.70984,1
29724667,175.19098,292.71008,1
30725031,175.19096,292.71005,1
31725253,175.19116,292.7103,1
32746022,175.19122,292.71036,1
33746262,175.1916,292.71075,1
34756578,175.19147,292.71063,1
35756818,175.19073,292.7098,1
36757015,175.19742,292.71716,1
37797636,175.22499,292.7475,1
38798251,175.31467,292.84613,1
39820278,175.47684,293.02454,1
40819163,175.67894,293.24683,1
41869727,175.93378,293.52716,1
42880086,176.23396,293.85736,1
43926180,177.75761,295.5334,1
44945092,178.75879,296.63467,1
45994278,179.34357,297.27792,1
47043256,179.88017,297.8682,1
48068159,180.46812,298.51495,1
49120118,180.96997,299.067,1
50124646,181.49933,299.64926,1
51124633,182.03235,300.2356,1
52142700,175.7138,293.2852,1
53188338,175.66528,293.2318,1
54207595,175.62296,293.18524,1
55257204,175.68085,293.24893,1
56275940,176.61493,294.27643,1
57325479,177.0932,294.80252,1
58330837,177.51543,295.26697,1
59335716,178.01616,295.81778,1
60341741,178.4972,296.34692,1
61346480,178.9788,296.87668,1
62353076,179.48082,297.4289,1
63358811,179.95284,297.94812,1
64364518,180.40797,298.44876,1
65370255,180.87541,298.96295,1
66375337,181.32146,299.4536,1
67382240,181.76544,299.942,1
68387808,182.25098,300.47607,1
69393452,175.21164,292.73282,1
70399333,175.74237,293.31662,1
71406511,176.23338,293.85672,1
72413482,176.73685,294.41052,1
73418523,177.23186,294.95505,1
74425664,177.71011,295.48114,1
75431478,178.20563,296.02618,1
76438991,178.69574,296.5653,1
77444736,179.22078,297.14285,1
78451431,179.67357,297.64093,1
79458462,180.0912,298.1003,1
80464754,180.56888,298.62576,1
81470220,181.07562,299.1832,1
82478669,181.5812,299.73932,1
83483375,182.13544,300.349,1
84489241,175.4593,293.00525,1
85495789,176.03331,293.63666,1
86501506,176.49832,294.14816,1
87507480,176.97745,294.6752,1
88512329,177.43727,295.181,1
89518627,177.8685,295.65536,1
90525381,178.31345,296.1448,1
91531726,178.77895,296.65683,1
92538051,179.24792,297.17273,1
93544438,179.68091,297.64902,1
94549790,180.11118,298.12228,1
95555782,180.54126,298.5954,1
96560380,180.9566,299.05228,1
97566464,181.43546,299.579,1
98573250,174.81892,292.3008,1
99610660,175.30193,292.83212,1
100587885,175.71674,293.28842,1
101593632,176.11896,293.73087,1
102602648,176.53226,294.1855,1
103611727,176.93423,294.62766,1
104621142,177.33833,295.07217,1
105630050,177.74643,295.5211,1
106638966,178.18997,296.00897,1
107648392,178.63779,296.50156,1
108654503,179.0423,296.94653,1
109661348,179.44008,297.3841,1
110665789,179.87396,297.86136,1
111679763,180.3289,298.3618,1
112678964,180.77185,298.84903,1
113685050,174.23784,291.66162,1
114692037,174.65227,292.1175,1
115696472,175.09412,292.60355,1
116702685,175.54233,293.09656,1
117709244,176.0109,293.612,1
118715304,176.45343,294.0988,1
119723343,176.89117,294.5803,1
120729447,177.36096,295.09708,1
121736113,177.81389,295.59528,1
122749060,178.26071,296.0868,1
123748367,178.71797,296.58978,1
124762199,179.13657,297.05023,1
125761438,179.54512,297.49963,1
126767207,179.95749,297.95325,1
127779485,173.61566,290.97723,1
128779408,173.72159,291.09375,1
129787794,173.8622,291.2484,1
130793779,174.0021,291.4023,1
131795025,175.22037,292.7424,1
132820970,175.20407,292.7245,1
133869175,175.20729,292.72803,1
134873695,175.20598,292.7266,1
135880163,175.19763,292.7174,1
136885219,175.20335,292.7237,1
137892511,175.21893,292.74084,1
138900059,175.19324,292.71255,1
139905592,175.21683,292.73853,1
140912814,175.21951,292.74146,1
141926641,175.20984,292.73083,1
142926317,175.21541,292.73694,1
143933820,175.21275,292.73404,1
144941002,175.20215,292.72238,1
145947270,175.20961,292.73056,1
146952665,175.19624,292.71588,1
147959120,175.20363,292.724,1
148964768,175.20311,292.72342,1
149970443,175.19394,292.71335,1
150976643,175.20355,292.7239,1
151982637,175.20715,292.72787,1
152991645,175.20056,292.7206,1
153998459,175.20752,292.72827,1
155005825,175.19485,292.71436,1
156010881,175.2112,292.73233,1
157019799,175.19687,292.71655,1
158026051,175.19101,292.7101,1
159033065,175.19757,292.71735,1
160039769,175.20029,292.7203,1
161048214,175.19781,292.7176,1
162054801,175.19586,292.71545,1
163062611,175.19162,292.7108,1
164069145,175.19713,292.71686,1
165074429,175.1919,292.7111,1
166080258,175.1962,292.71582,1
167087569,175.19089,292.71,1
168095062,175.19382,292.7132,1
169100994,175.19685,292.71655,1
170107195,175.19147,292.71063,1
171112790,175.19345,292.7128,1
172118228,175.19562,292.71518,1
173134562,175.19702,292.71674,1
174131789,175.19176,292.71094,1
175137664,175.19287,292.71216,1
176143669,175.19452,292.714,1
177149495,175.19513,292.71466,1
178156137,175.1954,292.71494,1
179162021,175.1909,292.71,1
180168695,175.19148,292.71063,1
181174931,175.19206,292.71127,1
182181990,175.19292,292.71222,1
183189188,175.19424,292.71368,1
184195739,175.19528,292.7148,1
185202088,175.19052,292.70956,1
186207972,175.19055,292.70963,1
187213276,175.19113,292.71024,1
188219361,175.19156,292.71072,1
189227450,175.19254,292.7118,1
190234067,175.19276,292.71204,1
