timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
34906113,34906113,255,0,0,0,1495,1494,1494,1494,1331,1331,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
35402112,35402112,255,0,0,0,1495,1494,1494,1494,1378,1378,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
35898316,35898316,255,0,0,0,1494,1494,1494,1494,1458,1458,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
36398114,36398114,255,0,0,0,1495,1494,1494,1494,1670,1670,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
36902113,36902113,255,0,0,0,1495,1494,1494,1494,1774,1774,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
37406123,37406123,255,0,0,0,1495,1494,1494,1468,1972,1972,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
37906113,37906113,255,0,0,0,1494,1494,1494,1434,2006,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
38402114,38402114,255,0,0,0,1494,1494,1494,1429,2006,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
38906249,38906249,255,0,0,0,1494,1494,1494,1474,2006,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
39398113,39398113,255,0,0,0,1494,1494,1494,1494,2006,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
39902116,39902116,255,0,0,0,1494,1494,1494,1496,2006,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
