timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
20306480,20205791,0.00010874307,0.0021949098,0.0021815517,67240471,0,0.10021782,0.18850671,0.00033743295,0.010926121,0.029741846,0.01925857,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
20506371,20405735,0.00017541295,0.0016917312,0.0013590108,67240471,0,0.098271236,0.18742448,0.009777717,0.003282254,0.032912027,0.0046475795,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
20706166,20605555,0.00016457388,0.0013098245,0.0013196407,67240471,0,0.0964345,0.1863608,0.0012443132,0.007374235,0.031712122,0.01409131,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
20906333,20805374,0.00014661069,0.0013150523,0.0012266308,67240471,0,0.09555858,0.18531519,0.0037841273,0.004066324,0.031132676,0.009462307,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
21106373,21005193,0.0001282543,0.0014919535,0.0012117629,67240471,0,0.09386859,0.18428709,0.0054770196,0.014739674,0.03437097,0.014080652,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
21305616,21205013,0.00013073586,0.0022912263,0.0017895772,67240471,0,0.09306154,0.18327601,0.0019626413,0.012182448,0.033711746,0.023998097,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
21505377,21404832,6.0793715e-05,0.0019364014,0.001491175,67240471,0,0.09149988,0.18252921,0.0070609795,0.015328979,0.03697857,0.0016048906,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
21705211,21604652,5.819839e-05,0.00059539184,0.0011257812,67240471,0,0.09001498,0.18154684,0.00040345162,0.013156261,0.035768874,0.0047633676,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
21905012,21804471,0.00023975068,0.0009928755,0.0013314587,67240471,0,0.08930456,0.18058026,0.0048815906,0.006380062,0.03524562,0.0038699175,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
22104832,22004291,0.00026258937,0.00200886,0.0010543611,67240471,0,0.08792369,0.17962907,0.004665453,0.009333044,0.03411024,0.00071817724,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
