timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
73679566,73552048,1.5928698,0.00041633763,1.5947739,1,0,0,0,0,0,0,1,0,1,0
74678965,74553049,2.022395,0.0021182422,2.0254202,1,0,0,0,0,0,0,1,0,1,0
75677932,75552068,2.4165637,0.0004888565,2.420264,1,0,0,0,0,0,0,1,0,1,0
76687362,76553048,2.7645206,0.0010407647,2.7684793,1,0,0,0,0,0,0,1,0,1,0
77686340,77553050,3.070167,0.0074087176,3.0745642,1,0,0,0,0,0,0,1,0,1,0
78685411,78552049,3.3452218,0.016170567,3.3482826,1,0,0,0,0,0,0,1,0,1,0
79684302,79554047,3.597376,0.029254844,3.6010268,1,0,0,0,0,0,0,1,0,1,0
80683526,80554259,3.8245878,0.030317942,3.830098,1,0,0,0,0,0,0,1,0,1,0
81682578,81553969,4.037377,0.027223121,4.0424104,1,0,0,0,0,0,0,1,0,1,0
82681664,82553049,4.245733,0.018193824,4.2527084,1,0,0,0,0,0,0,1,0,1,0
83680933,83553047,4.433179,0.0023824864,4.4404407,1,0,0,0,0,0,0,1,0,1,0
84680066,84553046,4.6052794,0.013634834,4.6127744,1,0,0,0,0,0,0,1,0,1,0
85679045,85553048,4.767674,0.014705607,4.7752466,1,0,0,0,0,0,0,1,0,1,0
86678282,86552053,4.9165983,0.010837329,4.9242916,1,0,0,0,0,0,0,1,0,1,0
87687629,87552274,5.051859,0.007890896,5.061018,1,0,0,0,0,0,0,1,0,1,0
88686402,88554048,5.174164,0.00060036266,5.1814547,1,0,0,0,0,0,0,1,0,1,0
89685528,89554047,5.2780805,0.012898386,5.2840753,1,0,0,0,0,0,0,1,0,1,0
90684668,90554047,5.3666034,0.021682814,5.37052,1,0,0,0,0,0,0,1,0,1,0
91704130,91558048,5.442039,0.0273415,5.449204,1,0,0,0,0,0,0,1,0,1,0
92682948,92552049,5.5147777,0.0315169,5.517505,1,0,0,0,0,0,0,1,0,1,0
93682633,93549297,5.573029,0.04361586,5.5757403,1,0,0,0,0,0,0,1,0,1,0
94681419,94550048,5.617724,0.052816328,5.620484,1,0,0,0,0,0,0,1,0,1,0
95680293,95550134,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
96679441,96552052,0.2930155,0.0097289635,0.2944817,1,0,0,0,0,0,0,0,0,0,0
97688605,97555049,0.847479,0.026515631,0.8523594,1,0,0,0,0,0,0,1,0,1,0
98687975,98555047,1.3438225,0.038063645,1.3472126,1,0,0,0,0,0,0,1,0,1,0
99686945,99553047,1.7883586,0.04975737,1.7922536,1,0,0,0,0,0,0,1,0,1,0
100686070,100553047,2.2023687,0.06319012,2.2062223,1,0,0,0,0,0,0,1,0,1,0
101685604,101552049,2.5763175,0.07853501,2.5797794,1,0,0,0,0,0,0,1,0,1,0
102685207,102552053,2.914268,0.091987684,2.918403,1,0,0,0,0,0,0,1,0,1,0
103683793,103553496,3.2234964,0.106953435,3.2272544,1,0,0,0,0,0,0,1,0,1,0
104682972,104552083,3.511875,0.12099138,3.515985,1,0,0,0,0,0,0,1,0,1,0
105682514,105552051,3.7770133,0.13430455,3.7806437,1,0,0,0,0,0,0,1,0,1,0
106681006,106552048,4.0115995,0.13929513,4.015647,1,0,0,0,0,0,0,1,0,1,0
107689944,107552048,4.2192864,0.14026605,4.224568,1,0,0,0,0,0,0,1,0,1,0
108679123,108553046,4.409701,0.15326793,4.4136996,1,0,0,0,0,0,0,1,0,1,0
109678239,109552049,4.574911,0.16554008,4.5769587,1,0,0,0,0,0,0,1,0,1,0
110687494,110553048,4.714988,0.17033933,4.7178316,1,0,0,0,0,0,0,1,0,1,0
111686515,111552184,4.8482633,0.16791108,4.8506417,1,0,0,0,0,0,0,1,0,1,0
112685595,112552617,4.97167,0.16806738,4.974257,1,0,0,0,0,0,0,1,0,1,0
113684627,113551049,5.083219,0.17045425,5.0846515,1,0,0,0,0,0,0,1,0,1,0
114683879,114551076,5.1831894,0.17040722,5.1847405,1,0,0,0,0,0,0,1,0,1,0
115683165,115551050,5.2783804,0.17163312,5.279546,1,0,0,0,0,0,0,1,0,1,0
116682191,116552067,5.3552165,0.17118837,5.354666,1,0,0,0,0,0,0,1,0,1,0
117681381,117550048,5.417066,0.16608706,5.4180913,1,0,0,0,0,0,0,1,0,1,0
118680578,118550321,5.4824185,0.167305,5.482753,1,0,0,0,0,0,0,1,0,1,0
119680263,119549270,5.54327,0.167726,5.5435762,1,0,0,0,0,0,0,1,0,1,0
120678771,120550048,5.5907826,0.16085473,5.590835,1,0,0,0,0,0,0,1,0,1,0
121677766,121552049,5.620744,0.15560359,5.620372,1,0,0,0,0,0,0,1,0,1,0
122686865,122552399,5.6506386,0.14743853,5.6521454,1,0,0,0,0,0,0,1,0,1,0
123685989,123553048,5.6835003,0.14068653,5.6851163,1,0,0,0,0,0,0,1,0,1,0
124685432,124552048,5.7094693,0.13731751,5.710835,1,0,0,0,0,0,0,1,0,1,0
125684320,125552047,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
126683458,126552045,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
127682868,127552590,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
128682564,128553047,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
129681273,129553048,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
130680487,130552047,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
131679739,131551048,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
132688872,132551054,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
133677698,133551048,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
134676933,134551048,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
135686093,135552048,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
136685303,136552048,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
137684215,137551051,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
138683360,138552047,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
139682556,139552048,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
140681600,140552047,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
141680822,141551050,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
142679850,142550048,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
143679304,143550045,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
144678356,144549048,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
145677840,145549046,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
146676796,146551051,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
147685787,147551052,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
148684931,148553169,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
149684300,149551046,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
150683308,150554048,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
151682360,151554050,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
152681582,152551049,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
153680912,153552047,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
154680983,154551048,nan,nan,nan,1,0,0,0,0,0,0,1,0,1,0
155679297,155550050,0.019305568,0.0016903089,0.018636454,1,0,0,0,0,0,0,0,0,0,0
156678866,156550272,0.07642601,0.009072569,0.073928945,1,0,0,0,0,0,0,0,0,0,0
157687907,157551051,0.1081081,0.010977677,0.10331345,1,0,0,0,0,0,0,0,0,0,0
158677185,158551501,0.11988342,0.011943941,0.112716906,1,0,0,0,0,0,0,0,0,0,0
