timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
16907495,2490402,3932170,2490402,3932210,0,0.04354444,0.05652232,0.07800834,0.0,2490402,3932170,2490402,3932210,0,0.0047356416,0.0051598083,0.006631609,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
16912633,2490402,3932170,2490402,3932210,0,0.043789692,0.056489155,0.07789289,0.0,2490402,3932170,2490402,3932210,0,0.0047862,0.0051894733,0.0066565718,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
17109568,2490402,3932170,2490402,3932210,0,0.046987984,0.059678655,0.080124,0.0,2490402,3932170,2490402,3932210,0,0.0046175784,0.005240538,0.0065857167,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
17306589,2490402,3932170,2490402,3932210,0,0.047191434,0.059323538,0.083477676,0.0,2490402,3932170,2490402,3932210,0,0.0045542703,0.0053122872,0.0067657745,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
17508694,2490402,3932170,2490402,3932210,0,0.045214813,0.056126013,0.081553094,0.0,2490402,3932170,2490402,3932210,0,0.00470163,0.005167687,0.0066497303,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
17705693,2490402,3932170,2490402,3932210,0,0.04575513,0.057352297,0.08197194,0.0,2490402,3932170,2490402,3932210,0,0.0046121487,0.0052029258,0.0066750487,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
17907773,2490402,3932170,2490402,3932210,0,0.0447845,0.05731106,0.08145441,0.0,2490402,3932170,2490402,3932210,0,0.0046439157,0.005183893,0.006725985,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
18109842,2490402,3932170,2490402,3932210,0,0.046312943,0.061094847,0.083118975,0.0,2490402,3932170,2490402,3932210,0,0.004995952,0.005051771,0.0069195637,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
18306867,2490402,3932170,2490402,3932210,0,0.04542517,0.058828942,0.07930362,0.0,2490402,3932170,2490402,3932210,0,0.0048172213,0.0050223013,0.0066671507,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
18508946,2490402,3932170,2490402,3932210,0,0.041112345,0.058521274,0.07913348,0.0,2490402,3932170,2490402,3932210,0,0.0048543857,0.0052837296,0.0066942074,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
18705999,2490402,3932170,2490402,3932210,0,0.044067223,0.060306307,0.082127795,0.0,2490402,3932170,2490402,3932210,0,0.0046287933,0.0051655243,0.0065287915,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
18908055,2490402,3932170,2490402,3932210,0,0.04258462,0.059362747,0.07983565,0.0,2490402,3932170,2490402,3932210,0,0.004856934,0.0051795584,0.006794078,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
19110132,2490402,3932170,2490402,3932210,0,0.04404538,0.057412554,0.079932176,0.0,2490402,3932170,2490402,3932210,0,0.0047553075,0.0051744017,0.006704569,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
19307239,2490402,3932170,2490402,3932210,0,0.042567488,0.058988735,0.0792841,0.0,2490402,3932170,2490402,3932210,0,0.0048476825,0.0051745456,0.006766135,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
19509229,2490402,3932170,2490402,3932210,0,0.043787356,0.058067445,0.079724476,0.0,2490402,3932170,2490402,3932210,0,0.0045362976,0.005276219,0.006707687,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
19706280,2490402,3932170,2490402,3932210,0,0.044957764,0.05988681,0.079643466,0.0,2490402,3932170,2490402,3932210,0,0.0048138876,0.005202931,0.006856383,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
19908337,2490402,3932170,2490402,3932210,0,0.045143172,0.058039352,0.081662185,0.0,2490402,3932170,2490402,3932210,0,0.004715114,0.0052933763,0.006601301,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
20105360,2490402,3932170,2490402,3932210,0,0.044087667,0.059064217,0.080401555,0.0,2490402,3932170,2490402,3932210,0,0.0048191985,0.005219922,0.0068229553,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
20307436,2490402,3932170,2490402,3932210,0,0.046424527,0.057973064,0.083451234,0.0,2490402,3932170,2490402,3932210,0,0.0047012493,0.0051332703,0.0068119676,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
20509511,2490402,3932170,2490402,3932210,0,0.04384892,0.05846195,0.08148559,0.0,2490402,3932170,2490402,3932210,0,0.004494729,0.005176979,0.0066602645,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
20706739,2490402,3932170,2490402,3932210,0,0.042300407,0.059602983,0.07935586,0.0,2490402,3932170,2490402,3932210,0,0.004732677,0.005393125,0.0068253637,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
