timestamp,main_state_changes,main_state
16776319,0,0
17282231,0,0
17785072,0,0
18289429,0,0
18792346,0,0
19295093,0,0
19799077,0,0
20304234,0,0
20808072,0,0
21312074,0,0
21815291,0,0
22319779,0,0
22822071,0,0
23326227,0,0
23829070,0,0
24333091,0,0
24837071,0,0
25340070,0,0
25843070,0,0
26348111,0,0
26851070,0,0
27353071,0,0
27856070,0,0
28358091,0,0
28861082,0,0
29364074,0,0
29868101,0,0
30371375,0,0
30874072,0,0
31378070,0,0
31882320,0,0
32384304,0,0
32887232,0,0
33390072,0,0
33893090,0,0
34396073,0,0
34899074,0,0
35403534,0,0
35907072,0,0
36412302,0,0
36916095,0,0
37188115,0,0
37691289,0,0
38194184,0,0
38697152,0,0
39200096,0,0
39702126,0,0
40205074,0,0
40708435,0,0
41210077,0,0
41713073,0,0
42216074,0,0
42718248,0,0
43221075,0,0
43724271,0,0
44227089,0,0
44732120,0,0
45235100,0,0
45737074,0,0
46240074,0,0
46743505,0,0
47246074,0,0
47749118,0,0
48253075,0,0
48755096,0,0
49258096,0,0
49763074,0,0
50266074,0,0
50769096,0,0
51273076,0,0
51778073,0,0
52282074,0,0
52787096,0,0
53291074,0,0
53795074,0,0
54298075,0,0
54800076,0,0
55304075,0,0
55807074,0,0
56311077,0,0
56814330,0,0
57316078,0,0
57819074,0,0
58322078,0,0
58825074,0,0
59327074,0,0
59830073,0,0
60333075,0,0
60836073,0,0
61338075,0,0
61841074,0,0
62344144,0,0
62847077,0,0
63350463,0,0
63853076,0,0
64356075,0,0
64859074,0,0
65362074,0,0
65864100,0,0
66367073,0,0
66870228,0,0
67373074,0,0
67876075,0,0
68379310,0,0
68882074,0,0
69385076,0,0
69888075,0,0
70390074,0,0
70894075,0,0
71398095,0,0
71901075,0,0
72404073,0,0
72907075,0,0
73410074,0,0
73913110,0,0
74417092,0,0
74920074,0,0
75423075,0,0
75927665,0,0
76430075,0,0
76933078,0,0
77436601,0,0
77939074,0,0
78442075,0,0
78947119,0,0
79450083,0,0
79953154,0,0
80456089,0,0
80959097,0,0
81462091,0,0
81966073,0,0
82470300,0,0
82973074,0,0
83475074,0,0
83978074,0,0
84481074,0,0
84984075,0,0
85487073,0,0
85990078,0,0
86493142,0,0
86996077,0,0
87499164,0,0
88001075,0,0
88504075,0,0
89007075,0,0
89510073,0,0
90013075,0,0
90516075,0,0
91020074,0,0
91523074,0,0
92026101,0,0
92529089,0,0
93032074,0,0
93535510,0,0
94039109,0,0
94542074,0,0
95044074,0,0
95547077,0,0
96050076,0,0
96552094,0,0
97055096,0,0
97558078,0,0
98061078,0,0
98564096,0,0
99069097,0,0
99572074,0,0
100075074,0,0
100578074,0,0
101083074,0,0
101586075,0,0
102088094,0,0
102595041,0,0
103099304,0,0
103604482,0,0
104109497,0,0
104613570,0,0
105116075,0,0
105621074,0,0
106126196,0,0
106631520,0,0
107134074,0,0
107640235,0,0
108143074,0,0
108646075,0,0
109150074,0,0
109652074,0,0
110155074,0,0
110658093,0,0
111160075,0,0
111664075,0,0
112168121,0,0
112670073,0,0
113173075,0,0
113676078,0,0
114179077,0,0
114683096,0,0
115186106,0,0
115688377,0,0
116191074,0,0
116694073,0,0
117197076,0,0
117700075,0,0
118203074,0,0
118706093,0,0
119210183,0,0
119714606,0,0
120218074,0,0
120721076,0,0
121224074,0,0
121727072,0,0
122230074,0,0
122733171,0,0
123236659,0,0
123740093,0,0
124243074,0,0
124747074,0,0
125250074,0,0
125753074,0,0
126256075,0,0
126759076,0,0
127262073,0,0
127765097,0,0
128268074,0,0
128771074,0,0
129275096,0,0
129779074,0,0
130282269,0,0
130785536,0,0
131289987,0,0
131342071,0,0
131846091,0,0
132350085,0,0
132852070,0,0
133355071,0,0
133860111,0,0
134363068,0,0
134865069,0,0
135368092,0,0
135872074,0,0
136374090,0,0
136877069,0,0
137381110,0,0
137884071,0,0
138388124,0,0
138891100,0,0
139394372,0,0
139897071,0,0
140401072,0,0
140904071,0,0
141407071,0,0
141911071,0,0
142415084,0,0
142918080,0,0
143420071,0,0
143925069,0,0
144428832,0,0
144932072,0,0
145435842,0,0
145938071,0,0
146441072,0,0
146944543,0,0
147447074,0,0
147950847,0,0
148453534,0,0
148956070,0,0
149459070,0,0
149962583,0,0
150465072,0,0
150968090,0,0
151471623,0,0
151974069,0,0
152477085,0,0
152983070,0,0
153487431,0,0
153991070,0,0
154494543,0,0
154997071,0,0
155500072,0,0
156002069,0,0
156506090,0,0
157011070,0,0
157514071,0,0
158018090,0,0
158521410,0,0
159024389,0,0
159528122,0,0
160031070,0,0
160535172,0,0
161039071,0,0
161543071,0,0
162046432,0,0
162549075,0,0
163053802,0,0
163557075,0,0
164060071,0,0
164563093,0,0
165066432,0,0
165569074,0,0
166072071,0,0
166576069,0,0
167079070,0,0
167583070,0,0
168086072,0,0
168589071,0,0
169092072,0,0
169595084,0,0
170099071,0,0
170601072,0,0
171104070,0,0
171607071,0,0
172110071,0,0
172612069,0,0
173115070,0,0
173620071,0,0
174123342,0,0
174626071,0,0
175129081,0,0
175632290,0,0
176135116,0,0
176638071,0,0
177142072,0,0
177644070,0,0
178147070,0,0
178650322,0,0
179153152,0,0
179657095,0,0
180160073,0,0
180663074,0,0
181166082,0,0
181669070,0,0
182173086,0,0
182676071,0,0
183179070,0,0
183683070,0,0
184187071,0,0
184690071,0,0
185193926,0,0
185696072,0,0
186199089,0,0
186702071,0,0
187205071,0,0
187707072,0,0
188210070,0,0
188714071,0,0
189219069,0,0
189722071,0,0
190225588,0,0
