timestamp,safety_switch_available,safety_off
16208042,1,1
17216142,1,1
18223221,1,1
19229238,1,1
20238036,1,1
21246036,1,1
22252035,1,1
23260042,1,1
24267417,1,1
25274231,1,1
26282056,1,1
27287038,1,1
28292338,1,1
29298060,1,1
30305036,1,1
31312036,1,1
32318036,1,1
33324056,1,1
34330035,1,1
35337110,1,1
36346051,1,1
37350396,1,1
38356036,1,1
39361037,1,1
40367035,1,1
41372036,1,1
42377308,1,1
43383041,1,1
44390416,1,1
45396055,1,1
46402055,1,1
47408056,1,1
48414186,1,1
49420036,1,1
50428067,1,1
51436035,1,1
52445056,1,1
53454040,1,1
54459036,1,1
55466599,1,1
56473036,1,1
57478035,1,1
58484311,1,1
59489068,1,1
60495035,1,1
61500087,1,1
62506059,1,1
63512035,1,1
64518036,1,1
65523035,1,1
66529036,1,1
67535036,1,1
68541058,1,1
69547052,1,1
70553035,1,1
71560132,1,1
72566035,1,1
73572035,1,1
74579036,1,1
75585035,1,1
76592108,1,1
77598036,1,1
78606035,1,1
79612256,1,1
80618056,1,1
81624054,1,1
82632056,1,1
83637183,1,1
84643036,1,1
85649036,1,1
86655091,1,1
87660313,1,1
88666035,1,1
89672035,1,1
90679035,1,1
91685036,1,1
92691037,1,1
93698035,1,1
94703041,1,1
95709036,1,1
96714132,1,1
97720035,1,1
98727035,1,1
99733035,1,1
100740035,1,1
101747057,1,1
102758036,1,1
103767036,1,1
104774036,1,1
105783036,1,1
106792035,1,1
107802075,1,1
108808036,1,1
109814035,1,1
110819036,1,1
111827035,1,1
112832035,1,1
113838035,1,1
114845035,1,1
115850299,1,1
116856063,1,1
117862035,1,1
118868035,1,1
119877035,1,1
120883341,1,1
121889035,1,1
122895035,1,1
123902036,1,1
124909073,1,1
125915036,1,1
126921045,1,1
127927480,1,1
128933056,1,1
129941047,1,1
130948055,1,1
131954578,1,1
132959036,1,1
133967382,1,1
134972607,1,1
135978035,1,1
136984035,1,1
137991063,1,1
138998334,1,1
140004035,1,1
141011047,1,1
142018036,1,1
143024081,1,1
144032035,1,1
145039037,1,1
146045100,1,1
147051378,1,1
148057043,1,1
149063036,1,1
150069055,1,1
151075052,1,1
152081147,1,1
153091062,1,1
154097043,1,1
155104036,1,1
156110057,1,1
157118037,1,1
158124036,1,1
159131036,1,1
160139078,1,1
161147036,1,1
162153036,1,1
163161035,1,1
164167161,1,1
165173035,1,1
166179036,1,1
167186035,1,1
168193035,1,1
169199670,1,1
170205035,1,1
171211035,1,1
172216035,1,1
173223035,1,1
174230055,1,1
175236035,1,1
176242036,1,1
177248035,1,1
178254056,1,1
179260055,1,1
180267035,1,1
181273192,1,1
182280035,1,1
183287129,1,1
184294547,1,1
185300035,1,1
186306035,1,1
187311938,1,1
188318036,1,1
189326312,1,1
190332037,1,1
