timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_snr_x[0],peak_snr_x[1],peak_snr_x[2],peak_snr_y[0],peak_snr_y[1],peak_snr_y[2],peak_snr_z[0],peak_snr_z[1],peak_snr_z[2]
16793985,16791040,2490402,7917.6562,15.464172,47.170288,nan,nan,nan,nan,nan,nan,nan,nan,9.169279,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
16985956,16983014,2490402,7917.6562,15.464172,47.170288,nan,nan,nan,nan,nan,nan,nan,nan,8.824259,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
17147612,17144676,2490402,7917.6562,15.464172,47.170288,nan,nan,nan,nan,nan,nan,nan,nan,8.835725,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
17213253,17210351,2490402,7917.6562,15.464172,47.170288,nan,nan,nan,nan,nan,nan,nan,nan,8.769514,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
17243605,17243189,2490402,7917.6562,15.464172,46.392517,nan,nan,nan,nan,nan,nan,nan,nan,7.3362837,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
17294132,17291183,2490402,7917.6562,15.464172,46.392517,nan,nan,nan,nan,nan,nan,nan,nan,8.791538,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
17359775,17356857,2490402,7917.6562,15.464172,46.392517,46.392517,nan,nan,nan,nan,nan,nan,nan,8.791538,7.606964,nan,0.0,0.0,0.0,0.0,0.0,0.0
17420440,17420006,2490402,7917.6562,15.464172,46.392517,46.392517,nan,nan,nan,nan,nan,nan,nan,7.4264984,7.606964,nan,0.0,0.0,0.0,0.0,0.0,0.0
17521517,17518519,2490402,7917.6562,15.464172,46.392517,46.392517,nan,nan,nan,nan,nan,nan,nan,7.4264984,8.689915,nan,0.0,0.0,0.0,0.0,0.0,0.0
17683125,17680181,2490402,7917.6562,15.464172,46.392517,nan,nan,nan,nan,nan,nan,nan,nan,7.652573,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
17713537,17710493,2490402,7917.6562,15.464172,46.392517,46.392517,nan,nan,nan,nan,nan,nan,nan,7.652573,7.7673416,nan,0.0,0.0,0.0,0.0,0.0,0.0
17859895,17856999,2490402,7917.6562,15.464172,46.392517,nan,nan,nan,nan,nan,nan,nan,nan,8.8856735,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
17890381,17889837,2490402,7917.6562,15.464172,46.392517,46.392517,nan,nan,nan,nan,nan,nan,nan,8.8856735,7.937174,nan,0.0,0.0,0.0,0.0,0.0,0.0
17905430,17904993,2490402,7917.6562,15.464172,46.392517,46.392517,46.392517,nan,nan,nan,nan,nan,nan,8.8856735,7.937174,7.3618264,0.0,0.0,0.0,0.0,0.0,0.0
17925616,17922674,2490402,7917.6562,15.464172,46.392517,46.392517,46.392517,nan,nan,nan,nan,nan,nan,8.905579,7.937174,7.3618264,0.0,0.0,0.0,0.0,0.0,0.0
18006500,18003506,2490402,7917.6562,15.464172,46.392517,46.392517,46.392517,nan,nan,nan,nan,nan,nan,8.905579,9.0529175,7.4528313,0.0,0.0,0.0,0.0,0.0,0.0
18051873,18051499,2490402,7917.6562,15.464172,47.170288,46.392517,46.392517,nan,nan,nan,nan,nan,nan,8.964184,9.0529175,7.4528313,0.0,0.0,0.0,0.0,0.0,0.0
18329764,18326829,2490402,7917.6562,15.464172,47.170288,nan,nan,nan,nan,nan,nan,nan,nan,7.6312838,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
18345102,18341985,2490402,7917.6562,15.464172,46.392517,nan,nan,nan,nan,nan,nan,nan,nan,7.4381685,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
