timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
22299064,1662721334999967,387273743,-775185413,62538,27944,0.13700001,1.2894832,0.30600002,0.509,0.51,0.84999996,107,12,0.011000001,-0.007,-0.008,-0.023000002,0.0,0,nan,0.0,3,1,1,26,0
22793501,1662721335499966,387273743,-775185414,62524,27930,0.11100001,1.2894905,0.30200002,0.50100005,0.51,0.84999996,107,15,0.015000001,0.013,-0.007,-0.020000001,0.0,0,nan,0.0,3,1,1,26,0
23300043,1662721335999967,387273743,-775185415,62505,27911,0.104,1.289497,0.298,0.49400002,0.51,0.84999996,107,15,0.004,-0.001,-0.004,0.010000001,0.0,0,nan,0.0,3,1,1,26,0
23792235,1662721336499966,387273743,-775185416,62501,27908,0.142,1.2895042,0.29500002,0.48800004,0.51,0.84999996,107,11,0.006,0.003,-0.006,0.071,0.0,0,nan,0.0,3,1,1,26,0
24299292,1662721336999966,387273743,-775185417,62492,27898,0.143,1.2895111,0.29200003,0.48200002,0.51,0.84999996,107,11,0.012,0.011000001,0.006,0.025,0.0,0,nan,0.0,3,1,1,26,0
24792043,1662721337499965,387273742,-775185418,62487,27894,0.120000005,1.2895175,0.289,0.476,0.51,0.84999996,107,12,0.018000001,0.018000001,0.0,0.008,0.0,0,nan,0.0,3,1,1,26,0
25299323,1662721337999966,387273742,-775185418,62481,27887,0.1,1.2895226,0.286,0.47100002,0.51,0.84999996,107,12,0.014,-0.009000001,0.011000001,0.013,0.0,0,nan,0.0,3,1,1,26,0
25796762,1662721338499965,387273741,-775185417,62475,27882,0.086,1.2895272,0.28300002,0.46400002,0.48999998,0.83,108,9,0.027,-0.020000001,0.017,-0.010000001,0.0,0,nan,0.0,3,1,1,27,0
26301394,1662721338999966,387273742,-775185418,62469,27875,0.074,1.2895317,0.279,0.45700002,0.48999998,0.83,108,9,0.034,0.028,-0.018000001,-0.003,0.0,0,nan,0.0,3,1,1,27,0
26793043,1662721339499965,387273742,-775185419,62466,27872,0.124000005,1.2895383,0.27600002,0.45100003,0.48999998,0.83,108,12,0.012,-0.010000001,0.006,-0.031000001,0.0,0,nan,0.0,3,1,1,27,0
27299043,1662721339999966,387273743,-775185420,62463,27869,0.112,1.2895437,0.273,0.44500002,0.48999998,0.83,108,12,0.020000001,0.015000001,-0.012,0.025,0.0,0,nan,0.0,3,1,1,27,0
27793043,1662721340499965,387273744,-775185422,62456,27862,0.11000001,1.289549,0.27,0.439,0.48999998,0.83,108,11,0.021000002,0.019000001,0.007,-0.029000001,0.0,0,nan,0.0,3,1,1,27,0
28300219,1662721340999965,387273745,-775185422,62443,27850,0.096,1.2895545,0.26700002,0.43400002,0.48999998,0.83,108,11,0.011000001,0.011000001,-0.002,-0.009000001,0.0,0,nan,0.0,3,1,1,27,0
28794337,1662721341499964,387273746,-775185424,62431,27837,0.124000005,1.2895603,0.264,0.42900002,0.48999998,0.83,108,11,0.001,-0.001,0.0,0.057000004,0.0,0,nan,0.0,3,1,1,27,0
29300387,1662721341999965,387273747,-775185424,62419,27825,0.078,1.2895654,0.26200002,0.42400002,0.48999998,0.83,108,11,0.020000001,-0.011000001,-0.016,0.001,0.0,0,nan,0.0,3,1,1,27,0
29794047,1662721342499964,387273747,-775185425,62429,27835,0.094000004,1.2895708,0.259,0.41900003,0.48999998,0.83,107,13,0.009000001,0.009000001,-0.001,0.003,0.0,0,nan,0.0,3,1,1,27,0
30302042,1662721342999965,387273748,-775185424,62431,27838,0.087000005,1.2895753,0.257,0.41500002,0.48999998,0.83,107,13,0.024,0.022000002,-0.010000001,-0.013,0.0,0,nan,0.0,3,1,1,27,0
30795042,1662721343499964,387273748,-775185424,62432,27839,0.097,1.2895797,0.25500003,0.411,0.48999998,0.83,108,12,0.013,0.007,-0.012,-0.012,0.0,0,nan,0.0,3,1,1,27,0
31301044,1662721343999965,387273749,-775185424,62434,27841,0.115,1.2895842,0.254,0.40800002,0.48999998,0.83,108,12,0.015000001,0.009000001,-0.012,-0.028,0.0,0,nan,0.0,3,1,1,27,0
31797078,1662721344499964,387273749,-775185424,62434,27840,0.11000001,1.2895899,0.252,0.404,0.48,0.78999996,108,11,0.016,0.016,-0.001,-0.025,0.0,0,nan,0.0,3,1,1,28,0
32302045,1662721344999964,387273750,-775185424,62427,27833,0.11100001,1.2895955,0.25,0.40100002,0.48,0.78999996,108,11,0.019000001,0.009000001,-0.016,-0.026,0.0,0,nan,0.0,3,1,1,28,0
32794047,1662721345499963,387273750,-775185424,62424,27830,0.115,1.2896016,0.24900001,0.39800003,0.48,0.78999996,108,13,0.013,-0.010000001,-0.008,0.025,0.0,0,nan,0.0,3,1,1,28,0
33302067,1662721345999964,387273750,-775185424,62411,27817,0.125,1.2896075,0.24700001,0.39600003,0.48,0.78999996,108,13,0.004,-0.004,0.002,0.049000002,0.0,0,nan,0.0,3,1,1,28,0
33796497,1662721346499963,387273750,-775185424,62395,27801,0.108,1.2896138,0.246,0.393,0.48,0.78999996,108,12,0.024,-0.022000002,-0.009000001,0.028,0.0,0,nan,0.0,3,1,1,28,0
34301058,1662721346999964,387273750,-775185425,62379,27786,0.087000005,1.2896193,0.245,0.39100003,0.48,0.78999996,108,12,0.008,-0.002,-0.008,0.006,0.0,0,nan,0.0,3,1,1,28,0
34793043,1662721347499963,387273751,-775185425,62373,27779,0.125,1.289624,0.24400002,0.388,0.48,0.78999996,108,13,0.013,0.012,0.004,0.024,0.0,0,nan,0.0,3,1,1,28,0
35301042,1662721347999964,387273751,-775185423,62352,27758,0.098000005,1.289629,0.24300002,0.386,0.48,0.78999996,108,13,0.047000002,-0.020000001,0.042000003,0.039,0.0,0,nan,0.0,3,1,1,28,0
35793044,1662721348499963,387273747,-775185418,62336,27743,0.074,0.33256218,0.24200001,0.384,0.48,0.78999996,108,20,0.24800001,-0.20400001,0.141,0.004,2.468269,0,nan,0.0,3,1,1,28,0
36301043,1662721348999963,387273733,-775185406,62324,27730,0.075,0.15508349,0.24100001,0.38300002,0.48,0.78999996,108,20,0.52000004,-0.43800002,0.28100002,-0.026,2.567336,0,nan,0.0,3,1,1,28,0
36794042,1662721349499962,387273702,-775185381,62317,27723,0.07700001,0.06901887,0.24000001,0.381,0.48,0.78999996,108,14,1.1550001,-1.003,0.574,0.045,2.6185322,0,nan,0.0,3,1,1,28,0
37303042,1662721349999963,387273641,-775185336,62302,27709,0.07700001,0.04110163,0.24000001,0.379,0.48,0.78999996,108,14,1.945,-1.6990001,0.947,0.047000002,2.623509,0,nan,0.0,3,1,1,28,0
37793093,1662721350499962,387273547,-775185267,62276,27683,0.07700001,0.027086288,0.23900001,0.37800002,0.48,0.78999996,108,9,2.89,-2.502,1.447,0.038000003,2.6191103,0,nan,0.0,3,1,1,28,0
38300298,1662721350999963,387273417,-775185172,62263,27669,0.07300001,0.020965766,0.238,0.37600002,0.48,0.78999996,108,9,3.8090003,-3.3170002,1.8720001,0.035,2.627434,0,nan,0.0,3,1,1,28,0
38792046,1662721351499962,387273249,-775185051,62249,27655,0.07700001,0.016832829,0.23700002,0.374,0.48,0.78999996,108,11,4.709,-4.092,2.329,0.063,2.625602,0,nan,0.0,3,1,1,28,0
39297350,1662721351999963,387273046,-775184903,62236,27642,0.074,0.013865593,0.23700002,0.37300003,0.48,0.78999996,108,11,5.6000004,-4.8510003,2.7970002,0.016,2.6208951,0,nan,0.0,3,1,1,28,0
39791043,1662721352499961,387272812,-775184731,62217,27623,0.075,0.012181874,0.23600002,0.37100002,0.48,0.78999996,108,13,6.373,-5.5150003,3.1940002,0.029000001,2.6175299,0,nan,0.0,3,1,1,28,0
40297044,1662721352999962,387272548,-775184536,62195,27602,0.075,0.011147767,0.23500001,0.37,0.48,0.78999996,108,13,7.0980005,-6.1270003,3.584,0.07700001,2.6129835,0,nan,0.0,3,1,1,28,0
40792041,1662721353499961,387272259,-775184317,62175,27581,0.076000005,0.010386977,0.23400001,0.36900002,0.48,0.78999996,108,17,7.7620006,-6.6510005,4.0010004,0.040000003,2.601214,0,nan,0.0,3,1,1,28,0
41298044,1662721353999962,387271945,-775184074,62156,27562,0.075,0.009324421,0.23400001,0.367,0.48,0.78999996,108,17,8.46,-7.227,4.3980002,0.008,2.5948784,0,nan,0.0,3,1,1,28,0
41792044,1662721354499961,387271611,-775183811,62156,27563,0.074,0.009517105,0.23300001,0.36600003,0.48,0.78999996,108,12,8.900001,-7.5400004,4.728,-0.033,2.5814958,0,nan,0.0,3,1,1,28,0
42301154,1662721354999962,387271269,-775183538,62231,27637,0.067,0.007470533,0.23200001,0.36400002,0.48,0.78999996,108,12,9.018001,-7.6140003,4.833,-0.39000002,2.5760357,0,nan,0.0,3,1,1,28,0
42794044,1662721355499961,387270926,-775183258,62487,27893,0.07700001,0.009392315,0.231,0.36200002,0.47,0.76,107,17,8.807,-7.4140005,4.755,-0.49600002,2.5713167,0,nan,0.0,3,1,1,29,0
43300043,1662721355999962,387270593,-775182981,62781,28188,0.078,0.009523737,0.231,0.36,0.47,0.76,107,17,8.794001,-7.3910003,4.7640004,-0.62200004,2.5690317,0,nan,0.0,3,1,1,29,0
43794333,1662721356499960,387270267,-775182712,62986,28392,0.074,0.009093165,0.23,0.35900003,0.47,0.76,107,16,8.555,-7.1900005,4.636,-0.39200002,2.5688407,0,nan,0.0,3,1,1,29,0
44302047,1662721356999961,387269949,-775182450,63119,28525,0.071,0.009361073,0.22900002,0.35700002,0.47,0.76,107,16,8.342,-6.991,4.552,-0.298,2.564433,0,nan,0.0,3,1,1,29,0
