timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
37855649,37855203,0.42073354,-0.019513428,-0.02194403,0.90670884,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
38355180,38354759,0.4110104,-0.018855743,-0.021484492,0.9111824,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
38854708,38854315,0.40260005,-0.020214794,-0.022297814,0.91488117,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
39354266,39353871,0.39446366,-0.020859415,-0.02285504,0.91839045,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
39853819,39853428,0.38611832,-0.020808375,-0.02517798,0.92187077,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
40353377,40352984,0.37898257,-0.02079949,-0.02435396,0.9248495,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
40852936,40852540,0.3734816,-0.02220854,-0.024178214,0.92705655,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
41357629,41357217,0.3665041,-0.018286254,-0.022718906,0.92995924,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
41857170,41856774,0.36074126,-0.019209048,-0.020265507,0.93224794,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
42356739,42356331,0.35768825,-0.031238254,-0.013591962,0.9332195,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
42851285,42850892,0.3562298,-0.034688484,-0.01069567,0.9336931,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
43355842,43355444,0.35530466,-0.032155864,-0.00888841,0.93415505,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
43855470,43855001,0.3806936,-0.052849267,0.0042695543,0.92317986,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
44355034,44354559,0.3936079,-0.037023023,-0.00481534,0.91852,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
44854597,44854116,0.3985021,-0.025206292,-0.012871956,0.91673064,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
45354282,45353673,0.39759055,-0.015894648,-0.01699609,0.91726786,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
45858834,45858226,0.39232612,-0.008240189,-0.013456276,0.9196909,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
46353255,46352788,0.39489478,-0.006861798,-0.015423571,0.9185713,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
46852887,46852346,0.40079197,-0.007095066,-0.019870993,0.9159262,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
