timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
27659913,27559416,0.4623167,0.009021304,-0.013931406,0.88655955,-0.0008461538,0.0020373326,0.0003243261,-0.16051419,-0.051504884,-0.9615657,5.0425682e-05,-4.0999163e-05,-2.2990027e-05,3.941809e-05,4.212475e-05,0.0001479061,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,0.00021262682,3.857133e-05,3.8545008e-05,6.0593968e-05,0.00015675549,0.00015675373,0.00015479678,0.0023174968,0.0023174982,0.024060197,2.0376529e-11,2.0116983e-11,5.9375044e-10,1.4076782e-06,1.4104294e-06,5.0001063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
28658996,28558517,0.46133325,0.009266677,-0.013735909,0.8870723,-0.0020109434,-0.00029369895,0.00010212002,-0.16227718,-0.05846707,-0.9602542,5.039615e-05,-4.1150237e-05,-2.3340603e-05,3.8188602e-05,3.9610506e-05,0.000151456,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,0.00020413197,3.8501075e-05,3.847896e-05,5.7776804e-05,8.965396e-05,8.965859e-05,8.902048e-05,0.0021616016,0.0021616025,0.023155022,1.9905222e-11,1.9676758e-11,5.2672616e-10,1.40721e-06,1.4100287e-06,5.000063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
29658038,29557621,0.46044618,0.009493943,-0.013270524,0.88753766,-0.0016635524,-0.00036526,-9.628493e-05,-0.16183715,-0.06512129,-0.96106964,5.051052e-05,-4.1274172e-05,-2.3632945e-05,3.8835347e-05,3.718109e-05,0.00014896924,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,0.00019858363,3.843247e-05,3.8414844e-05,5.584816e-05,2.5716681e-05,2.571926e-05,2.5664775e-05,0.0020262564,0.002026256,0.022316184,1.9501128e-11,1.929775e-11,4.7364973e-10,1.4069652e-06,1.4097874e-06,5.000018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
30657167,30556725,0.45950764,0.009392598,-0.013758149,0.8880176,0.00068215746,0.0021418654,-0.000509128,-0.16130063,-0.071144484,-0.9622179,5.0693663e-05,-4.1214767e-05,-2.3651128e-05,4.0772746e-05,3.6637786e-05,0.00014938919,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,0.00019130058,3.8553022e-05,3.8530907e-05,5.339305e-05,0.00024123705,0.00024124142,0.00023686819,0.0019088634,0.0019088624,0.021537812,1.9411254e-11,1.9227009e-11,4.2440057e-10,1.4068139e-06,1.4096632e-06,5.0000896e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
31666274,31565696,0.45868298,0.009165682,-0.013819551,0.88844526,-0.0016570034,-1.3151821e-06,-6.6147084e-05,-0.1603778,-0.07697537,-0.9625187,5.078451e-05,-4.1363543e-05,-2.3625073e-05,4.0753537e-05,3.494499e-05,0.00014938884,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,0.00018660583,3.8503615e-05,3.8480164e-05,5.171724e-05,0.00018431005,0.00018431565,0.00018177394,0.0018025495,0.001802549,0.020809798,1.910481e-11,1.8938823e-11,3.847459e-10,1.4066889e-06,1.4095048e-06,5.0001145e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
32655348,32554936,0.4581519,0.008459008,-0.015304882,0.888702,4.312778e-05,-0.0021756815,-0.0004952452,-0.1584272,-0.0814974,-0.9631759,5.089201e-05,-4.1464595e-05,-2.3427096e-05,4.090234e-05,3.3576405e-05,0.00015033057,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,0.00017981468,3.8451715e-05,3.8416933e-05,4.954081e-05,0.00010278699,0.00010278396,0.00010198181,0.0017081011,0.0017081008,0.020163065,1.881529e-11,1.8665782e-11,3.4745318e-10,1.406615e-06,1.409371e-06,5.000072e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
33664522,33564033,0.4579094,0.0084278835,-0.015015294,0.8888321,0.00013238497,-0.0016857666,0.00057777984,-0.15688635,-0.08573799,-0.96244925,5.0965544e-05,-4.1538962e-05,-2.3165472e-05,4.090975e-05,3.360636e-05,0.00014895205,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,0.00017384722,3.8400198e-05,3.8370585e-05,4.7678586e-05,5.09102e-05,5.0907885e-05,5.0715415e-05,0.0016240901,0.001624091,0.019525075,1.8576909e-11,1.8441762e-11,3.1511707e-10,1.4065504e-06,1.4092109e-06,5.000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
34663612,34563140,0.45678943,0.0095476825,-0.013083381,0.88942736,0.0016417864,0.0050425315,-0.000111466026,-0.154757,-0.09018699,-0.96395105,5.1175182e-05,-4.1388652e-05,-2.352042e-05,4.1714706e-05,3.2781772e-05,0.00015138897,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,0.00016969489,3.850913e-05,3.849661e-05,4.625189e-05,0.0002702579,0.0002702493,0.00026496817,0.0015507726,0.0015507728,0.018928926,1.8599353e-11,1.8473804e-11,2.886989e-10,1.4065257e-06,1.409154e-06,5.0000896e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
35662681,35562248,0.4493466,0.006147583,-0.012359758,0.8932509,-0.0029122904,0.009127532,-0.0077104396,-0.1524696,-0.095182605,-0.9648603,5.1027957e-05,-4.4907156e-05,-2.7921425e-05,2.7551374e-05,-2.9809096e-05,0.0001689,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,0.00016330634,3.8368456e-05,3.8403963e-05,4.356885e-05,0.000198468,0.0001984651,0.00019550102,0.0014804766,0.0014804733,0.018364495,1.8338909e-11,1.8285136e-11,2.6210914e-10,1.4015365e-06,1.4087584e-06,5.000103e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
36661775,36561356,0.42682257,0.0039583645,-0.016291264,0.90418,-0.40017852,0.45897996,0.0107997,-0.28142583,0.045705196,-0.9598457,5.0741124e-05,-4.688628e-05,-4.188868e-05,2.0490397e-05,-0.00013235299,0.00012654068,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,0.00015830058,3.867887e-05,3.877161e-05,4.0012554e-05,0.0013803258,0.0013282134,0.0011995308,0.0016162855,0.0016127211,0.01804609,1.8817715e-11,1.8796948e-11,2.3885416e-10,1.3965243e-06,1.4076093e-06,5.000079e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
37661159,37560465,0.42400566,-0.019993871,-0.021996137,0.9051716,-0.41273096,0.6899875,-0.106728174,-0.26708132,0.18022661,-1.0147622,5.4523895e-05,-7.052521e-05,-4.1474894e-05,0.00038951868,-0.002849072,7.45966e-05,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,0.00011325977,3.5197812e-05,3.82628e-05,2.7717044e-05,0.0009792973,0.0010702951,0.000915477,0.00157839,0.0016566494,0.01759077,1.8753528e-11,1.8606503e-11,1.8069268e-10,1.2670369e-06,1.3905969e-06,5.000081e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
38660019,38559577,0.40503666,-0.018862056,-0.0212922,0.9138579,-1.3170732,1.677578,-0.12663455,-1.1978707,1.386452,-1.09618,5.481965e-05,-6.984669e-05,-5.550947e-05,0.0005710849,-0.0028083157,5.122056e-05,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,0.00011518335,3.568116e-05,3.9093018e-05,2.7273149e-05,0.0045019654,0.00474801,0.003503755,0.004241937,0.0046670134,0.01934591,1.9735583e-11,1.9596174e-11,1.724608e-10,1.2545472e-06,1.3895454e-06,5.0000178e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
39659172,39558690,0.3880471,-0.020126926,-0.023862036,0.9211108,-2.0455875,2.512709,-0.13834436,-2.9484026,3.4782941,-1.1794698,5.521317e-05,-6.952367e-05,-6.846719e-05,0.00087713765,-0.0027427247,-7.021874e-06,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,0.00011601938,3.5521207e-05,4.002257e-05,2.667831e-05,0.010748541,0.011119644,0.006309206,0.018907292,0.020295214,0.027365588,2.0718384e-11,2.0585054e-11,1.6389984e-10,1.2178361e-06,1.3864106e-06,5.000007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
40658332,40557802,0.37388477,-0.02061817,-0.025693724,0.92688996,-2.579574,3.2062058,-0.10616858,-5.3672915,6.282982,-1.1779808,5.5509605e-05,-6.918786e-05,-7.962421e-05,0.0012602666,-0.002645844,-9.9893725e-05,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,0.000116514304,3.5083405e-05,4.1037787e-05,2.6134854e-05,0.02033608,0.020651223,0.008178453,0.0626406,0.06578852,0.042017564,2.1702336e-11,2.1571042e-11,1.557434e-10,1.170708e-06,1.3820287e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
41657462,41557040,0.36270067,-0.016674867,-0.022271458,0.9314903,-2.852419,3.7710514,-0.10481462,-8.200353,9.723177,-1.1321963,5.572661e-05,-6.892341e-05,-8.788325e-05,0.0015473028,-0.0025729344,-0.00018126446,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,0.00011762308,3.497835e-05,4.2092466e-05,2.5700898e-05,0.034156974,0.03406359,0.008909586,0.16273528,0.16753091,0.059684373,2.2689585e-11,2.2556602e-11,1.4862042e-10,1.1318374e-06,1.3786389e-06,5.000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
42656568,42556153,0.3571468,-0.034016035,-0.011997273,0.9333516,-2.3977733,3.6313317,-0.6109145,-10.972862,13.507558,-1.3245001,5.5752585e-05,-6.884628e-05,-8.957166e-05,0.0016621114,-0.0025399604,-0.00021172002,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,0.00011774508,3.5574893e-05,4.3558746e-05,2.4816878e-05,0.052897003,0.052689165,0.0087722065,0.35757226,0.36350742,0.0759422,2.3678127e-11,2.3546002e-11,1.4128014e-10,1.1114474e-06,1.3767616e-06,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
43655785,43555267,0.38223752,-0.05353227,0.0039671906,0.92250377,0.042329706,-0.076036416,0.027890602,-7.1976514,7.432617,-0.75014806,4.6579513e-05,-8.7717905e-05,-6.67918e-05,0.0009516286,-0.0032009974,-0.00077297084,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,8.949849e-05,2.890833e-05,3.6098023e-05,1.8080422e-05,5.191852e-05,5.736234e-05,5.0828072e-05,0.05524506,0.056373715,0.036949925,1.8856396e-11,1.8962573e-11,1.1508656e-10,1.031164e-06,1.3083618e-06,5.000018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
44664942,44564373,0.40028378,-0.025039356,-0.014176068,0.9159394,0.00039851593,-0.0010898899,-0.00013921323,-5.7233086,6.266708,-0.67615974,5.073629e-05,-4.639271e-05,-4.685891e-05,0.00021350996,-0.004323557,-0.00019303746,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,6.827793e-05,2.7682632e-05,3.5565918e-05,1.3416019e-05,1e-06,1.0067015e-06,1e-06,0.044703357,0.046461772,0.03438095,1.8414478e-11,1.8457966e-11,9.780967e-11,9.617047e-07,1.2971523e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
45653984,45553496,0.39440608,-0.010772007,-0.01827607,0.91869134,0.041425664,-0.010247781,0.02031185,-5.3059144,6.0049324,-0.6776967,4.860888e-05,-3.0615494e-05,-4.4458222e-05,0.0003767935,-0.003996476,2.0001211e-05,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,6.996942e-05,2.7320228e-05,3.539299e-05,1.3025592e-05,0.00019877813,0.00019876409,0.00019546782,0.042897083,0.044601668,0.0324999,1.8430651e-11,1.8374953e-11,9.543538e-11,9.4011006e-07,1.2927602e-06,5.000042e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
46663091,46562603,0.39846903,-0.006597357,-0.018924702,0.91696286,-0.0027892457,-0.04176179,-0.0015725653,-5.2032127,5.8399053,-0.7286913,5.5245175e-05,-2.2145816e-05,-3.6823923e-05,0.00028316127,-0.003996463,3.3004046e-05,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,7.072872e-05,2.7011014e-05,3.483749e-05,1.2900465e-05,0.00014328545,0.00014330994,0.00014145533,0.04172771,0.043963388,0.030820038,1.821245e-11,1.8331522e-11,9.210649e-11,9.3090864e-07,1.2839635e-06,5.000063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
47662216,47561718,0.40474916,-0.006282757,-0.024698198,0.91407263,-0.007138386,0.0024077701,-0.002430608,-5.190294,5.7571282,-0.78819835,5.8097412e-05,-1.7316079e-05,-3.6883863e-05,0.0001570571,-0.003989565,-1.5963504e-05,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,7.217818e-05,2.6679996e-05,3.4554672e-05,1.3716152e-05,7.668567e-05,7.672147e-05,7.610588e-05,0.041325472,0.04362053,0.029327469,1.7972e-11,1.8195162e-11,9.003358e-11,9.238665e-07,1.2786427e-06,5.00005e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
48661577,48560834,0.40779024,-0.0039206212,-0.030333817,0.9125632,-0.00048221316,0.0045550144,0.00030375505,-5.225114,5.735589,-0.8434035,5.6253528e-05,-1.9001956e-05,-4.1701485e-05,0.00020386642,-0.0038714812,0.00012187363,0.1832185,-0.03303607,0.37075096,0.0,0.0,0.0,0.0,0.0,7.229863e-05,2.6423786e-05,3.4314395e-05,1.4392308e-05,1.3308506e-05,1.3298673e-05,1.3283549e-05,0.04114261,0.043306578,0.027979767,1.7690786e-11,1.7948323e-11,8.7300556e-11,9.1480587e-07,1.2676763e-06,5.0000093e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
