timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
18958605,18958322,0.46585193,0.0060609262,-0.019513544,0.88462675,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19009121,19008841,0.4658362,0.0060724164,-0.019494075,0.88463545,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19054590,19054309,0.4658203,0.006080673,-0.019464208,0.8846444,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19110161,19109880,0.46579963,0.0061069336,-0.019420631,0.884656,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19161004,19160399,0.4657843,0.006107058,-0.019402666,0.8846646,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19206145,19205867,0.46578294,0.0061205416,-0.019384088,0.8846655,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19256683,19256386,0.46578237,0.006135005,-0.01936215,0.8846662,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19307271,19306905,0.4657771,0.006127434,-0.01938925,0.8846684,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19357704,19357425,0.46577004,0.006121293,-0.019420635,0.88467157,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19408239,19407944,0.4657604,0.006112999,-0.01945412,0.8846759,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19458741,19458464,0.4657491,0.006099274,-0.019492762,0.8846811,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19509264,19508983,0.4657463,0.006084319,-0.019527245,0.8846819,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19559789,19559502,0.46573973,0.0060658185,-0.019550163,0.884685,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19605322,19604970,0.4657399,0.006042351,-0.019580942,0.8846844,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19660827,19660544,0.46573868,0.0060071,-0.019631758,0.88468415,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19706309,19706008,0.46573216,0.005962963,-0.019687392,0.88468665,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19756806,19756528,0.46573493,0.00590746,-0.019765055,0.8846838,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19807348,19807047,0.4657424,0.005871545,-0.019826828,0.8846787,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19857867,19857567,0.46574542,0.005845316,-0.01986899,0.88467646,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19908371,19908086,0.46573663,0.0058291736,-0.019907136,0.88468033,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
19953830,19953553,0.465729,0.0058259913,-0.01993984,0.88468355,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
20009414,20009125,0.46570393,0.0058306223,-0.019969068,0.88469607,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
20060498,20059644,0.46568626,0.0058418517,-0.019973887,0.88470525,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
20105389,20105112,0.465674,0.00586612,-0.019944863,0.88471216,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
20160992,20160683,0.46566734,0.005892206,-0.019900814,0.88471645,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
20206422,20206150,0.46564627,0.0059070764,-0.019884404,0.88472784,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
20256975,20256670,0.46561584,0.0059222123,-0.019872852,0.88474405,1.0,3.516747e-09,5.121115e-10,-0.00016264651,4
