timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,accel_calibration_count,gyro_calibration_count
16907235,0.0024125802,0.006151882,0.0008370397,5052,0,-0.2943369,0.2653899,-9.792359,5052,0,1,1
16912287,0.002636499,0.0070303376,0.001033029,5052,0,-0.2915182,0.26748255,-9.804123,5052,0,1,1
16917339,0.0017104207,0.0062624295,0.0006219036,5052,0,-0.29306033,0.28423202,-9.793211,5052,0,1,1
16922391,0.0021202392,0.006619643,0.0013761015,5052,0,-0.30368394,0.28013152,-9.793094,5052,0,1,1
16927442,0.0022942019,0.0059220553,0.00069700216,5051,0,-0.29633528,0.28433418,-9.804006,5051,0,1,1
16932494,0.0020915277,0.0075456877,0.0005299211,5052,0,-0.30750757,0.29210767,-9.79493,5052,0,1,1
16937546,0.0019771794,0.007533596,0.00050862704,5052,0,-0.31134045,0.30071104,-9.802396,5052,0,1,1
16942598,0.0019727254,0.0059844414,0.00089196145,5052,0,-0.30603877,0.29868916,-9.794743,5052,0,1,1
16947650,0.0020267235,0.007158222,0.0005422046,5052,0,-0.3002662,0.30112725,-9.802374,5052,0,1,1
16952702,0.003019093,0.006196388,0.0003839525,5052,0,-0.29215306,0.3055094,-9.799762,5052,0,1,1
16957754,0.003500394,0.00627942,0.001194907,5052,0,-0.2976706,0.30868155,-9.80305,5052,0,1,1
16962806,0.0027813006,0.006685702,0.0005504265,5052,0,-0.29644734,0.29444844,-9.81068,5052,0,1,1
16967858,0.0029100555,0.0055223713,0.000116871684,5052,0,-0.28996295,0.30359504,-9.806646,5052,0,1,1
16972910,0.0033074494,0.005943039,0.0006732827,5052,0,-0.2941558,0.29854122,-9.806864,5052,0,1,1
16977962,0.0036533657,0.005905332,2.121995e-05,5052,0,-0.28234032,0.28700212,-9.797663,5052,0,1,1
16983014,0.0031801113,0.005001919,0.00020432114,5052,0,-0.28679624,0.28937942,-9.794932,5052,0,1,1
16988066,0.003443545,0.005642938,0.00049890694,5052,0,-0.288854,0.2824343,-9.801645,5052,0,1,1
16993118,0.0034686571,0.0051592337,-1.0410229e-05,5052,0,-0.29146084,0.28110427,-9.794067,5052,0,1,1
16998170,0.0031664413,0.005622767,4.053445e-05,5052,0,-0.29146338,0.27632353,-9.799656,5052,0,1,1
17003222,0.00329609,0.00593875,1.9532214e-05,5052,0,-0.28961912,0.27256805,-9.800582,5052,0,1,1
17008274,0.0029705083,0.0062472536,9.485265e-05,5052,0,-0.2847951,0.25651965,-9.790298,5052,0,1,1
17013325,0.002472923,0.0063612475,0.0008691664,5051,0,-0.28738004,0.25387698,-9.791362,5051,0,1,1
17018377,0.0015511509,0.0061669354,-5.8218075e-06,5052,0,-0.28366572,0.25778404,-9.800797,5052,0,1,1
17023429,0.0013675987,0.005693767,0.0007118576,5052,0,-0.28473035,0.25804824,-9.802186,5052,0,1,1
17028481,0.001769693,0.0060634785,0.0010407709,5052,0,-0.29099423,0.25800952,-9.79313,5052,0,1,1
17033533,0.0017712464,0.0050120875,0.00035339224,5052,0,-0.2841969,0.24269503,-9.790431,5052,0,1,1
17038585,0.0021672829,0.0063561783,0.0007312173,5052,0,-0.2880928,0.24887457,-9.803027,5052,0,1,1
17043637,0.0014078157,0.0062396904,0.0012065739,5052,0,-0.29116806,0.26510456,-9.799977,5052,0,1,1
17048689,0.0009429241,0.006150464,0.0015963308,5052,0,-0.2931368,0.25642818,-9.801873,5052,0,1,1
17053742,0.0013066689,0.0058084666,0.0017190024,5053,0,-0.28947592,0.2633036,-9.796259,5053,0,1,1
17058793,0.0008991157,0.00507439,0.0012197478,5051,0,-0.2923972,0.2761305,-9.7903385,5051,0,1,1
17063845,0.0009101853,0.0063390196,0.0020498172,5052,0,-0.30102322,0.28945723,-9.795774,5052,0,1,1
17068897,0.0010915314,0.005949692,0.001220329,5052,0,-0.29453635,0.2954705,-9.793982,5052,0,1,1
17073949,0.0007035465,0.005930619,0.0013621824,5052,0,-0.29394153,0.299829,-9.796726,5052,0,1,1
17079001,0.0017805732,0.006157474,0.0018618535,5052,0,-0.2919731,0.3142918,-9.80224,5052,0,1,1
17084053,0.00068339024,0.0051675276,0.0012806726,5052,0,-0.29496768,0.29961511,-9.79986,5052,0,1,1
17089105,0.0010229013,0.006274054,0.0012493465,5052,0,-0.29417095,0.29961357,-9.786131,5052,0,1,1
17094157,0.001542332,0.0062178466,0.00036490808,5052,0,-0.29441184,0.3102398,-9.803242,5052,0,1,1
