timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
76593509,76593337,2490402,-0.12318168,-0.04189853,-9.845436,23.592995,0,0,0,0,20
77591276,77591102,2490402,-0.09205706,-0.073502,-10.022009,23.602053,0,0,0,0,20
78591557,78591382,2490402,-0.04560954,-0.05566519,-10.005848,23.638285,0,0,0,0,20
79594368,79594194,2490402,0.035553895,-0.011252748,-10.111313,23.547705,0,0,0,0,20
80594650,80594480,2490402,0.012330139,0.058538232,-10.172724,23.61413,0,0,0,0,20
81592415,81592239,2490402,0.11145009,-0.14449008,-9.856569,23.586956,0,0,0,0,20
82592701,82592525,2490402,-0.08212112,0.21092917,-9.939528,23.602053,0,0,0,0,20
83595511,83595337,2490402,0.020111294,0.1091756,-9.943718,23.544685,0,0,0,0,20
84590773,84590574,2490402,-0.2670732,0.011731588,-9.683349,23.56884,0,0,0,0,20
85593579,85593383,2490402,-0.16340427,-0.037948098,-10.00489,23.541666,0,0,0,0,20
86593864,86593670,2490402,-0.11360487,-0.089902274,-10.024283,23.514492,0,0,0,0,20
87594158,87593956,2490402,-0.08319851,0.06607997,-9.944796,23.544685,0,0,0,0,20
88591910,88591717,2490402,-0.035434186,-0.0818817,-9.822332,23.695652,0,0,0,0,20
89592204,89592003,2490402,0.061291564,0.14568718,-9.76571,23.680555,0,0,0,0,20
90595012,90594816,2490402,-0.049320556,0.009217677,-9.956647,23.683575,0,0,0,0,20
91592771,91592576,2490402,-0.15586253,-0.36739025,-10.047866,23.592995,0,0,0,0,20
92593061,92592863,2490402,-0.23762453,0.009097966,-9.683948,23.623188,0,0,0,0,20
93593344,93593150,2490402,-0.1519121,-0.05554548,-10.022846,23.580917,0,0,0,0,20
94593631,94593437,2490402,-0.29053637,0.17250223,-9.881828,23.629227,0,0,0,0,20
95591392,95591198,2490402,-0.13515268,0.121146604,-10.113587,23.641304,0,0,0,0,20
96594208,96594012,2490402,-0.08499416,-0.47417164,-9.99663,23.620169,0,0,0,0,20
97594494,97594299,2490402,-0.24768017,0.05722142,-9.950781,23.626207,0,0,0,0,20
98592232,98592061,2490402,-0.2468422,0.3573346,-10.048584,23.647343,0,0,0,0,20
99592520,99592348,2490402,-0.22361845,-0.448434,-10.031705,23.668478,0,0,0,0,20
100592810,100592636,2490402,-0.18686745,-0.17669208,-10.077195,23.602053,0,0,0,0,20
101590569,101590397,2490402,-0.16364369,0.16101007,-9.739852,23.66244,0,0,0,0,20
102593382,102593211,2490402,-0.21918917,-0.11049241,-10.009319,23.635265,0,0,0,0,20
103593674,103593499,2490402,-0.19512744,-0.010055647,-10.082223,23.689613,0,0,0,0,20
104593960,104593787,2490402,-0.26491842,-0.033638533,-9.780912,23.620169,0,0,0,0,20
105591723,105591549,2490402,-0.3060987,0.0272939,-9.950422,23.635265,0,0,0,0,20
106592012,106591837,2490402,-0.35793316,0.2952051,-9.781033,23.65942,0,0,0,0,20
107594828,107594652,2490402,-0.29771897,-0.08451532,-9.809403,23.677536,0,0,0,0,20
108595112,108594940,2490402,-0.22804771,0.016879123,-9.973526,23.668478,0,0,0,0,20
109592871,109592703,2490402,-0.30909145,0.25450364,-9.981068,23.626207,0,0,0,0,20
110593166,110592991,2490402,-0.26515785,-0.5303157,-9.884461,23.75302,0,0,0,0,20
111593449,111593280,2490402,-0.3063381,-0.080086045,-10.078512,23.626207,0,0,0,0,20
112591216,112591043,2490402,-0.22732945,-0.062009826,-9.999145,23.719807,0,0,0,0,20
113594056,113593858,2490402,-0.2278083,0.015562311,-10.039127,23.66244,0,0,0,0,20
114594317,114594147,2490402,-0.13263878,-0.34045547,-10.078871,23.641304,0,0,0,0,20
115594607,115594436,2490402,-0.31950623,-0.094570965,-9.927797,23.70773,0,0,0,0,20
116592377,116592199,2490402,-0.31615433,-0.022026656,-9.957725,23.689613,0,0,0,0,20
117592662,117592488,2490402,-0.2576161,-0.16172832,-9.823529,23.891909,0,0,0,0,20
118595496,118595304,2490402,-0.27521348,-0.24744076,-9.757449,23.70773,0,0,0,0,20
119590717,119590542,2490402,-0.25941175,-0.009097966,-9.940247,23.583937,0,0,0,0,20
120593532,120593357,2490402,-0.27006596,0.20482396,-9.978913,23.653381,0,0,0,0,20
121593818,121593646,2490402,0.05746084,-0.16244659,-9.768104,23.632246,0,0,0,0,20
122594111,122593936,2490402,0.009097966,-0.31423897,-9.983462,23.740942,0,0,0,0,20
123591873,123591700,2490402,-0.12030864,0.100795895,-9.790609,23.789251,0,0,0,0,20
124592160,124591990,2490402,-0.14556746,0.35098997,-9.922529,23.70471,0,0,0,0,20
125595164,125594806,2490402,1.70946,-2.152148,-12.056242,23.731884,0,0,0,0,20
126592739,126592570,2490402,0.16065094,4.270298,-20.668903,23.756039,0,0,0,0,20
127593033,127592862,2490402,0.57903767,1.4358028,-23.630651,23.743961,0,0,0,0,20
128593321,128593151,2490402,-1.6038758,0.6519411,-12.719556,23.740942,0,0,0,0,20
129593610,129593441,2490402,0.22469583,-2.4016237,-22.345444,23.734903,0,0,0,0,20
130591378,130591206,2490402,3.4170048,-0.011013328,10.1659,23.756039,0,0,0,0,20
131594240,131594022,2490402,-4.51319,-4.010288,-0.9346964,23.804348,0,0,0,0,20
132594484,132594313,2490402,1.2175713,2.4825478,-5.7386622,23.70773,0,0,0,0,20
133592250,133592078,2490402,2.3034616,0.92416185,-9.866984,23.75302,0,0,0,0,20
134592544,134592369,2490402,0.86299,4.059369,-13.624205,23.743961,0,0,0,0,20
135592832,135592660,2490402,1.4058752,2.0129251,3.8523903,23.743961,0,0,0,0,20
136595646,136595477,2490402,-3.852151,2.0600908,-5.369237,23.807367,0,0,0,0,20
137593413,137593242,2490402,1.1875241,-0.7486669,-18.621264,23.737923,0,0,0,0,20
138593706,138593533,2490402,-1.7917008,3.2662897,-9.29058,23.864735,0,0,0,0,20
139593999,139593826,2490402,1.6402676,-0.6384139,-9.385989,23.79227,0,0,0,0,20
140591762,140591590,2490402,-2.9888017,0.34249055,-8.032786,23.852657,0,0,0,0,20
141592053,141591882,2490402,-2.336741,-5.031774,-8.514859,23.74698,0,0,0,0,20
142594875,142594700,2490402,-0.7053318,-0.86095494,-18.051683,23.725845,0,0,0,0,20
143595164,143594991,2490402,1.0801442,-3.914041,-20.144573,23.8436,0,0,0,0,20
144592961,144592757,2490402,-4.2346244,6.0848637,-12.680291,23.819445,0,0,0,0,20
145593225,145593049,2490402,3.217089,0.42305544,-6.2495847,23.828503,0,0,0,0,20
146593511,146593341,2490402,2.4546554,-0.1638831,-10.60775,23.737923,0,0,0,0,20
147591281,147591108,2490402,-0.33028013,1.6584635,-13.224373,23.822464,0,0,0,0,20
148591575,148591400,2490402,-0.0062249247,-1.9185636,-7.8675566,23.783213,0,0,0,0,20
149594387,149594218,2490402,-1.6257528,-0.9708488,-8.030183,23.907005,0,0,0,0,20
150594681,150594511,2490402,0.5465962,1.3040019,-9.811917,23.870773,0,0,0,0,20
151592452,151592277,2490402,-0.74842745,-0.24492684,-10.546698,23.831522,0,0,0,0,20
152592742,152592570,2490402,1.460463,-0.18590976,-13.976871,23.834541,0,0,0,0,20
153590514,153590337,2490402,0.41371804,0.49212816,-10.255922,23.789251,0,0,0,0,20
154590799,154590629,2490402,-1.2926295,1.0043676,-9.71196,23.867754,0,0,0,0,20
155593622,155593449,2490402,-0.27138278,0.11336545,-9.72393,23.867754,0,0,0,0,20
156593918,156593741,2490402,0.15029602,0.23807344,-9.204927,23.771135,0,0,0,0,20
157594207,157594035,2490402,-0.27688944,0.04309563,-10.212348,23.804348,0,0,0,0,20
158591972,158591802,2490402,-0.6459556,-0.023702597,-10.059119,23.825483,0,0,0,0,20
159592265,159592095,2490402,-0.29364884,0.0040701427,-10.008481,23.822464,0,0,0,0,20
160595091,160594914,2490402,-0.060214173,0.04177882,-9.986216,23.907005,0,0,0,0,20
161592851,161592682,2490402,-0.1909376,-0.17932571,-9.990405,23.913044,0,0,0,0,20
162593186,162592976,2490402,-0.11611878,0.048841715,-9.941564,23.864735,0,0,0,0,20
163593441,163593269,2490402,-0.1649605,-0.20386627,-10.038768,23.937199,0,0,0,0,20
164593735,164593563,2490402,-0.12126632,-0.04177882,-9.960238,23.846619,0,0,0,0,20
165591504,165591331,2490402,-0.14520833,0.029209262,-9.980589,23.8436,0,0,0,0,20
166594322,166594151,2490402,-0.12497733,-0.18722658,-9.911277,23.831522,0,0,0,0,20
167594618,167594445,2490402,-0.076494746,-0.23175873,-10.003214,23.789251,0,0,0,0,20
168592384,168592213,2490402,-0.07445967,-0.14879964,-9.855612,23.916063,0,0,0,0,20
169592678,169592507,2490402,-0.06596026,-0.51774615,-9.93881,23.940218,0,0,0,0,20
170592972,170592801,2490402,-0.15933412,-0.2064999,-9.945753,23.946257,0,0,0,0,20
171595793,171595622,2490402,-0.085473,-0.17513585,-9.970893,23.946257,0,0,0,0,20
172593562,172593390,2490402,-0.14844051,-0.12497733,-9.977118,23.997585,0,0,0,0,20
173593857,173593685,2490402,-0.12617444,-0.252708,-9.94743,23.919083,0,0,0,0,20
174594158,174593979,2490402,-0.10558429,-0.19716251,-9.972209,23.955315,0,0,0,0,20
175591918,175591748,2490402,-0.122223996,-0.2778471,-9.931987,23.925121,0,0,0,0,20
176592213,176592043,2490402,-0.14664486,-0.22206222,-9.967062,23.819445,0,0,0,0,20
177595163,177594864,2490402,-0.12521675,-0.2834735,-9.927078,24.02476,0,0,0,0,20
178595334,178595160,2490402,-0.07398083,-0.2967613,-9.871294,23.994566,0,0,0,0,20
179593098,179592928,2490402,-0.13443443,-0.33889925,-9.960597,23.879831,0,0,0,0,20
180593395,180593224,2490402,-0.08678981,-0.40976763,-9.86028,23.952295,0,0,0,0,20
181593689,181593519,2490402,-0.13694833,-0.3430891,-9.937374,24.054953,0,0,0,0,20
182591461,182591288,2490402,-0.12617444,-0.2622848,-9.971611,23.780193,0,0,0,0,20
183594281,183594112,2490402,-0.11923125,-0.27281928,-9.933184,23.955315,0,0,0,0,20
184594580,184594406,2490402,-0.1258153,-0.23355438,-9.950901,23.925121,0,0,0,0,20
185594870,185594701,2490402,-0.16567875,-0.25965118,-9.960957,24.02174,0,0,0,0,20
186592645,186592471,2490402,-0.16005239,-0.24301147,-9.944437,23.985508,0,0,0,0,20
187592940,187592767,2490402,-0.14987703,-0.27341783,-9.957725,24.02174,0,0,0,0,20
188593236,188593063,2490402,-0.13251907,-0.28443116,-9.963351,24.067028,0,0,0,0,20
189591007,189590833,2490402,-0.13754688,-0.26862943,-9.94743,24.000605,0,0,0,0,20
